Date,DOT1_High,DOT1_Low,DOT1_Open,DOT1_Close,DOT1_Volume,DOT1_AdjClose
2020-08-19,3.0777838230133057,2.6928956508636475,2.7878572940826416,2.9000802040100098,48819867.0,2.9000802040100098
2020-08-20,3.090092658996582,2.7309186458587646,2.896923303604126,2.875028371810913,49313136.0,2.875028371810913
2020-08-21,4.510613441467285,2.8167619705200195,2.878570079803467,4.484690189361572,485801095.0,4.484690189361572
2020-08-22,4.487058162689209,3.716271162033081,4.487058162689209,3.9670658111572266,320749483.0,3.9670658111572266
2020-08-23,4.783158302307129,3.812669515609741,3.9874134063720703,4.602613925933838,407690170.0,4.602613925933838
2020-08-24,5.760775566101074,4.501222610473633,4.584953308105469,5.523393154144287,898847538.0,5.523393154144287
2020-08-25,6.554688453674316,5.136205196380615,5.54140567779541,6.081716537475586,1054351759.0,6.081716537475586
2020-08-26,6.789179801940918,5.3139262199401855,6.075772285461426,5.628337383270264,1289248953.0,5.628337383270264
2020-08-27,6.333745956420898,5.540963172912598,5.6394853591918945,6.15995454788208,727162235.0,6.15995454788208
2020-08-28,6.562905788421631,6.042308807373047,6.175924777984619,6.159143447875977,527290028.0,6.159143447875977
2020-08-29,6.21950626373291,5.7499775886535645,6.153439998626709,5.869880676269531,485335136.0,5.869880676269531
2020-08-30,6.459376811981201,5.772965908050537,5.905917644500732,6.300020217895508,512604781.0,6.300020217895508
2020-08-31,6.838898181915283,6.172324180603027,6.298810005187988,6.288766384124756,601527408.0,6.288766384124756
2020-09-01,6.432652473449707,5.65744161605835,6.282686233520508,6.13946533203125,584155027.0,6.13946533203125
2020-09-02,6.318079471588135,5.682590007781982,6.131179332733154,5.747867584228516,763663456.0,5.747867584228516
2020-09-03,5.9813947677612305,4.626719951629639,5.72661018371582,5.146038055419922,845787793.0,5.146038055419922
2020-09-04,,,,,,
2020-09-05,,,,,,
2020-09-06,,,,,,
2020-09-07,,,,,,
2020-09-08,,,,,,
2020-09-09,,,,,,
2020-09-10,,,,,,
2020-09-11,,,,,,
2020-09-12,,,,,,
2020-09-13,,,,,,
2020-09-14,,,,,,
2020-09-15,,,,,,
2020-09-16,,,,,,
2020-09-17,,,,,,
2020-09-18,,,,,,
2020-09-19,,,,,,
2020-09-20,,,,,,
2020-09-21,4.208596229553223,3.918225049972534,4.085402011871338,4.174463272094727,673117343.0,4.174463272094727
2020-09-22,4.318419456481934,3.9776601791381836,4.172699928283691,4.027708053588867,506491669.0,4.027708053588867
2020-09-23,4.410974025726318,3.995835065841675,4.018092155456543,4.382960796356201,390254720.0,4.382960796356201
2020-09-24,4.528383255004883,4.2681450843811035,4.38314151763916,4.42352819442749,386655789.0,4.42352819442749
2020-09-25,4.474606990814209,4.249231815338135,4.4233808517456055,4.334268093109131,306278282.0,4.334268093109131
2020-09-26,4.361824989318848,4.144951343536377,4.334268093109131,4.302318096160889,293119417.0,4.302318096160889
2020-09-27,4.5829997062683105,4.266204833984375,4.302318096160889,4.401093482971191,488750086.0,4.401093482971191
2020-09-28,4.603675842285156,4.368208408355713,4.404834747314453,4.500072956085205,464868721.0,4.500072956085205
2020-09-29,4.502008438110352,4.259804725646973,4.498006820678711,4.353696823120117,352534726.0,4.353696823120117
2020-09-30,4.578671932220459,4.26736307144165,4.353696823120117,4.346024036407471,400476985.0,4.346024036407471
2020-10-01,,,,,,
2020-10-02,,,,,,
2020-10-03,,,,,,
2020-10-04,4.241446018218994,4.128239631652832,4.181024551391602,4.170382976531982,308852045.0,4.170382976531982
2020-10-05,4.193815231323242,3.642399549484253,4.171681880950928,3.7556493282318115,613591683.0,3.7556493282318115
2020-10-06,3.8873825073242188,3.6282927989959717,3.755190372467041,3.8592638969421387,586290320.0,3.8592638969421387
2020-10-07,4.163750648498535,3.6701831817626953,3.862731695175171,4.117292404174805,573912568.0,4.117292404174805
2020-10-08,4.3548784255981445,4.030412197113037,4.120344161987305,4.273632049560547,457583964.0,4.273632049560547
2020-10-09,4.475800514221191,4.239729404449463,4.260406970977783,4.252955436706543,492038159.0,4.252955436706543
2020-10-10,4.334369659423828,4.1786208152771,4.258698463439941,4.262162208557129,388098954.0,4.262162208557129
2020-10-11,4.437003135681152,4.207902431488037,4.255739212036133,4.319948196411133,489608532.0,4.319948196411133
2020-10-12,4.344513893127441,4.1577067375183105,4.3160786628723145,4.2494001388549805,420659946.0,4.2494001388549805
2020-10-13,4.358098030090332,4.093734264373779,4.25553035736084,4.1991143226623535,520198619.0,4.1991143226623535
2020-10-14,4.1922926902771,4.033811092376709,4.1922926902771,4.096810817718506,450623089.0,4.096810817718506
2020-10-15,4.157108306884766,3.839911937713623,4.100024223327637,3.909529447555542,443295515.0,3.909529447555542
2020-10-16,3.977368116378784,3.871610403060913,3.917128324508667,3.967252254486084,206453737.0,3.967252254486084
2020-10-17,4.121717929840088,3.960012197494507,3.968360185623169,4.104650974273682,204108300.0,4.104650974273682
2020-10-18,4.111243724822998,3.964165687561035,4.110964775085449,3.9905924797058105,249983724.0,3.9905924797058105
2020-10-19,4.138195514678955,3.875638723373413,3.989689588546753,3.9103434085845947,502694692.0,3.9103434085845947
2020-10-20,4.245580673217773,3.9053406715393066,3.906003952026367,4.141119956970215,458018406.0,4.141119956970215
2020-10-21,4.331874847412109,4.131649971008301,4.1409149169921875,4.268949508666992,367309225.0,4.268949508666992
2020-10-22,4.474157333374023,4.20227575302124,4.273909091949463,4.266849517822266,461816707.0,4.266849517822266
2020-10-23,4.430924892425537,4.244642734527588,4.266852855682373,4.355343818664551,310306551.0,4.355343818664551
2020-10-24,4.447239875793457,4.267938137054443,4.355343818664551,4.335230827331543,339106539.0,4.335230827331543
2020-10-25,,,,,,
2020-10-26,4.73870849609375,4.304171085357666,4.335231304168701,4.727016448974609,722990809.0,4.727016448974609
2020-10-27,4.9277801513671875,4.66053581237793,4.727016448974609,4.6839518547058105,820401908.0,4.6839518547058105
2020-10-28,4.774251937866211,4.262276649475098,4.683953762054443,4.365096569061279,649971737.0,4.365096569061279
2020-10-29,4.403780937194824,3.879251480102539,4.365097999572754,4.0533447265625,686597328.0,4.0533447265625
2020-10-30,4.156761169433594,3.9371871948242188,4.053277969360352,4.088113307952881,586577443.0,4.088113307952881
2020-10-31,4.27423095703125,4.072735786437988,4.088186264038086,4.181767463684082,318678917.0,4.181767463684082
2020-11-01,4.22561502456665,4.122063159942627,4.181673049926758,4.22561502456665,302861123.0,4.22561502456665
2020-11-02,4.261608123779297,3.985630750656128,4.22576904296875,4.030231475830078,503474044.0,4.030231475830078
2020-11-03,4.065160751342773,3.8863697052001953,4.030229091644287,4.025468349456787,413471120.0,4.025468349456787
2020-11-04,4.147281169891357,3.8941900730133057,4.025473594665527,4.09808349609375,836536271.0,4.09808349609375
2020-11-05,4.297353744506836,4.025676250457764,4.098083972930908,4.235194683074951,375265287.0,4.235194683074951
2020-11-06,4.633965015411377,4.206799030303955,4.235196590423584,4.579651832580566,463200955.0,4.579651832580566
2020-11-07,4.83839750289917,4.1065144538879395,4.579651832580566,4.241959571838379,724809168.0,4.241959571838379
2020-11-08,4.426574230194092,4.14264440536499,4.241959571838379,4.372093200683594,393903989.0,4.372093200683594
2020-11-09,4.457684516906738,4.250327110290527,4.3720927238464355,4.346767425537109,396903279.0,4.346767425537109
2020-11-10,4.498283863067627,4.308892250061035,4.346765995025635,4.415016174316406,379322634.0,4.415016174316406
2020-11-11,4.620404243469238,4.415018081665039,4.415018081665039,4.457201957702637,404513889.0,4.457201957702637
2020-11-12,4.471586227416992,4.320396423339844,4.45720100402832,4.399240016937256,367161906.0,4.399240016937256
2020-11-13,4.585021018981934,4.37412691116333,4.399240493774414,4.540119647979736,342519103.0,4.540119647979736
2020-11-14,4.550856590270996,4.370526313781738,4.540119647979736,4.465622425079346,331350626.0,4.465622425079346
2020-11-15,4.491476058959961,4.309564590454102,4.465622425079346,4.379988193511963,325439057.0,4.379988193511963
2020-11-16,4.589542388916016,4.345863342285156,4.379988193511963,4.485499858856201,445672647.0,4.485499858856201
2020-11-17,4.910906791687012,4.566730976104736,4.608518123626709,4.84466552734375,675069949.0,4.84466552734375
2020-11-18,4.927709579467773,4.526838302612305,4.844667911529541,4.679662704467773,671452167.0,4.679662704467773
2020-11-19,4.848308086395264,4.547363758087158,4.679657936096191,4.756766319274902,551607999.0,4.756766319274902
2020-11-20,5.45979642868042,4.752434730529785,4.756759166717529,5.23343563079834,1027776286.0,5.23343563079834
2020-11-21,5.806042671203613,5.141745090484619,5.23343563079834,5.7519211769104,1022750932.0,5.7519211769104
2020-11-22,5.834374904632568,5.223394393920898,5.7519211769104,5.481853008270264,1048639985.0,5.481853008270264
2020-11-23,5.939077377319336,5.422479152679443,5.481853485107422,5.9069318771362305,997956276.0,5.9069318771362305
2020-11-24,6.0756940841674805,5.624484062194824,5.9079060554504395,5.7294464111328125,1113438978.0,5.7294464111328125
2020-11-25,5.816349983215332,5.183073043823242,5.729334831237793,5.309859752655029,1011116413.0,5.309859752655029
2020-11-26,5.365758895874023,4.459481239318848,5.308624744415283,4.804576873779297,1433368624.0,4.804576873779297
2020-11-27,5.068016529083252,4.52234411239624,4.805899620056152,4.782790184020996,864684858.0,4.782790184020996
2020-11-28,4.944545745849609,4.679183006286621,4.783547878265381,4.90047550201416,415083876.0,4.90047550201416
2020-11-29,5.200435638427734,4.81423282623291,4.901078701019287,5.190351963043213,451787953.0,5.190351963043213
2020-11-30,5.437084197998047,5.1463623046875,5.190307140350342,5.376430034637451,649773393.0,5.376430034637451
2020-12-01,5.530345916748047,5.0184407234191895,5.377254486083984,5.09356689453125,777715514.0,5.09356689453125
2020-12-02,5.532001972198486,5.030746936798096,5.0934672355651855,5.4641571044921875,607216780.0,5.4641571044921875
2020-12-03,5.564023494720459,5.338207244873047,5.464744567871094,5.4103684425354,354593131.0,5.4103684425354
2020-12-04,5.434474468231201,4.97195291519165,5.410146713256836,5.032713413238525,422944392.0,5.032713413238525
2020-12-05,5.190218925476074,4.892159938812256,5.029703617095947,5.188902854919434,408952852.0,5.188902854919434
2020-12-06,5.201379299163818,5.009243965148926,5.187959671020508,5.135868072509766,299285627.0,5.135868072509766
2020-12-07,5.154355049133301,5.018779277801514,5.134985446929932,5.060319900512695,242900962.0,5.060319900512695
2020-12-08,5.067212104797363,4.712739944458008,5.060633659362793,4.733347415924072,398505417.0,4.733347415924072
2020-12-09,4.936303615570068,4.6283087730407715,4.733149528503418,4.861896991729736,477599466.0,4.861896991729736
2020-12-10,4.912512302398682,4.749417304992676,4.863699913024902,4.797595977783203,299121449.0,4.797595977783203
2020-12-11,4.804924011230469,4.546073913574219,4.798059940338135,4.621051788330078,366039075.0,4.621051788330078
2020-12-12,4.7977824211120605,4.615324974060059,4.619785785675049,4.740454196929932,282782417.0,4.740454196929932
2020-12-13,4.994999885559082,4.735164165496826,4.740725040435791,4.891211986541748,280953204.0,4.891211986541748
2020-12-14,5.002224922180176,4.835015773773193,4.891505241394043,4.898082256317139,204385757.0,4.898082256317139
2020-12-15,5.282552719116211,4.8543829917907715,4.897907257080078,5.249607086181641,354033042.0,5.249607086181641
2020-12-16,5.361889839172363,5.124767303466797,5.248824596405029,5.359313488006592,508481878.0,5.359313488006592
2020-12-17,5.726208209991455,5.292484283447266,5.359303951263428,5.343967437744141,863948412.0,5.343967437744141
2020-12-18,5.503851413726807,5.258785724639893,5.344194412231445,5.367640972137451,607402856.0,5.367640972137451
2020-12-19,5.567253589630127,5.287726879119873,5.367059707641602,5.338944911956787,517648631.0,5.338944911956787
2020-12-20,5.429290294647217,5.090574264526367,5.338881492614746,5.188475608825684,519415555.0,5.188475608825684
2020-12-21,5.41227912902832,4.806442737579346,5.18823766708374,4.89054536819458,665375358.0,4.89054536819458
2020-12-22,5.173239707946777,4.8148064613342285,4.888160705566406,5.154829978942871,697260532.0,5.154829978942871
2020-12-23,5.184189796447754,4.619133472442627,5.154473304748535,4.710613250732422,665441295.0,4.710613250732422
2020-12-24,5.196155548095703,4.655312538146973,4.711976528167725,5.128820419311523,646511051.0,5.128820419311523
2020-12-25,5.272006034851074,5.043450832366943,5.127845764160156,5.214210510253906,512565394.0,5.214210510253906
2020-12-26,5.273874282836914,5.093932151794434,5.214895248413086,5.182180881500244,484934518.0,5.182180881500244
2020-12-27,5.394438743591309,4.952184677124023,5.18195915222168,5.136190891265869,784179881.0,5.136190891265869
2020-12-28,6.644753932952881,5.122084140777588,5.1363911628723145,6.588821887969971,1746628677.0,6.588821887969971
2020-12-29,7.607135772705078,6.198065757751465,6.582753658294678,7.519257068634033,2717983832.0,7.519257068634033
2020-12-30,7.651447772979736,7.088112831115723,7.519160270690918,7.254300117492676,2059017628.0,7.254300117492676
2020-12-31,9.430130004882812,7.1699604988098145,7.25056791305542,9.292508125305176,2751292066.0,9.292508125305176
2021-01-01,9.416586875915527,8.120193481445312,9.288180351257324,8.306818962097168,2791211123.0,8.306818962097168
2021-01-02,9.761334419250488,7.9432902336120605,8.30549144744873,9.208836555480957,3049232406.0,9.208836555480957
2021-01-03,10.45749282836914,8.873361587524414,9.209648132324219,10.033282279968262,3032883074.0,10.033282279968262
2021-01-04,10.50556468963623,8.777210235595703,10.062047958374023,9.469611167907715,2893262629.0,9.469611167907715
2021-01-05,10.041343688964844,9.08426284790039,9.475801467895508,9.701655387878418,2080742171.0,9.701655387878418
2021-01-06,10.371598243713379,9.489742279052734,9.707112312316895,10.096068382263184,2382484174.0,10.096068382263184
2021-01-07,10.62900447845459,9.4964017868042,10.094014167785645,9.644585609436035,2521342760.0,9.644585609436035
2021-01-08,9.795448303222656,8.861684799194336,9.645126342773438,9.307135581970215,2350202787.0,9.307135581970215
2021-01-09,9.823150634765625,9.053465843200684,9.305773735046387,9.777765274047852,1478813229.0,9.777765274047852
2021-01-10,9.994552612304688,8.752950668334961,9.777318000793457,9.305047988891602,1603968712.0,9.305047988891602
2021-01-11,9.304654121398926,7.228590488433838,9.304654121398926,8.276439666748047,3251043299.0,8.276439666748047
2021-01-12,8.616104125976562,7.9736528396606445,8.272259712219238,8.264147758483887,1918790089.0,8.264147758483887
2021-01-13,11.299745559692383,7.989519119262695,8.265111923217773,10.957710266113281,2915711372.0,10.957710266113281
2021-01-14,14.549703598022461,10.92501163482666,10.9478759765625,14.539050102233887,5405054868.0,14.539050102233887
