Time,anxbtc,bitflyer,kraken,localbitcoins
2015-06-01 00:00:00 UTC,761.75294517,,17.18859657,0.2666
2015-06-02 00:00:00 UTC,1098.49315177,,25.25404761,0.1843
2015-06-03 00:00:00 UTC,736.37561343,,12.7,
2015-06-04 00:00:00 UTC,446.85738785,,,0.1144
2015-06-05 00:00:00 UTC,751.07244819,,6.3,
2015-06-06 00:00:00 UTC,757.945127,,8.45089,
2015-06-07 00:00:00 UTC,426.43747634,,0.02,0.1177
2015-06-08 00:00:00 UTC,619.99864886,,3.06461906,0.1185
2015-06-09 00:00:00 UTC,1259.12893757,,0.48175703,
2015-06-10 00:00:00 UTC,925.82624944,,0.167,
2015-06-11 00:00:00 UTC,1032.35031929,,1.23,
2015-06-12 00:00:00 UTC,572.81919642,,,
2015-06-13 00:00:00 UTC,725.28266415,,1.22238872,0.188
2015-06-14 00:00:00 UTC,606.09671721,,,
2015-06-15 00:00:00 UTC,967.83592561,,0.1,0.0002
2015-06-16 00:00:00 UTC,815.0829762,,5.98001233,
2015-06-17 00:00:00 UTC,677.46424003,,42.97954503,
2015-06-18 00:00:00 UTC,501.52641575,,38.53173684,0.1081
2015-06-19 00:00:00 UTC,647.12673157,,20.24507671,0.2648
2015-06-20 00:00:00 UTC,385.02666209,,9.12189246,2.6685
2015-06-21 00:00:00 UTC,326.45348899,,0.73,
2015-06-22 00:00:00 UTC,684.24229283,,1.6391621,0.2651
2015-06-23 00:00:00 UTC,1062.535753,,0.40517,0.1104
2015-06-24 00:00:00 UTC,743.58838019,0.23,4.83008965,
2015-06-25 00:00:00 UTC,469.28924603,0.033,8.932,
2015-06-26 00:00:00 UTC,559.15982565,0.001,2.64509339,
2015-06-27 00:00:00 UTC,632.34419856,2.739,2.73884,
2015-06-28 00:00:00 UTC,793.97108766,1.28,11.316,
2015-06-29 00:00:00 UTC,800.41749523,0.99,3.81317965,
2015-06-30 00:00:00 UTC,145.55006934,4.68,7.14219,0.3549
2015-07-01 00:00:00 UTC,1071.37107615,1.711,17.08515385,0.3186
2015-07-02 00:00:00 UTC,986.69535698,3.232,7.2208168,0.1254
2015-07-03 00:00:00 UTC,820.73784248,3.1414567,4.35807104,
2015-07-04 00:00:00 UTC,499.59558828,9.258,1.07979906,0.1707
2015-07-05 00:00:00 UTC,900.78306221,17.2195,4.10185,
2015-07-06 00:00:00 UTC,1957.11227945,3.233,15.02173772,0.1617
2015-07-07 00:00:00 UTC,1447.58273004,5.9918,8.5912992,0.1633
2015-07-08 00:00:00 UTC,1076.81173052,7.940404,11.0058,0.326
2015-07-09 00:00:00 UTC,1165.70799562,7.921,12.71,0.223
2015-07-10 00:00:00 UTC,1345.19278862,8.569,13.6921532,3.2867
2015-07-11 00:00:00 UTC,796.46463806,0.94,6.8670659,
2015-07-12 00:00:00 UTC,676.17410963,4.582,22.00206305,0.935
2015-07-13 00:00:00 UTC,608.80084948,10.40358,6.0,
2015-07-14 00:00:00 UTC,988.14969888,4.69755,53.16388035,1.0212
2015-07-15 00:00:00 UTC,887.10432068,4.13700006,8.40211191,
2015-07-16 00:00:00 UTC,1462.86124014,0.864,10.368,
2015-07-17 00:00:00 UTC,1500.61903532,13.68051961,11.31,
2015-07-18 00:00:00 UTC,867.83342524,0.901,5.682,0.9594
2015-07-19 00:00:00 UTC,581.23152032,10.6178,2.724,
2015-07-20 00:00:00 UTC,591.21510998,27.32508015,2.906,1.6768
2015-07-21 00:00:00 UTC,685.50613271,17.99183145,22.09681992,0.8496
2015-07-22 00:00:00 UTC,499.61674111,17.83903978,97.8117,1.0538
2015-07-23 00:00:00 UTC,600.74113871,14.65448005,35.0756,0.1451
2015-07-24 00:00:00 UTC,737.77502621,40.93917213,80.8921,
2015-07-25 00:00:00 UTC,973.45729275,82.15324368,0.273,0.927
2015-07-26 00:00:00 UTC,539.05921345,32.05216034,,0.5377
2015-07-27 00:00:00 UTC,636.51429322,91.01182988,11.65,0.3375
2015-07-28 00:00:00 UTC,1088.00496362,203.1049022,50.1493,0.5149
2015-07-29 00:00:00 UTC,981.65070878,229.11898399,25.41059861,0.8314
2015-07-30 00:00:00 UTC,696.86765168,440.21263803,17.377,0.5929
2015-07-31 00:00:00 UTC,861.78554487,88.88078445,8.420169,0.8504
2015-08-01 00:00:00 UTC,841.37021012,9.29593237,15.26291636,0.389
2015-08-02 00:00:00 UTC,517.19747575,11.4589,9.87384629,
2015-08-03 00:00:00 UTC,598.75498198,8.30474245,10.49586955,
2015-08-04 00:00:00 UTC,627.46154557,11.52027559,0.113,1.8312
