Timestamp,total-bitcoins
2009-01-03 18:15:05,50
2009-01-14 06:22:48,21000
2009-01-17 19:29:11,41950
2009-01-21 13:06:20,62900
2009-01-25 00:18:54,83850
2009-01-28 09:10:18,104800
2009-01-31 18:57:24,125850
2009-02-04 02:29:52,146800
2009-02-07 11:43:12,167750
2009-02-10 17:37:48,188700
2009-02-14 01:14:32,209700
2009-02-17 09:16:53,230650
2009-02-20 19:59:07,251600
2009-02-24 13:57:53,272550
2009-02-28 10:36:20,293500
2009-03-04 10:07:06,314450
2009-03-08 06:09:08,335750
2009-03-12 03:31:33,357150
2009-03-15 19:40:29,378200
2009-03-19 08:09:05,399200
2009-03-23 10:49:32,420500
2009-03-27 02:03:37,441550
2009-03-30 17:41:26,462550
2009-04-03 21:39:44,486100
2009-04-07 12:44:14,507100
2009-04-11 13:00:20,528250
2009-04-15 02:04:47,549300
2009-04-18 15:28:18,570400
2009-04-22 03:37:32,591350
2009-04-26 02:48:24,612750
2009-04-29 19:52:00,633950
2009-05-03 07:00:11,655100
2009-05-06 16:53:36,677150
2009-05-10 23:46:18,698750
2009-05-14 10:52:46,719800
2009-05-17 19:26:02,741550
2009-05-22 00:33:20,763300
2009-05-27 03:30:47,785350
2009-05-31 04:51:59,807100
2009-06-05 06:28:02,828100
2009-06-12 08:48:40,849500
2009-06-17 22:30:11,870800
2009-06-23 06:08:42,892450
2009-06-29 02:10:41,914600
2009-07-04 07:14:48,935950
2009-07-09 15:33:40,957050
2009-07-15 14:50:57,979000
2009-07-23 06:18:45,1001150
2009-08-04 06:17:08,1022650
2009-08-09 09:02:18,1044650
2009-08-15 14:02:57,1066550
2009-08-30 00:00:00,1087900
2009-09-04 20:34:50,1110000
2009-09-11 04:30:55,1131650
2009-09-17 15:08:48,1153700
2009-09-24 07:14:26,1175000
2009-09-29 06:23:40,1197200
2009-10-05 10:56:05,1219550
2009-10-12 08:11:56,1242250
2009-10-19 00:22:56,1263600
2009-10-23 15:49:55,1285100
2009-10-30 00:46:56,1306150
2009-11-07 05:21:48,1327150
2009-11-13 08:39:36,1348100
2009-11-17 22:44:56,1369050
2009-11-23 00:32:15,1390100
2009-11-27 21:19:06,1411100
2009-12-03 11:17:48,1432350
2009-12-08 11:29:39,1453350
2009-12-12 12:33:22,1474300
2009-12-16 09:10:37,1495250
2009-12-18 18:22:34,1516350
2009-12-20 20:37:05,1537400
