Timestamp,n-transactions-total
2009-01-03 00:00:00,1
2009-01-11 00:00:00,77
2009-01-14 00:00:00,394
2009-01-17 00:00:00,768
2009-01-20 00:00:00,1102
2009-01-23 00:00:00,1412
2009-01-26 00:00:00,1892
2009-01-29 00:00:00,2199
2009-02-01 00:00:00,2577
2009-02-04 00:00:00,2975
2009-02-07 00:00:00,3342
2009-02-10 00:00:00,3743
2009-02-13 00:00:00,4117
2009-02-16 00:00:00,4508
2009-02-19 00:00:00,4866
2009-02-22 00:00:00,5227
2009-02-25 00:00:00,5566
2009-02-28 00:00:00,5894
2009-03-03 00:00:00,6207
2009-03-06 00:00:00,6533
2009-03-09 00:00:00,6877
2009-03-12 00:00:00,7206
2009-03-15 00:00:00,7549
2009-03-18 00:00:00,7908
2009-03-21 00:00:00,8265
2009-03-24 00:00:00,8566
2009-03-27 00:00:00,8906
2009-03-30 00:00:00,9250
2009-04-02 00:00:00,9595
2009-04-05 00:00:00,9939
2009-04-08 00:00:00,10280
2009-04-11 00:00:00,10592
2009-04-14 00:00:00,10949
2009-04-17 00:00:00,11309
2009-04-20 00:00:00,11671
2009-04-23 00:00:00,12037
2009-04-26 00:00:00,12345
2009-04-29 00:00:00,12680
2009-05-02 00:00:00,13061
2009-05-05 00:00:00,13427
2009-05-08 00:00:00,13820
2009-05-11 00:00:00,14090
2009-05-14 00:00:00,14457
2009-05-17 00:00:00,14855
2009-05-20 00:00:00,15186
2009-05-23 00:00:00,15450
2009-05-26 00:00:00,15690
2009-05-29 00:00:00,16029
2009-06-01 00:00:00,16342
2009-06-04 00:00:00,16596
2009-06-07 00:00:00,16719
2009-06-10 00:00:00,16908
2009-06-13 00:00:00,17165
2009-06-16 00:00:00,17399
2009-06-19 00:00:00,17629
2009-06-22 00:00:00,17875
2009-06-25 00:00:00,18125
2009-06-28 00:00:00,18368
2009-07-01 00:00:00,18585
2009-07-04 00:00:00,18826
2009-07-07 00:00:00,19078
2009-07-10 00:00:00,19307
2009-07-13 00:00:00,19548
2009-07-16 00:00:00,19740
2009-07-19 00:00:00,19863
2009-07-22 00:00:00,20085
2009-07-25 00:00:00,20294
2009-07-28 00:00:00,20421
2009-07-31 00:00:00,20498
2009-08-03 00:00:00,20566
2009-08-06 00:00:00,20746
2009-08-09 00:00:00,20997
2009-08-12 00:00:00,21243
2009-08-15 00:00:00,21454
2009-08-18 00:00:00,21517
2009-08-21 00:00:00,21567
2009-08-24 00:00:00,21602
2009-08-27 00:00:00,21718
2009-08-30 00:00:00,21900
2009-09-02 00:00:00,22164
2009-09-05 00:00:00,22355
2009-09-08 00:00:00,22578
2009-09-11 00:00:00,22768
2009-09-14 00:00:00,22979
2009-09-17 00:00:00,23170
2009-09-20 00:00:00,23407
2009-09-23 00:00:00,23582
2009-09-26 00:00:00,23807
2009-09-29 00:00:00,24080
2009-10-02 00:00:00,24337
2009-10-05 00:00:00,24521
2009-10-08 00:00:00,24681
2009-10-11 00:00:00,24907
2009-10-14 00:00:00,25097
2009-10-17 00:00:00,25298
2009-10-20 00:00:00,25542
2009-10-23 00:00:00,25810
2009-10-26 00:00:00,26038
2009-10-29 00:00:00,26241
2009-11-01 00:00:00,26394
2009-11-04 00:00:00,26514
2009-11-07 00:00:00,26697
2009-11-10 00:00:00,26903
2009-11-13 00:00:00,27121
2009-11-16 00:00:00,27378
2009-11-19 00:00:00,27646
2009-11-22 00:00:00,27877
2009-11-25 00:00:00,28172
2009-11-28 00:00:00,28420
2009-12-01 00:00:00,28626
2009-12-04 00:00:00,28882
2009-12-07 00:00:00,29088
2009-12-10 00:00:00,29416
2009-12-13 00:00:00,29744
2009-12-16 00:00:00,30077
2009-12-19 00:00:00,30611
2009-12-22 00:00:00,31161
2009-12-25 00:00:00,31631
2009-12-28 00:00:00,32123
2009-12-31 00:00:00,32572
2010-01-03 00:00:00,32970
2010-01-06 00:00:00,33537
2010-01-09 00:00:00,34007
2010-01-12 00:00:00,34507
2010-01-15 00:00:00,34979
2010-01-18 00:00:00,35378
2010-01-21 00:00:00,35786
2010-01-24 00:00:00,36268
2010-01-27 00:00:00,36839
2010-01-30 00:00:00,37385
2010-02-02 00:00:00,37959
2010-02-05 00:00:00,38611
2010-02-08 00:00:00,39266
2010-02-11 00:00:00,39857
2010-02-14 00:00:00,40454
2010-02-17 00:00:00,41059
2010-02-20 00:00:00,41719
2010-02-23 00:00:00,42421
2010-02-26 00:00:00,43007
2010-03-01 00:00:00,43517
2010-03-04 00:00:00,44067
2010-03-07 00:00:00,44611
2010-03-10 00:00:00,45072
2010-03-13 00:00:00,45500
2010-03-16 00:00:00,45921
2010-03-19 00:00:00,46338
2010-03-22 00:00:00,46894
2010-03-25 00:00:00,47482
2010-03-28 00:00:00,48081
2010-03-31 00:00:00,48701
2010-04-03 00:00:00,49255
2010-04-06 00:00:00,49785
2010-04-09 00:00:00,50361
2010-04-12 00:00:00,51145
2010-04-15 00:00:00,51827
2010-04-18 00:00:00,52599
2010-04-21 00:00:00,56469
2010-04-24 00:00:00,57120
2010-04-27 00:00:00,57737
2010-04-30 00:00:00,58376
2010-05-03 00:00:00,58937
2010-05-06 00:00:00,59463
2010-05-09 00:00:00,59980
