Date,topic_counts
2017-07-01,"[3, 9, 17, 20, 2, 26, 5, 3, 1, 4, 1, 1, 64, 158, 12, 10, 10, 5, 7, 42, 1, 9, 118, 28, 2, 27, 19, 5, 39, 6, 3, 0, 18, 2, 10, 19, 20, 0, 30, 8, 8, 3, 11, 1, 5, 2, 8, 3, 55, 100, 23, 0, 0, 2, 1, 7, 50, 3, 13, 0, 90, 0, 14, 202, 9, 85, 8, 23, 14, 19, 2, 0, 363, 0, 5, 127, 25, 110, 0, 99, 5, 2, 0, 22, 4, 0, 210, 65, 10, 25, 0, 40, 193]"
2017-07-02,"[2, 7, 17, 21, 0, 12, 9, 3, 2, 5, 6, 6, 87, 126, 9, 6, 5, 1, 2, 49, 0, 17, 129, 32, 6, 34, 30, 6, 29, 5, 5, 0, 17, 4, 18, 15, 22, 2, 53, 4, 12, 1, 11, 1, 3, 1, 11, 1, 53, 157, 39, 0, 0, 3, 1, 4, 41, 3, 3, 1, 84, 0, 21, 193, 6, 70, 10, 16, 29, 11, 3, 1, 350, 1, 5, 134, 7, 119, 1, 101, 0, 4, 0, 32, 7, 2, 257, 48, 0, 26, 0, 50, 154]"
2017-07-03,"[4, 8, 49, 21, 2, 20, 10, 0, 4, 3, 2, 10, 132, 198, 4, 7, 4, 1, 19, 116, 2, 12, 181, 38, 9, 31, 13, 1, 35, 15, 7, 0, 49, 7, 16, 12, 39, 0, 100, 6, 13, 2, 11, 1, 6, 7, 23, 1, 69, 153, 40, 1, 1, 0, 0, 12, 120, 0, 5, 4, 122, 0, 20, 330, 16, 80, 15, 35, 7, 17, 1, 15, 404, 1, 8, 209, 29, 153, 4, 133, 1, 1, 0, 48, 8, 1, 332, 87, 4, 30, 0, 51, 168]"
2017-07-04,"[31, 8, 42, 25, 1, 26, 5, 0, 2, 3, 8, 8, 92, 169, 9, 4, 2, 9, 7, 79, 1, 2, 155, 26, 5, 36, 12, 3, 37, 6, 8, 1, 43, 4, 13, 11, 28, 0, 60, 7, 8, 0, 13, 4, 3, 1, 16, 1, 105, 145, 17, 3, 0, 2, 2, 13, 93, 2, 1, 2, 115, 0, 40, 276, 22, 72, 4, 32, 16, 18, 3, 1, 400, 1, 5, 160, 11, 132, 3, 138, 0, 0, 0, 30, 6, 0, 407, 57, 1, 26, 0, 48, 158]"
2017-07-05,"[37, 8, 34, 20, 2, 21, 2, 1, 1, 0, 0, 8, 78, 173, 12, 7, 5, 8, 8, 63, 1, 14, 162, 29, 3, 35, 20, 8, 32, 24, 13, 0, 38, 5, 17, 14, 26, 2, 45, 6, 3, 0, 6, 0, 7, 4, 16, 2, 64, 148, 25, 0, 0, 1, 0, 10, 52, 7, 3, 1, 105, 0, 29, 268, 16, 78, 6, 26, 13, 20, 0, 0, 429, 2, 6, 148, 3, 117, 4, 111, 0, 1, 0, 35, 1, 0, 299, 68, 4, 32, 1, 42, 144]"
2017-07-06,"[37, 3, 37, 9, 1, 17, 3, 1, 1, 6, 23, 10, 96, 232, 24, 9, 0, 7, 11, 77, 1, 6, 177, 27, 5, 30, 18, 5, 12, 16, 4, 0, 37, 3, 24, 13, 36, 3, 44, 3, 3, 1, 10, 1, 2, 0, 28, 1, 94, 143, 28, 6, 0, 2, 1, 2, 59, 1, 5, 0, 101, 0, 23, 320, 11, 96, 5, 25, 12, 20, 2, 3, 426, 1, 8, 147, 7, 113, 1, 147, 2, 0, 0, 30, 4, 1, 308, 96, 1, 27, 1, 44, 144]"
2017-07-07,"[16, 12, 59, 22, 1, 13, 9, 1, 1, 0, 15, 2, 108, 214, 7, 12, 5, 2, 15, 72, 2, 8, 187, 40, 10, 28, 29, 2, 36, 13, 9, 0, 59, 4, 14, 7, 28, 0, 54, 2, 3, 2, 11, 1, 0, 2, 14, 1, 88, 148, 18, 2, 2, 2, 1, 10, 100, 10, 8, 0, 120, 0, 17, 300, 15, 111, 4, 20, 47, 26, 2, 0, 501, 0, 7, 148, 5, 131, 5, 161, 0, 1, 0, 39, 1, 0, 328, 93, 0, 14, 0, 42, 188]"
2017-07-08,"[0, 2, 39, 14, 0, 13, 7, 2, 1, 6, 3, 9, 63, 136, 7, 11, 4, 3, 9, 30, 2, 10, 129, 36, 7, 15, 11, 5, 24, 5, 5, 0, 39, 3, 12, 12, 40, 2, 36, 7, 5, 0, 5, 0, 2, 0, 12, 0, 50, 124, 36, 5, 0, 0, 2, 12, 41, 5, 1, 1, 107, 0, 20, 207, 25, 67, 4, 20, 23, 22, 0, 1, 349, 2, 7, 119, 0, 110, 3, 95, 3, 0, 0, 34, 3, 1, 296, 57, 2, 10, 0, 34, 144]"
2017-07-09,"[4, 6, 56, 11, 0, 10, 5, 2, 1, 0, 0, 6, 40, 148, 9, 9, 1, 0, 6, 33, 0, 8, 117, 28, 3, 19, 4, 2, 29, 8, 4, 0, 56, 4, 17, 11, 22, 0, 28, 4, 8, 1, 9, 0, 2, 2, 10, 1, 53, 111, 25, 1, 0, 2, 0, 4, 50, 3, 3, 0, 91, 0, 25, 221, 21, 84, 5, 34, 11, 18, 0, 2, 325, 1, 5, 122, 4, 108, 1, 104, 5, 0, 0, 25, 5, 0, 210, 52, 1, 10, 2, 31, 130]"
2017-07-10,"[1, 6, 45, 24, 3, 15, 2, 0, 0, 9, 8, 10, 130, 196, 25, 12, 10, 2, 16, 135, 1, 4, 263, 38, 9, 18, 42, 10, 39, 21, 11, 0, 45, 4, 24, 12, 39, 1, 69, 10, 5, 0, 7, 1, 2, 3, 4, 1, 92, 162, 22, 3, 0, 6, 5, 7, 40, 12, 1, 1, 87, 0, 17, 279, 21, 97, 13, 33, 9, 27, 0, 2, 456, 1, 13, 171, 3, 144, 2, 166, 2, 5, 0, 38, 5, 0, 573, 86, 3, 14, 0, 49, 205]"
