,average_value_of_feature_importances
XMR_AdjClose_LogReturn,0.3333333333333333
BNB_AdjClose_LogReturn,0.23333333333333334
BNB_AdjClose_LogReturn_lag1,0.16666666666666666
NEO_AdjClose_LogReturn,0.16666666666666666
XMR_AdjClose_LogReturn_lag1,0.1
XLM_AdjClose_LogReturn_lag1,0.0
LTC_AdjClose_LogReturn_lag1,0.0
ETH_AdjClose_LogReturn_lag1,0.0
ETC_AdjClose_LogReturn,0.0
XEM_AdjClose_LogReturn,0.0
EOS_AdjClose_LogReturn,0.0
BCH_AdjClose_LogReturn,0.0
LTC_AdjClose_LogReturn,0.0
XRP_AdjClose_LogReturn,0.0
ETH_AdjClose_LogReturn,0.0
