,average_value_of_feature_importances
02_market-cap_LogReturn,0.07386789112525463
btc_LogReturn,0.07154960186110244
LTC_AdjClose_LogReturn,0.05768376407670249
BNB_AdjClose_LogReturn,0.0533883814395625
ETH_AdjClose_LogReturn,0.04770136454568909
BCH_AdjClose_LogReturn,0.03982869722860457
XMR_AdjClose_LogReturn_lag1,0.038558526032838
ETH_AdjClose_LogReturn_lag1,0.036638031003291355
BCH_AdjClose_LogReturn_lag1,0.034569430827692246
29_mvrv_LogReturn,0.03396550584177673
00_total-bitcoins_LogReturn,0.03307247988094194
ZEC_AdjClose_LogReturn_lag1,0.030735972968040377
00_total-bitcoins_LogReturn_lag1,0.029116837295009572
EOS_AdjClose_LogReturn,0.029012881824653676
ZEC_AdjClose_LogReturn_lag2,0.028406908576172056
XMR_AdjClose_LogReturn,0.028256998707271327
00_total-bitcoins_LogReturn_lag2,0.027136206286547265
LTC_AdjClose_LogReturn_lag1,0.027072434851850458
XRP_Volume_LogReturn,0.026845261229203422
XRP_AdjClose_LogReturn_lag1,0.026695753921124145
BNB_AdjClose_LogReturn_lag1,0.025285933690721286
IOTA_AdjClose_LogReturn_lag1,0.025131319694213956
NEO_AdjClose_LogReturn,0.025005658968844834
07_n-transactions-total_LogReturn,0.023837011935944438
NEO_AdjClose_LogReturn_lag1,0.023438470060487847
ZEC_AdjClose_LogReturn,0.022945145481052136
ETC_AdjClose_LogReturn,0.021686945012982087
EOS_AdjClose_LogReturn_lag1,0.02072426353648939
ETC_AdjClose_LogReturn_lag1,0.01946651096364013
XRP_AdjClose_LogReturn,0.018375811132295746
