,average_value_of_feature_importances
btc_LogReturn,0.08874198717948718
market-cap_LogReturn,0.08193108974358974
XRP_Volume_LogReturn,0.06229967948717949
LTC_AdjClose_LogReturn,0.05809294871794872
mvrv_LogReturn,0.04807692307692308
BNB_AdjClose_LogReturn,0.04266826923076923
IOTA_AdjClose_LogReturn_lag1,0.04246794871794872
ETH_AdjClose_LogReturn,0.040665064102564104
ZEC_AdjClose_LogReturn,0.038661858974358976
total-bitcoins_LogReturn,0.03806089743589743
total-bitcoins_LogReturn_lag2,0.03705929487179487
ETH_AdjClose_LogReturn_lag1,0.036258012820512824
BCH_AdjClose_LogReturn,0.03485576923076923
BNB_AdjClose_LogReturn_lag1,0.03465544871794872
NEO_AdjClose_LogReturn,0.033854166666666664
XMR_AdjClose_LogReturn_lag1,0.03345352564102564
EOS_AdjClose_LogReturn,0.033052884615384616
XMR_AdjClose_LogReturn,0.030849358974358976
n-transactions-total_LogReturn,0.030048076923076924
ZEC_AdjClose_LogReturn_lag1,0.028846153846153848
NEO_AdjClose_LogReturn_lag1,0.028645833333333332
LTC_AdjClose_LogReturn_lag1,0.028044871794871796
BCH_AdjClose_LogReturn_lag1,0.027443910256410256
XRP_AdjClose_LogReturn_lag1,0.024238782051282052
EOS_AdjClose_LogReturn_lag1,0.017027243589743588
