,average_value_of_feature_importances
btc_LogReturn,0.0812585586269776
market-cap_LogReturn,0.08111689124013627
LTC_AdjClose_LogReturn,0.061902181913207704
ETH_AdjClose_LogReturn,0.05613994395289708
BNB_AdjClose_LogReturn,0.0531825764348453
ETH_AdjClose_LogReturn_lag1,0.04888285270912133
XMR_AdjClose_LogReturn_lag1,0.03845045044107844
total-bitcoins_LogReturn,0.03760636429406544
BCH_AdjClose_LogReturn_lag1,0.03752052348381832
mvrv_LogReturn,0.03748905752596228
BNB_AdjClose_LogReturn_lag1,0.03464680402777611
NEO_AdjClose_LogReturn,0.03415611422805294
BCH_AdjClose_LogReturn,0.03393114998912843
LTC_AdjClose_LogReturn_lag1,0.03332156522087956
total-bitcoins_LogReturn_lag2,0.032807487884318816
ZEC_AdjClose_LogReturn_lag1,0.03268170856471547
NEO_AdjClose_LogReturn_lag1,0.031998130072592855
n-transactions-total_LogReturn,0.031990920862334606
XMR_AdjClose_LogReturn,0.031237226601488352
EOS_AdjClose_LogReturn,0.03113059772579827
XRP_AdjClose_LogReturn_lag1,0.029251573288483122
XRP_Volume_LogReturn,0.02888682142321817
IOTA_AdjClose_LogReturn_lag1,0.028129544238274348
ZEC_AdjClose_LogReturn,0.02684741048783644
EOS_AdjClose_LogReturn_lag1,0.025433544762992817
