,average_value_of_feature_importances
BTC_Price_LogReturn,0.19016817593790428
XMR_Price_LogReturn_lag1,0.10284605433376455
XRP_Volume_LogReturn,0.09184993531694696
BNB_Price_LogReturn,0.08926261319534282
ETH_Price_LogReturn_lag1,0.08538163001293661
market-cap_LogReturn,0.06532988357050452
LTC_Price_LogReturn,0.0517464424320828
BCH_Price_LogReturn_lag1,0.0517464424320828
mvrv_LogReturn,0.04980595084087969
IOTA_Price_LogReturn_lag1,0.047865459249676584
EOS_Price_LogReturn,0.029754204398447608
ZEC_Price_LogReturn_lag1,0.022639068564036222
XMR_Price_LogReturn,0.022639068564036222
LTC_Price_LogReturn_lag1,0.02069857697283312
BNB_Price_LogReturn_lag1,0.018111254851228976
NEO_Price_LogReturn_lag1,0.016817593790426907
EOS_Price_LogReturn_lag1,0.013583441138421734
ETH_Price_LogReturn,0.012289780077619664
XRP_Price_LogReturn_lag1,0.007761966364812419
NEO_Price_LogReturn,0.00646830530401035
WAVES_Price_LogReturn_lag1,0.003234152652005175
BCH_Price_LogReturn,0.0
ZEC_Price_LogReturn,0.0
ETC_Price_LogReturn_lag1,0.0
