,average_value_of_feature_importances
BTC_Price_LogReturn,0.09453005299735884
market-cap_LogReturn,0.08626943866875995
ETH_Price_LogReturn,0.05904544076737936
LTC_Price_LogReturn,0.058174459560861584
BNB_Price_LogReturn,0.05153326561550715
ETH_Price_LogReturn_lag1,0.047963221561611896
BCH_Price_LogReturn_lag1,0.046342311764362015
mvrv_LogReturn,0.04291354709579104
XMR_Price_LogReturn_lag1,0.04284990678357451
LTC_Price_LogReturn_lag1,0.04139092616146758
EOS_Price_LogReturn,0.040396519906235884
BCH_Price_LogReturn,0.03855648106214273
XMR_Price_LogReturn,0.03772287111552299
BNB_Price_LogReturn_lag1,0.034115495619777815
NEO_Price_LogReturn,0.032410054227447874
NEO_Price_LogReturn_lag1,0.031008775451558862
XRP_Price_LogReturn_lag1,0.029850048628027447
WAVES_Price_LogReturn_lag1,0.0287098833713759
ZEC_Price_LogReturn,0.02851143636733383
XRP_Volume_LogReturn,0.027525721215356024
IOTA_Price_LogReturn_lag1,0.026753755705965773
ZEC_Price_LogReturn_lag1,0.026669176420828354
EOS_Price_LogReturn_lag1,0.023446048459015136
ETC_Price_LogReturn_lag1,0.023311161472737485
