CV,test_start,test_end,model,best_params,feature_selection,dependent_variable,independent_variables,DV_shifts,IV_lags,n_train_days,n_valid_days,n_test_days,train_valid_model_f1,test_model_f1,train_valid_random_f1,test_random_f1,train_valid_naive_f1,test_naive_f1,train_valid_model_accuracy,test_model_accuracy,train_valid_random_accuracy,test_random_accuracy,train_valid_naive_accuracy,test_naive_accuracy,train_valid_AlgoReturns,test_AlgoReturns,train_valid_RandomReturns,test_RandomReturns,train_valid_NaiveReturns,test_NaiveReturns,train_valid_BuyAndHolds,test_BuyAndHolds,execution_time,finished_time
1,2019-03-09,2019-05-07,DNNC,"{'num_layer_hidden': 4, 'num_unit_hidden1': 44, 'num_unit_hidden': 23, 'activation': 'tanh', 'dropout_rate': 0.33711842227013106, 'optimizer': 'adam', 'batch_size': 8, 'epochs': 12}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '29_mvrv_LogReturn', 'BNB_Volume_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,1,480,60,60,0.7458866544789763,0.717948717948718,0.5313092979127134,0.6666666666666667,0.5018181818181818,0.75,0.7406716417910447,0.6333333333333333,0.539179104477612,0.5666666666666667,0.48880597014925375,0.6333333333333333,8.622726214201883,1.0287849688648123,1.207000297269774,0.6853075662293744,0.26534744322859183,0.890343168770471,0.05053166478180238,1.091236501192327,314.23222816199996,2021_03_17_18_48
2,2019-05-08,2019-07-06,DNNC,"{'num_layer_hidden': 4, 'num_unit_hidden1': 36, 'num_unit_hidden': 24, 'activation': 'tanh', 'dropout_rate': 0.32418141495447256, 'optimizer': 'adam', 'batch_size': 8, 'epochs': 12}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '29_mvrv_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,1,480,60,60,0.7600700525394046,0.7749999999999999,0.509090909090909,0.5405405405405406,0.5321428571428571,0.6829268292682927,0.7444029850746269,0.7,0.4962686567164179,0.43333333333333335,0.5111940298507462,0.5666666666666667,8.400433873427257,2.339895040246489,-1.0845814658015396,0.8866428019907424,0.316150767054971,1.4993503238937294,-0.4008220695606415,2.0221645590091075,305.20861864400285,2021_03_17_18_48
3,2019-07-07,2019-09-04,DNNC,"{'num_layer_hidden': 2, 'num_unit_hidden1': 38, 'num_unit_hidden': 10, 'activation': 'tanh', 'dropout_rate': 0.2832849168818614, 'optimizer': 'adam', 'batch_size': 32, 'epochs': 19}",True,btc_LogReturn_binary,"['ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,1,480,60,60,0.7534722222222222,0.7741935483870968,0.48717948717948717,0.31578947368421056,0.5266903914590747,0.4642857142857143,0.7350746268656716,0.7666666666666667,0.47761194029850745,0.35,0.503731343283582,0.5,8.3158233500921,1.0547886058449603,-0.9471351404166999,-0.8423537008619473,0.08459310985625201,-0.0050596218463017095,-0.7981977948255192,-0.34163160280751903,303.7222766160012,2021_03_17_18_48
4,2019-09-05,2019-11-03,DNNC,"{'num_layer_hidden': 3, 'num_unit_hidden1': 66, 'num_unit_hidden': 25, 'activation': 'tanh', 'dropout_rate': 0.27525949366350494, 'optimizer': 'adam', 'batch_size': 32, 'epochs': 12}",True,btc_LogReturn_binary,"['ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'NEO_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,1,480,60,60,0.7544483985765125,0.5625,0.5182481751824817,0.4363636363636364,0.5278276481149013,0.34615384615384615,0.7425373134328358,0.5333333333333333,0.5074626865671642,0.48333333333333334,0.5093283582089553,0.43333333333333335,8.624801896320225,0.4058897073054375,0.4529456755357266,-0.4289083341526503,1.1914506251177936,-0.18253344560869067,0.08989144536937665,-0.09013692345399882,300.1695993680005,2021_03_17_18_48
5,2019-11-04,2020-01-02,DNNC,"{'num_layer_hidden': 2, 'num_unit_hidden1': 78, 'num_unit_hidden': 19, 'activation': 'tanh', 'dropout_rate': 0.23358480806855392, 'optimizer': 'adam', 'batch_size': 64, 'epochs': 25}",True,btc_LogReturn_binary,"['ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'NEO_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,1,480,60,60,0.7460035523978686,0.4313725490196078,0.5313653136531366,0.4067796610169492,0.517304189435337,0.2790697674418604,0.7332089552238806,0.5166666666666667,0.5261194029850746,0.4166666666666667,0.5055970149253731,0.48333333333333334,8.366240526980516,-0.25620249526680716,1.5148384443577498,-0.7564837921125509,1.0423225720631564,-0.42738259012058855,0.2182107932759525,-0.713070978957365,298.163315566002,2021_03_17_18_48
6,2020-01-03,2020-03-02,DNNC,"{'num_layer_hidden': 4, 'num_unit_hidden1': 121, 'num_unit_hidden': 13, 'activation': 'tanh', 'dropout_rate': 0.37625181544260194, 'optimizer': 'adam', 'batch_size': 16, 'epochs': 20}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '29_mvrv_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1']",3,1,480,60,60,0.7188081936685288,0.7500000000000001,0.5139664804469274,0.49230769230769234,0.5074074074074074,0.5757575757575758,0.7182835820895522,0.7,0.5130597014925373,0.45,0.503731343283582,0.5333333333333333,7.677712398063781,0.9914479175639084,0.05867388515239824,0.0673753293978212,1.3512816804573369,0.2603043669801064,0.36613231408544067,0.6116306024659952,298.3424970800006,2021_03_17_18_48
7,2020-03-03,2020-05-01,DNNC,"{'num_layer_hidden': 3, 'num_unit_hidden1': 127, 'num_unit_hidden': 20, 'activation': 'tanh', 'dropout_rate': 0.26740724719921893, 'optimizer': 'adam', 'batch_size': 16, 'epochs': 13}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '04_blocks-size_LogReturn', '07_n-transactions-total_LogReturn', '29_mvrv_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', '07_n-transactions-total_LogReturn_lag1', 'ETH_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1']",3,1,480,60,60,0.7169811320754716,0.6229508196721311,0.5142857142857143,0.5671641791044776,0.4981549815498155,0.6027397260273972,0.7201492537313433,0.6166666666666667,0.5242537313432836,0.5166666666666667,0.4925373134328358,0.5166666666666667,7.76862555415247,0.9745823188427529,1.2822791340512723,0.40567785020753355,1.3560888141096648,0.2827392427437818,1.069860501586378,-0.4637996829294089,300.728774545998,2021_03_17_18_48
8,2020-05-02,2020-06-30,DNNC,"{'num_layer_hidden': 4, 'num_unit_hidden1': 102, 'num_unit_hidden': 10, 'activation': 'tanh', 'dropout_rate': 0.3717560279178548, 'optimizer': 'adam', 'batch_size': 64, 'epochs': 13}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '04_blocks-size_LogReturn', '07_n-transactions-total_LogReturn', '29_mvrv_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', '07_n-transactions-total_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1']",3,1,480,60,60,0.6967071057192374,0.5283018867924528,0.5531914893617021,0.5396825396825397,0.5225225225225225,0.5454545454545455,0.6735074626865671,0.5833333333333334,0.5298507462686567,0.5166666666666667,0.5055970149253731,0.5,7.840518504776606,0.4272196087268725,2.1545196315950594,0.21229497151042764,1.871064550204828,-0.08865001851382459,0.5063238416768296,0.5497663902451588,291.27328272900195,2021_03_17_18_48
9,2020-07-01,2020-08-29,DNNC,"{'num_layer_hidden': 3, 'num_unit_hidden1': 56, 'num_unit_hidden': 32, 'activation': 'tanh', 'dropout_rate': 0.3057021802025128, 'optimizer': 'adam', 'batch_size': 16, 'epochs': 12}",True,btc_LogReturn_binary,"['29_mvrv_LogReturn', 'USDT_Volume_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1']",3,1,480,60,60,0.690846286701209,0.7567567567567569,0.4699453551912569,0.5161290322580645,0.5363321799307958,0.4857142857142857,0.6660447761194029,0.7,0.457089552238806,0.5,0.5,0.4,8.428466588795162,0.8042700934296789,-0.10966134268565142,0.057759222716862624,2.0039548314738553,0.4139441967295774,2.5231641564339125,0.6832773026714971,292.0597145870015,2021_03_17_18_48
10,2020-08-30,2020-10-28,DNNC,"{'num_layer_hidden': 4, 'num_unit_hidden1': 116, 'num_unit_hidden': 24, 'activation': 'tanh', 'dropout_rate': 0.3224488867391288, 'optimizer': 'adam', 'batch_size': 64, 'epochs': 16}",True,btc_LogReturn_binary,"['07_n-transactions-total_LogReturn', '29_mvrv_LogReturn', 'USDT_Volume_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1']",3,1,480,60,60,0.7356321839080461,0.7199999999999999,0.4990892531876138,0.5573770491803278,0.5476190476190474,0.6052631578947368,0.6996268656716418,0.65,0.4869402985074627,0.55,0.503731343283582,0.5,9.413653493565972,0.7585106533761401,1.6213347355134395,0.10379915755926561,2.611366722787057,0.23269532278685467,3.2807886450985944,0.35091494449700633,296.78782493199833,2021_03_17_18_48
