CV,test_start,test_end,model,best_params,feature_selection,dependent_variable,independent_variables,DV_shifts,IV_lags,n_train_days,n_valid_days,n_test_days,train_valid_model_f1,test_model_f1,train_valid_random_f1,test_random_f1,train_valid_naive_f1,test_naive_f1,train_valid_model_accuracy,test_model_accuracy,train_valid_random_accuracy,test_random_accuracy,train_valid_naive_accuracy,test_naive_accuracy,train_valid_AlgoReturns,test_AlgoReturns,train_valid_RandomReturns,test_RandomReturns,train_valid_NaiveReturns,test_NaiveReturns,train_valid_BuyAndHolds,test_BuyAndHolds,execution_time,finished_time
1,2019-03-08,2019-05-06,LGBMC,"{'max_depth': 6, 'n_estimators': 122, 'learning_rate': 0.0013846851593803803}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '17_cost-per-transaction_LogReturn', '29_mvrv_LogReturn', '31_nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",2,1,480,60,60,0.8509874326750447,0.6176470588235295,0.5074074074074074,0.6086956521739131,0.5204460966542751,0.625,0.845437616387337,0.5666666666666667,0.5046554934823091,0.55,0.5195530726256983,0.5,9.756746985407993,0.6959008928275701,1.2299959909239995,0.6465424692062083,1.778022091264429,0.4178650987156285,-0.12438710705245803,0.7618241828733296,68.29914476000022,2021_03_11_23_11
2,2019-05-07,2019-07-05,LGBMC,"{'max_depth': 3, 'n_estimators': 597, 'learning_rate': 0.0013980539734770824}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '17_cost-per-transaction_LogReturn', '29_mvrv_LogReturn', '31_nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",2,1,480,60,60,0.8235294117647058,0.8831168831168831,0.4761904761904762,0.5833333333333334,0.5202952029520295,0.65,0.8156424581005587,0.85,0.48789571694599626,0.5,0.515828677839851,0.5333333333333333,8.826479103883324,1.9932027448767933,0.28886901879712745,0.9284316694869261,1.2553216141183778,0.9956048118269987,-0.20276038234134752,1.3212217208378476,62.18646524700034,2021_03_11_23_11
3,2019-07-06,2019-09-03,LGBMC,"{'max_depth': 3, 'n_estimators': 917, 'learning_rate': 0.007020448034018283}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '29_mvrv_LogReturn', '31_nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",2,1,480,60,60,0.9203539823008848,0.8493150684931509,0.5344827586206896,0.4590163934426229,0.5297297297297298,0.48484848484848486,0.9162011173184358,0.8166666666666667,0.4972067039106145,0.45,0.5139664804469274,0.43333333333333335,9.538554021139879,0.9380615500176717,0.46492103286353803,-0.22867617270834373,1.0455098638271707,-0.18424993838569925,-0.5479521374512242,-0.21754435825326368,63.91774064299989,2021_03_11_23_11
4,2019-09-04,2019-11-02,LGBMC,"{'max_depth': 4, 'n_estimators': 430, 'learning_rate': 0.004525474094006673}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '29_mvrv_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'NEO_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",2,1,480,60,60,0.8942807625649913,0.6984126984126985,0.47777777777777775,0.3859649122807018,0.5214285714285714,0.2978723404255319,0.8864059590316573,0.6833333333333333,0.4748603351955307,0.4166666666666667,0.5009310986964618,0.45,8.938114238359178,0.6825586453058516,-0.9559329285024774,0.01952428609440915,1.190107250891602,-0.10718378909536419,0.05437178846616497,-0.06171634231495737,64.47400671100013,2021_03_11_23_11
5,2019-11-03,2020-01-01,LGBMC,"{'max_depth': 3, 'n_estimators': 761, 'learning_rate': 0.003850638094798039}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '29_mvrv_LogReturn', '31_nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'NEO_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ZEC_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",2,1,480,60,60,0.864957264957265,0.5818181818181818,0.5255474452554744,0.37500000000000006,0.5108695652173914,0.2666666666666666,0.8528864059590316,0.6166666666666667,0.515828677839851,0.5,0.4972067039106145,0.45,8.418602961834328,0.11182894531959064,0.1590061842059569,-0.2673742292964043,1.082981281199368,-0.23611959254233206,0.132745096316766,-0.47202388598664236,65.90292967200003,2021_03_11_23_11
6,2020-01-02,2020-03-01,LGBMC,"{'max_depth': 7, 'n_estimators': 933, 'learning_rate': 0.08914902404349767}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '29_mvrv_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'NEO_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",2,1,480,60,60,1.0,0.7058823529411764,0.5028142589118199,0.6268656716417911,0.4944237918215613,0.5454545454545454,1.0,0.6666666666666666,0.5065176908752328,0.5833333333333334,0.4934823091247672,0.5,9.399931741161234,0.7065622926196582,0.5418719985170313,0.3477157661089887,1.1093446801787277,0.20765538605740375,0.24278130236753626,0.3608273134891924,62.83994923899991,2021_03_11_23_11
7,2020-03-02,2020-04-30,LGBMC,"{'max_depth': 7, 'n_estimators': 427, 'learning_rate': 0.03525355160670544}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '07_n-transactions-total_LogReturn', '29_mvrv_LogReturn', 'cny_usd_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', '07_n-transactions-total_LogReturn_lag1', 'ETH_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",2,1,480,60,60,1.0,0.7777777777777778,0.4858757062146893,0.611111111111111,0.4879852125693161,0.5833333333333333,1.0,0.7333333333333333,0.49162011173184356,0.5333333333333333,0.48417132216014896,0.5,9.410255779875783,1.2432266894761685,0.4126701298174602,0.37306694831073095,0.9464181361999557,0.00484111857364411,0.6700527384615587,-0.2543109151237868,62.958234645000175,2021_03_11_23_11
8,2020-05-01,2020-06-29,LGBMC,"{'max_depth': 7, 'n_estimators': 200, 'learning_rate': 0.05569089047221722}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '29_mvrv_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', '07_n-transactions-total_LogReturn_lag1', 'USDT_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",2,1,480,60,60,1.0,0.7887323943661972,0.5171790235081375,0.47457627118644075,0.4981949458483755,0.5294117647058822,1.0,0.75,0.5027932960893855,0.48333333333333334,0.4823091247672253,0.4666666666666667,10.594913008481006,0.7695090550486654,1.3340271769231133,-0.015405039463439962,0.8829401120816964,0.04955209492239376,0.3481625359488216,0.3437820883784575,60.80146985200008,2021_03_11_23_11
9,2020-06-30,2020-08-28,LGBMC,"{'max_depth': 3, 'n_estimators': 539, 'learning_rate': 0.0005167233184531711}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '29_mvrv_LogReturn', '31_nvts_LogReturn', 'cny_usd_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",2,1,480,60,60,0.821656050955414,0.7792207792207791,0.5197132616487455,0.45901639344262296,0.5146804835924007,0.5405405405405406,0.7914338919925512,0.7166666666666667,0.5009310986964618,0.45,0.4767225325884544,0.43333333333333335,8.35548432307226,0.5988421121637089,1.4166576773445279,0.12173839618540505,1.182913526600494,0.2899692042055637,1.690135922069926,0.4552268547312277,60.65706993499998,2021_03_11_23_11
10,2020-08-29,2020-10-27,LGBMC,"{'max_depth': 3, 'n_estimators': 559, 'learning_rate': 0.004716787299007745}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '29_mvrv_LogReturn', '31_nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', '07_n-transactions-total_LogReturn_lag1', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'BNB_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'NEO_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ZEC_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",2,1,480,60,60,0.8825396825396825,0.8918918918918918,0.5150976909413855,0.5333333333333333,0.5227655986509274,0.591549295774648,0.8621973929236499,0.8666666666666667,0.49162011173184356,0.5333333333333333,0.4729981378026071,0.5166666666666667,9.81406126006635,0.7324771925099895,0.956041765675895,0.03348789912644001,1.4181474394781866,0.12959017730538314,2.1801888016101802,0.24229007544488468,69.81053308299988,2021_03_11_23_11
