CV,test_start,test_end,model,best_params,feature_selection,dependent_variable,independent_variables,DV_shifts,IV_lags,n_train_days,n_valid_days,n_test_days,train_valid_model_f1,test_model_f1,train_valid_random_f1,test_random_f1,train_valid_naive_f1,test_naive_f1,train_valid_model_accuracy,test_model_accuracy,train_valid_random_accuracy,test_random_accuracy,train_valid_naive_accuracy,test_naive_accuracy,train_valid_AlgoReturns,test_AlgoReturns,train_valid_RandomReturns,test_RandomReturns,train_valid_NaiveReturns,test_NaiveReturns,train_valid_BuyAndHolds,test_BuyAndHolds,execution_time,finished_time
1,2019-03-08,2019-05-06,RFC,"{'max_depth': 7, 'n_estimators': 247, 'min_samples_leaf': 5, 'min_samples_split': 3}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '17_cost-per-transaction_LogReturn', '29_mvrv_LogReturn', '31_nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn']",2,0,480,60,60,0.8880733944954129,0.6956521739130435,0.5018315018315019,0.4848484848484849,0.5204460966542751,0.625,0.8866171003717472,0.65,0.4944237918215613,0.43333333333333335,0.5204460966542751,0.5,10.601116720185948,0.7666516643190331,-0.7547654561808272,0.19226091786691946,1.778022091264429,0.4178650987156285,-0.20709672299891224,0.7618241828733296,135.4113255909997,2021_03_19_21_56
2,2019-05-07,2019-07-05,RFC,"{'max_depth': 6, 'n_estimators': 65, 'min_samples_leaf': 5, 'min_samples_split': 6}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '17_cost-per-transaction_LogReturn', '29_mvrv_LogReturn', '31_nvts_LogReturn', 'XEM_Volume_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn']",2,0,480,60,60,0.855072463768116,0.8051948051948051,0.49809885931558934,0.5135135135135136,0.5193370165745856,0.65,0.8513011152416357,0.75,0.5092936802973977,0.4,0.5148698884758365,0.5333333333333333,9.135959446633784,1.8983906565725537,0.8710697397551161,0.7055893054375026,1.2553216141183778,0.9956048118269987,-0.31186835733288554,1.3212217208378476,140.4903158299985,2021_03_19_21_56
3,2019-07-06,2019-09-03,RFC,"{'max_depth': 7, 'n_estimators': 370, 'min_samples_leaf': 6, 'min_samples_split': 2}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '29_mvrv_LogReturn', '31_nvts_LogReturn', 'XEM_Volume_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn']",2,0,480,60,60,0.8904593639575972,0.7714285714285715,0.525573192239859,0.5714285714285713,0.5287769784172662,0.48484848484848486,0.8847583643122676,0.7333333333333333,0.5,0.55,0.5130111524163569,0.43333333333333335,9.058338895160524,0.6123360644663887,0.31983836266091537,0.08418253484411053,1.0455098638271707,-0.18424993838569925,-0.6310926013013152,-0.21754435825326368,140.84240591300113,2021_03_19_21_56
4,2019-09-04,2019-11-02,RFC,"{'max_depth': 7, 'n_estimators': 866, 'min_samples_leaf': 1, 'min_samples_split': 3}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '29_mvrv_LogReturn', '31_nvts_LogReturn', 'ETH_Volume_LogReturn', 'USDT_Volume_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn']",2,0,480,60,60,0.96,0.59375,0.48648648648648646,0.27450980392156865,0.5204991087344029,0.2978723404255319,0.9572490706319703,0.5666666666666667,0.5055762081784386,0.38333333333333336,0.5,0.45,9.197274883563026,0.4829428091512771,0.5981553992724749,-0.09767677272595066,1.0845142887456216,-0.10718378909536419,0.09375626489102196,-0.06171634231495737,133.8450824320007,2021_03_19_21_56
5,2019-11-03,2020-01-01,RFC,"{'max_depth': 17, 'n_estimators': 35, 'min_samples_leaf': 2, 'min_samples_split': 5}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '29_mvrv_LogReturn', '31_nvts_LogReturn', 'ETH_Volume_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn']",2,0,480,60,60,0.9856115107913669,0.5862068965517242,0.4999999999999999,0.339622641509434,0.5099457504520797,0.2666666666666666,0.9851301115241635,0.6,0.5018587360594795,0.4166666666666667,0.4962825278810409,0.45,9.238324459975384,0.024956820057347784,-0.12190466938990951,-0.35027515622554795,1.082981281199368,-0.23611959254233206,0.029482201397669883,-0.47202388598664236,130.56036977800068,2021_03_19_21_56
6,2020-01-02,2020-03-01,RFC,"{'max_depth': 5, 'n_estimators': 894, 'min_samples_leaf': 8, 'min_samples_split': 6}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '29_mvrv_LogReturn', '31_nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn']",2,0,480,60,60,0.8107142857142857,0.6571428571428571,0.519774011299435,0.5846153846153846,0.4944237918215613,0.5454545454545454,0.8029739776951673,0.6,0.5260223048327137,0.55,0.4944237918215613,0.5,7.022289532809706,0.5904084211773952,1.0616240522901776,0.269593197488053,1.1093446801787277,0.20765538605740375,0.18228631821679642,0.3608273134891924,133.08724117699967,2021_03_19_21_56
7,2020-03-02,2020-04-30,RFC,"{'max_depth': 26, 'n_estimators': 913, 'min_samples_leaf': 6, 'min_samples_split': 9}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '07_n-transactions-total_LogReturn', '29_mvrv_LogReturn', 'cny_usd_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn']",2,0,480,60,60,0.9280575539568345,0.746268656716418,0.4744525547445256,0.4927536231884059,0.4870848708487085,0.5833333333333333,0.9256505576208178,0.7166666666666667,0.4646840148698885,0.4166666666666667,0.483271375464684,0.5,8.567267372843348,1.3086138911561687,0.5252374443191599,-0.6378061841369895,0.9464181361999557,0.00484111857364411,0.620050401915524,-0.2543109151237868,134.00978706299975,2021_03_19_21_56
8,2020-05-01,2020-06-29,RFC,"{'max_depth': 18, 'n_estimators': 651, 'min_samples_leaf': 8, 'min_samples_split': 5}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '29_mvrv_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn']",2,0,480,60,60,0.8943661971830986,0.7142857142857142,0.48816029143897993,0.4838709677419355,0.4972972972972973,0.5294117647058822,0.8884758364312267,0.6666666666666666,0.47769516728624534,0.4666666666666667,0.48141263940520446,0.4666666666666667,9.409966937051072,0.5651701818977131,-0.6047489716711478,-0.1201485448642945,0.8582520881593041,0.04955209492239376,0.3634318670844259,0.3437820883784575,134.3603590950006,2021_03_19_21_56
9,2020-06-30,2020-08-28,RFC,"{'max_depth': 3, 'n_estimators': 591, 'min_samples_leaf': 6, 'min_samples_split': 10}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '09_avg-confirmation-time_LogReturn', '29_mvrv_LogReturn', 'cny_usd_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn']",2,0,480,60,60,0.7723704866562008,0.8148148148148148,0.46992481203007525,0.611111111111111,0.5137931034482758,0.5405405405405406,0.7304832713754646,0.75,0.4758364312267658,0.5333333333333333,0.4758364312267658,0.43333333333333335,7.377429342502662,0.6450345843666749,1.0639396401957768,0.3665100141616584,1.1703620013085345,0.2899692042055637,1.744408866706845,0.4552268547312277,133.16375854299986,2021_03_19_21_56
10,2020-08-29,2020-10-27,RFC,"{'max_depth': 7, 'n_estimators': 866, 'min_samples_leaf': 1, 'min_samples_split': 3}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '07_n-transactions-total_LogReturn', '29_mvrv_LogReturn', 'USDT_Volume_LogReturn', 'IOTA_Volume_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn']",2,0,480,60,60,0.9546925566343043,0.8311688311688312,0.49454545454545457,0.523076923076923,0.5243697478991596,0.591549295774648,0.9479553903345725,0.7833333333333333,0.483271375464684,0.48333333333333334,0.4739776951672863,0.5166666666666667,10.373765480410382,0.5517027733954958,0.2511303021465636,-0.005593889737337321,1.4344092879029127,0.12959017730538314,2.1839434429461058,0.24229007544488468,136.91762686999937,2021_03_19_21_56
