CV,test_start,test_end,model,best_params,dataset,feature_selection,dependent_variable,independent_variables,DV_shifts,IV_lags,metric,n_train_days,n_valid_days,n_test_days,train_valid_model_f1,test_model_f1,train_valid_random_f1,test_random_f1,train_valid_naive_f1,test_naive_f1,train_valid_model_accuracy,test_model_accuracy,train_valid_random_accuracy,test_random_accuracy,train_valid_naive_accuracy,test_naive_accuracy,train_valid_AlgoReturns,test_AlgoReturns,train_valid_RandomReturns,test_RandomReturns,train_valid_NaiveReturns,test_NaiveReturns,train_valid_BuyAndHolds,test_BuyAndHolds,execution_time,finished_time
1,2019-03-04,2019-05-02,FNN,"{'num_layer_hidden': 4, 'num_unit_hidden1': 81, 'num_unit_hidden': 16, 'activation': 'tanh', 'dropout_rate': 0.2977264664009295, 'optimizer': 'adam', 'batch_size': 32, 'epochs': 18}",BlockchainAltcoin,True,btc_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'BCH_Volume_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BNB_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.7840290381125228,0.7105263157894737,0.5421245421245421,0.5352112676056338,0.5054945054945055,0.7058823529411765,0.7775700934579439,0.6333333333333333,0.5327102803738317,0.45,0.4953271028037383,0.5833333333333334,10.260560867800546,0.9311477061098596,0.9600638064185318,0.6093970851302579,0.3020005537129009,0.7097790335616825,-0.335451932979014,0.9634602203518323,286.5761277640004,2021_04_12_13_06
2,2019-05-03,2019-07-01,FNN,"{'num_layer_hidden': 4, 'num_unit_hidden1': 96, 'num_unit_hidden': 14, 'activation': 'tanh', 'dropout_rate': 0.24142532975081946, 'optimizer': 'adam', 'batch_size': 16, 'epochs': 30}",BlockchainAltcoin,True,btc_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'BCH_Volume_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.7956989247311829,0.6987951807228916,0.5027124773960218,0.5915492957746479,0.5261261261261261,0.7209302325581395,0.7869158878504673,0.5833333333333334,0.48598130841121495,0.5166666666666667,0.508411214953271,0.6,9.851245623169982,1.8738256281015708,-2.1374150594262993,0.9445702315031621,0.17223974233049155,1.8000289784497028,-0.935416120556793,2.436315478808112,287.2064180110001,2021_04_12_13_06
3,2019-07-02,2019-08-30,FNN,"{'num_layer_hidden': 3, 'num_unit_hidden1': 47, 'num_unit_hidden': 9, 'activation': 'tanh', 'dropout_rate': 0.3414892797220078, 'optimizer': 'adam', 'batch_size': 64, 'epochs': 11}",BlockchainAltcoin,True,btc_LogReturn_binary,"['ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'BCH_Volume_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.759581881533101,0.7241379310344827,0.4918625678119349,0.5483870967741935,0.5295169946332737,0.4642857142857143,0.7420560747663552,0.7333333333333333,0.4747663551401869,0.5333333333333333,0.508411214953271,0.5,8.786753079916732,0.8220595263926196,0.041690096145739375,-0.10509968132629588,0.24136073968774596,-0.10166717329916608,-0.8975134510434799,-0.4640113213391359,280.6717355230003,2021_04_12_13_06
4,2019-08-31,2019-10-29,FNN,"{'num_layer_hidden': 3, 'num_unit_hidden1': 61, 'num_unit_hidden': 18, 'activation': 'tanh', 'dropout_rate': 0.22329185504931875, 'optimizer': 'adam', 'batch_size': 8, 'epochs': 10}",BlockchainAltcoin,True,btc_LogReturn_binary,"['ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'BCH_Volume_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.7855855855855856,0.6562500000000001,0.48451730418943534,0.5263157894736842,0.5287769784172662,0.32,0.7775700934579439,0.6333333333333333,0.47102803738317756,0.55,0.5102803738317757,0.43333333333333335,8.703417076269428,0.7384715906623267,-0.251920544511707,0.13362511151472845,1.004078650900281,-0.19290372659692956,0.21756939982459222,-0.7946391821602585,283.870293424,2021_04_12_13_06
5,2019-10-30,2019-12-28,FNN,"{'num_layer_hidden': 3, 'num_unit_hidden1': 86, 'num_unit_hidden': 30, 'activation': 'tanh', 'dropout_rate': 0.38301071454292035, 'optimizer': 'adam', 'batch_size': 32, 'epochs': 13}",BlockchainAltcoin,True,btc_LogReturn_binary,"['ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'BCH_Volume_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'NEO_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ZEC_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.7460035523978686,0.5,0.5225225225225224,0.4444444444444444,0.5174311926605504,0.3111111111111111,0.7327102803738318,0.5666666666666667,0.5046728971962616,0.5,0.508411214953271,0.48333333333333334,8.374364211954932,-0.22490566245875065,0.0955519913831484,-0.5784883070407041,1.092112369453547,-0.43002575805540033,-0.5440340644643218,-0.1872760916749101,282.34588522799913,2021_04_12_13_06
6,2019-12-29,2020-02-26,FNN,"{'num_layer_hidden': 3, 'num_unit_hidden1': 106, 'num_unit_hidden': 24, 'activation': 'tanh', 'dropout_rate': 0.20940587012092998, 'optimizer': 'adam', 'batch_size': 16, 'epochs': 26}",BlockchainAltcoin,True,btc_LogReturn_binary,"['mvrv_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.7380073800738008,0.72,0.4952741020793951,0.5396825396825397,0.5092936802973979,0.5507246376811593,0.7345794392523365,0.65,0.5009345794392523,0.5166666666666667,0.5065420560747663,0.48333333333333334,7.777583685267016,0.9601920052403248,-1.298945142189467,0.5709163807158397,1.2809281046538992,0.34156263959265054,0.3033340652222343,0.8143302116964648,282.4347459370001,2021_04_12_13_06
7,2020-02-27,2020-04-26,FNN,"{'num_layer_hidden': 2, 'num_unit_hidden1': 59, 'num_unit_hidden': 23, 'activation': 'tanh', 'dropout_rate': 0.35035506133769895, 'optimizer': 'adam', 'batch_size': 8, 'epochs': 29}",BlockchainAltcoin,True,btc_LogReturn_binary,"['n-transactions-total_LogReturn', 'mvrv_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'n-transactions-total_LogReturn_lag1', 'ETH_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.7262569832402234,0.6909090909090909,0.47834274952919026,0.3934426229508197,0.49723756906077354,0.53125,0.7252336448598131,0.7166666666666667,0.4822429906542056,0.38333333333333336,0.4897196261682243,0.5,7.974532593680037,0.9992733157433964,0.49061455553952804,-1.245513115590473,1.4844937161777878,-0.1733597774747757,0.9226905273007127,-0.9912296520945638,281.49478075000115,2021_04_12_13_06
8,2020-04-27,2020-06-25,FNN,"{'num_layer_hidden': 4, 'num_unit_hidden1': 118, 'num_unit_hidden': 15, 'activation': 'tanh', 'dropout_rate': 0.3473632524806309, 'optimizer': 'adam', 'batch_size': 64, 'epochs': 27}",BlockchainAltcoin,True,btc_LogReturn_binary,"['n-transactions-total_LogReturn', 'mvrv_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.6975088967971531,0.5423728813559322,0.5018450184501846,0.5797101449275361,0.5127272727272727,0.6301369863013699,0.6822429906542056,0.55,0.4953271028037383,0.5166666666666667,0.49906542056074765,0.55,8.257121994393513,0.6020358360050331,-0.21685583372736872,0.4154587480448324,1.5002406542328544,0.3364494128650062,0.2421202511039553,0.8825780990200283,277.05465841099976,2021_04_12_13_06
9,2020-06-26,2020-08-24,FNN,"{'num_layer_hidden': 4, 'num_unit_hidden1': 70, 'num_unit_hidden': 23, 'activation': 'tanh', 'dropout_rate': 0.3667872337857682, 'optimizer': 'adam', 'batch_size': 32, 'epochs': 26}",BlockchainAltcoin,True,btc_LogReturn_binary,"['n-transactions-total_LogReturn', 'mvrv_LogReturn', 'USDT_Volume_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.705685618729097,0.6769230769230768,0.5098743267504489,0.5161290322580646,0.5379310344827586,0.4857142857142857,0.6710280373831776,0.65,0.4897196261682243,0.5,0.49906542056074765,0.4,8.217913534374707,0.7822786602340646,0.7372265485653386,0.25507280495776286,2.031724188822446,0.3565928938824783,2.634551182808364,0.7238701081629753,277.06558172099903,2021_04_12_13_06
10,2020-08-25,2020-10-23,FNN,"{'num_layer_hidden': 3, 'num_unit_hidden1': 95, 'num_unit_hidden': 22, 'activation': 'tanh', 'dropout_rate': 0.32312824866213696, 'optimizer': 'adam', 'batch_size': 32, 'epochs': 14}",BlockchainAltcoin,True,btc_LogReturn_binary,"['blocks-size_LogReturn', 'n-transactions-total_LogReturn', 'mvrv_LogReturn', 'USDT_Volume_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.7375415282392026,0.6575342465753425,0.5508771929824561,0.5217391304347826,0.5564924114671164,0.5217391304347826,0.7046728971962617,0.5833333333333334,0.5214953271028038,0.45,0.508411214953271,0.45,9.185110580841528,0.6058676072032458,2.2026530020166426,0.008699958012558184,2.6831096334095577,0.03500827582016619,3.419236611093922,-0.08023138240220717,278.18456740299916,2021_04_12_13_06
