CV,test_start,test_end,model,best_params,feature_selection,dependent_variable,independent_variables,DV_shifts,IV_lags,metric,n_train_days,n_valid_days,n_test_days,train_valid_model_f1,test_model_f1,train_valid_random_f1,test_random_f1,train_valid_naive_f1,test_naive_f1,train_valid_model_accuracy,test_model_accuracy,train_valid_random_accuracy,test_random_accuracy,train_valid_naive_accuracy,test_naive_accuracy,train_valid_AlgoReturns,test_AlgoReturns,train_valid_RandomReturns,test_RandomReturns,train_valid_NaiveReturns,test_NaiveReturns,train_valid_BuyAndHolds,test_BuyAndHolds,execution_time,finished_time
1,2019-03-02,2019-04-30,FNN,"{'num_layer_hidden': 3, 'num_unit_hidden1': 67, 'num_unit_hidden': 27, 'activation': 'tanh', 'dropout_rate': 0.20762713005868283, 'optimizer': 'adam', 'batch_size': 64, 'epochs': 21}",True,btc_LogReturn_binary,"['btc_LogReturn', 'market-cap_LogReturn', 'blocks-size_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'blocks-size_LogReturn_lag1', 'blocks-size_LogReturn_lag2', 'n-transactions-total_LogReturn_lag2', 'utxo-count_LogReturn_lag1', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'BNB_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'NEO_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",1,2,f1,480,60,60,0.8284671532846715,0.65625,0.5062388591800356,0.5970149253731343,0.49097472924187724,0.5070422535211268,0.8249534450651769,0.6333333333333333,0.48417132216014896,0.55,0.4748603351955307,0.4166666666666667,6.614479200780316,0.40677899548359875,-0.6376273211007852,0.2625325673288206,0.18275309177298737,0.1702734646115438,-0.11772536632333974,0.3241701703208637,300.280995697,2021_04_07_08_59
2,2019-05-01,2019-06-29,FNN,"{'num_layer_hidden': 3, 'num_unit_hidden1': 61, 'num_unit_hidden': 18, 'activation': 'tanh', 'dropout_rate': 0.22329185504931875, 'optimizer': 'adam', 'batch_size': 8, 'epochs': 10}",True,btc_LogReturn_binary,"['btc_LogReturn', 'total-bitcoins_LogReturn', 'market-cap_LogReturn', 'blocks-size_LogReturn', 'n-transactions-total_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'blocks-size_LogReturn_lag1', 'blocks-size_LogReturn_lag2', 'n-transactions-total_LogReturn_lag1', 'n-transactions-total_LogReturn_lag2', 'XRP_Volume_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'NEO_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",1,2,f1,480,60,60,0.8150807899461401,0.875,0.485981308411215,0.7012987012987012,0.4794275491949911,0.7407407407407408,0.8081936685288641,0.8333333333333334,0.48789571694599626,0.6166666666666667,0.4581005586592179,0.65,6.130184889491467,1.3436942848502813,-0.4011948564567511,0.7182918496831654,-0.009310763375438569,0.6023880234740808,-0.2961219395558601,0.7418512147113461,296.54229856000006,2021_04_07_08_59
3,2019-06-30,2019-08-28,FNN,"{'num_layer_hidden': 3, 'num_unit_hidden1': 47, 'num_unit_hidden': 9, 'activation': 'tanh', 'dropout_rate': 0.3414892797220078, 'optimizer': 'adam', 'batch_size': 64, 'epochs': 11}",True,btc_LogReturn_binary,"['btc_LogReturn', 'total-bitcoins_LogReturn', 'market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'trade-volume_LogReturn_lag1', 'n-transactions-total_LogReturn_lag1', 'n-transactions-total_LogReturn_lag2', 'XRP_Volume_LogReturn_lag2', 'USDT_Volume_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",1,2,f1,480,60,60,0.7845884413309983,0.7666666666666667,0.5093632958801498,0.5555555555555556,0.49378330373001783,0.47457627118644075,0.770949720670391,0.7666666666666667,0.5121042830540037,0.6,0.4692737430167598,0.48333333333333334,5.4449948710046705,0.6010279896026844,0.05238357898505619,0.16592417063688458,-0.30008977497114664,0.09208030178244364,-0.43241332191125004,-0.07191423610043834,293.32969621300003,2021_04_07_08_59
4,2019-08-29,2019-10-27,FNN,"{'num_layer_hidden': 2, 'num_unit_hidden1': 116, 'num_unit_hidden': 24, 'activation': 'tanh', 'dropout_rate': 0.2065969080007036, 'optimizer': 'adam', 'batch_size': 32, 'epochs': 23}",True,btc_LogReturn_binary,"['btc_LogReturn', 'market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'USDT_Volume_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'NEO_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ZEC_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",1,2,f1,480,60,60,0.8374558303886926,0.5964912280701754,0.5118829981718465,0.5,0.4929078014184397,0.425531914893617,0.8286778398510242,0.6166666666666667,0.5027932960893855,0.5666666666666667,0.46741154562383613,0.55,6.060651780531844,0.39633092635592604,0.38405224725769394,0.22024196946060925,0.10798868731613709,0.0954398873401825,0.04337569343635295,-0.17846192498431535,295.4548370130001,2021_04_07_08_59
5,2019-10-28,2019-12-26,FNN,"{'num_layer_hidden': 3, 'num_unit_hidden1': 47, 'num_unit_hidden': 9, 'activation': 'tanh', 'dropout_rate': 0.3414892797220078, 'optimizer': 'adam', 'batch_size': 64, 'epochs': 11}",True,btc_LogReturn_binary,"['btc_LogReturn', 'market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'XRP_Volume_LogReturn_lag2', 'USDT_Volume_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'NEO_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ZEC_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",1,2,f1,480,60,60,0.7504488330341114,0.679245283018868,0.48971962616822434,0.3703703703703704,0.49180327868852464,0.2857142857142857,0.7411545623836127,0.7166666666666667,0.49162011173184356,0.43333333333333335,0.48044692737430167,0.4166666666666667,4.7172129765813935,0.300079054015292,0.22049378986000612,-0.340456738877819,0.3576042122400036,-0.2800545383242312,-0.1055227122476019,-0.1783793111881682,291.16995413799987,2021_04_07_08_59
6,2019-12-27,2020-02-24,FNN,"{'num_layer_hidden': 4, 'num_unit_hidden1': 98, 'num_unit_hidden': 17, 'activation': 'tanh', 'dropout_rate': 0.2612400598200893, 'optimizer': 'adam', 'batch_size': 8, 'epochs': 21}",True,btc_LogReturn_binary,"['btc_LogReturn', 'market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'NEO_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ZEC_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",1,2,f1,480,60,60,0.8205128205128205,0.8450704225352113,0.5019011406844106,0.619718309859155,0.4860853432282004,0.46376811594202894,0.8175046554934823,0.8166666666666667,0.5121042830540037,0.55,0.48417132216014896,0.38333333333333336,5.4820977018113055,0.6985572648723064,0.20932440914597628,0.16247749744520235,0.2873557611891968,-0.05668643607398138,0.10077609595829529,0.28785891214086057,293.91059686100016,2021_04_07_08_59
7,2020-02-25,2020-04-24,FNN,"{'num_layer_hidden': 3, 'num_unit_hidden1': 47, 'num_unit_hidden': 9, 'activation': 'tanh', 'dropout_rate': 0.3414892797220078, 'optimizer': 'adam', 'batch_size': 64, 'epochs': 11}",True,btc_LogReturn_binary,"['btc_LogReturn', 'market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'n-transactions-total_LogReturn_lag1', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",1,2,f1,480,60,60,0.7849462365591398,0.7586206896551724,0.5009140767824497,0.5483870967741935,0.47794117647058826,0.41935483870967744,0.776536312849162,0.7666666666666667,0.49162011173184356,0.5333333333333333,0.47113594040968343,0.4,5.0985613332704265,0.851638699267637,0.2391870035254673,0.2600828079303241,0.05074921030182722,-0.503849895300089,0.28587651336851216,-0.3045031594226604,296.17912375199967,2021_04_07_08_59
8,2020-04-25,2020-06-23,FNN,"{'num_layer_hidden': 4, 'num_unit_hidden1': 118, 'num_unit_hidden': 15, 'activation': 'tanh', 'dropout_rate': 0.3473632524806309, 'optimizer': 'adam', 'batch_size': 64, 'epochs': 27}",True,btc_LogReturn_binary,"['btc_LogReturn', 'market-cap_LogReturn', 'utxo-count_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'n-transactions-total_LogReturn_lag1', 'n-transactions-total_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1']",1,2,f1,480,60,60,0.8237410071942445,0.6666666666666666,0.5183823529411765,0.5074626865671641,0.4682395644283122,0.5277777777777778,0.8175046554934823,0.6333333333333333,0.5121042830540037,0.45,0.4543761638733706,0.43333333333333335,6.287735427679127,0.5498138884857582,0.3533840796708372,-0.02043383111354835,-0.47839002726426827,-0.019154414706505918,0.10963383194470566,0.2638938998696876,292.1323807570002,2021_04_07_08_59
9,2020-06-24,2020-08-22,FNN,"{'num_layer_hidden': 3, 'num_unit_hidden1': 74, 'num_unit_hidden': 19, 'activation': 'tanh', 'dropout_rate': 0.24742145093980975, 'optimizer': 'adam', 'batch_size': 8, 'epochs': 28}",True,btc_LogReturn_binary,"['btc_LogReturn', 'market-cap_LogReturn', 'blocks-size_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1']",1,2,f1,480,60,60,0.8218694885361553,0.7941176470588236,0.5027726432532348,0.5396825396825397,0.48763250883392223,0.41791044776119407,0.8119180633147114,0.7666666666666667,0.49906890130353815,0.5166666666666667,0.45996275605214154,0.35,6.324985739629888,0.47919354037913564,1.0294026553280897,0.0898496098281587,-0.032549715528997325,-0.013688489718933994,0.8786256312596823,0.2452620727163506,298.1980997679998,2021_04_07_08_59
10,2020-08-23,2020-10-21,FNN,"{'num_layer_hidden': 2, 'num_unit_hidden1': 59, 'num_unit_hidden': 23, 'activation': 'tanh', 'dropout_rate': 0.35035506133769895, 'optimizer': 'adam', 'batch_size': 8, 'epochs': 29}",True,btc_LogReturn_binary,"['btc_LogReturn', 'market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'n-transactions-total_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'NEO_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ZEC_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",1,2,f1,480,60,60,0.8482758620689655,0.8169014084507044,0.4815465729349736,0.5625000000000001,0.4895833333333333,0.47887323943661975,0.8361266294227188,0.7833333333333333,0.4506517690875233,0.5333333333333333,0.45251396648044695,0.38333333333333336,6.582803865173233,0.35909509337625245,-0.31369784633295694,0.07274650526466608,0.09077044093463194,-0.0716876637072641,1.1302445943907262,-0.009113759106798014,300.0519784610001,2021_04_07_08_59
