CV,test_start,test_end,model,best_params,dataset,feature_selection,dependent_variable,independent_variables,DV_shifts,IV_lags,metric,n_train_days,n_valid_days,n_test_days,train_valid_model_f1,test_model_f1,train_valid_random_f1,test_random_f1,train_valid_naive_f1,test_naive_f1,train_valid_model_accuracy,test_model_accuracy,train_valid_random_accuracy,test_random_accuracy,train_valid_naive_accuracy,test_naive_accuracy,train_valid_AlgoReturns,test_AlgoReturns,train_valid_RandomReturns,test_RandomReturns,train_valid_NaiveReturns,test_NaiveReturns,train_valid_BuyAndHolds,test_BuyAndHolds,execution_time,finished_time
1,2019-03-04,2019-05-02,LGBMC,"{'max_depth': 7, 'n_estimators': 673, 'learning_rate': 0.02594261886552343}",BlockchainAltcoin,True,btc_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'BCH_Volume_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BNB_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,1.0,0.7532467532467533,0.49547920433996384,0.5352112676056338,0.5054945054945055,0.7058823529411765,1.0,0.6833333333333333,0.4785046728971963,0.45,0.4953271028037383,0.5833333333333334,15.777926860684147,0.9191727698806158,1.0931037306708777,0.4024931114743122,0.3020005537129009,0.7097790335616825,-0.335451932979014,0.9634602203518323,90.07048051499987,2021_04_12_12_53
2,2019-05-03,2019-07-01,LGBMC,"{'max_depth': 5, 'n_estimators': 805, 'learning_rate': 0.001773525527295996}",BlockchainAltcoin,True,btc_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'BCH_Volume_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.8986013986013985,0.7954545454545455,0.5211009174311927,0.5142857142857143,0.5261261261261261,0.7209302325581395,0.891588785046729,0.7,0.5121495327102804,0.43333333333333335,0.508411214953271,0.6,12.000596513151267,2.546051428362219,1.2376393110358688,0.6762908784915673,0.17223974233049155,1.8000289784497028,-0.935416120556793,2.436315478808112,89.51148517599904,2021_04_12_12_53
3,2019-07-02,2019-08-30,LGBMC,"{'max_depth': 6, 'n_estimators': 705, 'learning_rate': 0.00016616219542849644}",BlockchainAltcoin,True,btc_LogReturn_binary,"['ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'BCH_Volume_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.8134556574923546,0.7605633802816901,0.54014598540146,0.5625000000000001,0.5295169946332737,0.4642857142857143,0.77196261682243,0.7166666666666667,0.5289719626168224,0.5333333333333333,0.508411214953271,0.5,8.057817632520607,0.709366090692118,0.6659193187966057,-0.333046498621572,0.24136073968774596,-0.10166717329916608,-0.8975134510434799,-0.4640113213391359,80.26409015200079,2021_04_12_12_53
4,2019-08-31,2019-10-29,LGBMC,"{'max_depth': 6, 'n_estimators': 616, 'learning_rate': 0.002069051892000174}",BlockchainAltcoin,True,btc_LogReturn_binary,"['ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'BCH_Volume_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.882661996497373,0.696969696969697,0.49335863377609107,0.5357142857142857,0.5287769784172662,0.32,0.874766355140187,0.6666666666666666,0.5009345794392523,0.5666666666666667,0.5102803738317757,0.43333333333333335,10.892679369372596,0.7749414288045369,-0.657614473103239,-0.07627173447825264,1.004078650900281,-0.19290372659692956,0.21756939982459222,-0.7946391821602585,82.78173285699995,2021_04_12_12_53
5,2019-10-30,2019-12-28,LGBMC,"{'max_depth': 9, 'n_estimators': 891, 'learning_rate': 0.0008955485701873469}",BlockchainAltcoin,True,btc_LogReturn_binary,"['ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'BCH_Volume_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'NEO_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ZEC_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.8888888888888888,0.5357142857142858,0.5350553505535055,0.36000000000000004,0.5174311926605504,0.3111111111111111,0.8841121495327103,0.5666666666666667,0.5289719626168224,0.4666666666666667,0.508411214953271,0.48333333333333334,10.44311007014198,-0.21468129969430905,0.8986235362476247,-0.4414587280643403,1.092112369453547,-0.43002575805540033,-0.5440340644643218,-0.1872760916749101,82.06724587999997,2021_04_12_12_53
6,2019-12-29,2020-02-26,LGBMC,"{'max_depth': 9, 'n_estimators': 106, 'learning_rate': 0.006267912335949126}",BlockchainAltcoin,True,btc_LogReturn_binary,"['mvrv_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.8671586715867159,0.7250000000000001,0.5397412199630315,0.4918032786885245,0.5092936802973979,0.5507246376811593,0.8654205607476636,0.6333333333333333,0.5345794392523364,0.48333333333333334,0.5065420560747663,0.48333333333333334,10.041263345146616,0.9447267053772546,0.8057941575232981,0.45833447946211336,1.2809281046538992,0.34156263959265054,0.3033340652222343,0.8143302116964648,78.16277446300046,2021_04_12_12_53
7,2020-02-27,2020-04-26,LGBMC,"{'max_depth': 5, 'n_estimators': 380, 'learning_rate': 0.03321669193561387}",BlockchainAltcoin,True,btc_LogReturn_binary,"['n-transactions-total_LogReturn', 'mvrv_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'n-transactions-total_LogReturn_lag1', 'ETH_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.9908592321755026,0.6774193548387097,0.46153846153846156,0.6875,0.49723756906077354,0.53125,0.9906542056074766,0.6666666666666666,0.4635514018691589,0.6666666666666666,0.4897196261682243,0.5,11.89542489961815,0.7248935482503462,0.2691936413194238,-0.3042354992055323,1.4844937161777878,-0.1733597774747757,0.9226905273007127,-0.9912296520945638,74.42463757000041,2021_04_12_12_53
8,2020-04-27,2020-06-25,LGBMC,"{'max_depth': 10, 'n_estimators': 83, 'learning_rate': 0.00041242276831157556}",BlockchainAltcoin,True,btc_LogReturn_binary,"['n-transactions-total_LogReturn', 'mvrv_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.7163398692810458,0.7499999999999999,0.5120593692022264,0.5070422535211268,0.5127272727272727,0.6301369863013699,0.594392523364486,0.6,0.508411214953271,0.4166666666666667,0.49906542056074765,0.55,4.019042228765398,0.7134556448830089,0.5221833724531724,0.08050349650482147,1.5002406542328544,0.3364494128650062,0.2421202511039553,0.8825780990200283,68.39431551300004,2021_04_12_12_53
9,2020-06-26,2020-08-24,LGBMC,"{'max_depth': 5, 'n_estimators': 887, 'learning_rate': 0.0007686833867315099}",BlockchainAltcoin,True,btc_LogReturn_binary,"['n-transactions-total_LogReturn', 'mvrv_LogReturn', 'USDT_Volume_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.8240887480190174,0.7142857142857144,0.5313653136531366,0.3793103448275862,0.5379310344827586,0.4857142857142857,0.7925233644859813,0.6666666666666666,0.525233644859813,0.4,0.49906542056074765,0.4,10.12194293798503,0.7513089353607771,2.5917783788966187,0.12164524017445899,2.031724188822446,0.3565928938824783,2.634551182808364,0.7238701081629753,69.20068086899846,2021_04_12_12_53
10,2020-08-25,2020-10-23,LGBMC,"{'max_depth': 5, 'n_estimators': 55, 'learning_rate': 0.008232578023523328}",BlockchainAltcoin,True,btc_LogReturn_binary,"['blocks-size_LogReturn', 'n-transactions-total_LogReturn', 'mvrv_LogReturn', 'USDT_Volume_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.8308157099697885,0.7560975609756099,0.518918918918919,0.5806451612903226,0.5564924114671164,0.5217391304347826,0.7906542056074767,0.6666666666666666,0.5009345794392523,0.5666666666666667,0.508411214953271,0.45,10.66548814416341,0.7433533600429527,2.399420865945098,0.4010017382370563,2.6831096334095577,0.03500827582016619,3.419236611093922,-0.08023138240220717,75.44731376599884,2021_04_12_12_53
11,2020-10-24,2020-12-22,LGBMC,"{'max_depth': 10, 'n_estimators': 916, 'learning_rate': 0.00010593691309326647}",BlockchainAltcoin,True,btc_LogReturn_binary,"['mvrv_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.7220125786163523,0.8367346938775511,0.5,0.6388888888888888,0.5226480836236934,0.735632183908046,0.5869158878504673,0.7333333333333333,0.491588785046729,0.5666666666666667,0.48785046728971965,0.6166666666666667,3.946770646777802,1.8011278495041747,0.33229394770365417,1.2934531153790534,1.8277747404592528,1.4394821770633772,2.2477687274993876,1.9948956612933877,68.71307839099973,2021_04_12_12_53
