CV,test_start,test_end,model,best_params,feature_selection,dependent_variable,independent_variables,DV_shifts,IV_lags,metric,n_train_days,n_valid_days,n_test_days,train_valid_model_f1,test_model_f1,train_valid_random_f1,test_random_f1,train_valid_naive_f1,test_naive_f1,train_valid_model_accuracy,test_model_accuracy,train_valid_random_accuracy,test_random_accuracy,train_valid_naive_accuracy,test_naive_accuracy,train_valid_AlgoReturns,test_AlgoReturns,train_valid_RandomReturns,test_RandomReturns,train_valid_NaiveReturns,test_NaiveReturns,train_valid_BuyAndHolds,test_BuyAndHolds,execution_time,finished_time
1,2019-03-04,2019-05-02,LGBMC,"{'max_depth': 6, 'n_estimators': 608, 'learning_rate': 0.03195842446300367}",True,btc_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'BNB_Volume_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'BCH_Volume_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'BNB_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'NEO_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,1.0,0.7200000000000001,0.46886446886446886,0.6285714285714286,0.5054945054945055,0.7058823529411765,1.0,0.65,0.45794392523364486,0.5666666666666667,0.4953271028037383,0.5833333333333334,15.777926860684147,0.8765041903311062,-1.9130524887233218,0.7449163581386973,0.3020005537129009,0.7097790335616825,-0.335451932979014,0.9634602203518323,91.97011969999949,2021_04_07_10_51
2,2019-05-03,2019-07-01,LGBMC,"{'max_depth': 5, 'n_estimators': 857, 'learning_rate': 0.007087240585175631}",True,btc_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'BCH_Volume_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.9787234042553192,0.7380952380952381,0.4575645756457565,0.5714285714285714,0.5261261261261261,0.7209302325581395,0.9775700934579439,0.6333333333333333,0.4504672897196262,0.5,0.508411214953271,0.6,13.994857534167073,2.149184649155412,-1.9931014323392606,0.9877661832224689,0.17223974233049155,1.8000289784497028,-0.935416120556793,2.436315478808112,86.08577326399973,2021_04_07_10_51
3,2019-07-02,2019-08-30,LGBMC,"{'max_depth': 6, 'n_estimators': 705, 'learning_rate': 0.00016616219542849644}",True,btc_LogReturn_binary,"['ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'BCH_Volume_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'NEO_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.8134556574923546,0.7605633802816901,0.46886446886446886,0.5806451612903226,0.5295169946332737,0.4642857142857143,0.77196261682243,0.7166666666666667,0.45794392523364486,0.5666666666666667,0.508411214953271,0.5,8.057817632520607,0.709366090692118,-1.5335319932200449,0.34029025911350175,0.24136073968774596,-0.10166717329916608,-0.8975134510434799,-0.4640113213391359,79.3179699730008,2021_04_07_10_51
4,2019-08-31,2019-10-29,LGBMC,"{'max_depth': 5, 'n_estimators': 172, 'learning_rate': 0.008777291099914106}",True,btc_LogReturn_binary,"['ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'BCH_Volume_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.8730434782608696,0.7076923076923076,0.5,0.5423728813559322,0.5287769784172662,0.32,0.8635514018691589,0.6833333333333333,0.4803738317757009,0.55,0.5102803738317757,0.43333333333333335,10.712290383694402,0.7870446451729158,-0.8738029558026152,0.028937287726586547,1.004078650900281,-0.19290372659692956,0.21756939982459222,-0.7946391821602585,79.51898329600044,2021_04_07_10_51
5,2019-10-30,2019-12-28,LGBMC,"{'max_depth': 9, 'n_estimators': 891, 'learning_rate': 0.0008955485701873469}",True,btc_LogReturn_binary,"['ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'BCH_Volume_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'NEO_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ZEC_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.8888888888888888,0.5357142857142858,0.4833948339483395,0.3636363636363636,0.5174311926605504,0.3111111111111111,0.8841121495327103,0.5666666666666667,0.4766355140186916,0.5333333333333333,0.508411214953271,0.48333333333333334,10.44311007014198,-0.21468129969430905,0.1517023700326341,-0.23669178177122951,1.092112369453547,-0.43002575805540033,-0.5440340644643218,-0.1872760916749101,79.65909704899968,2021_04_07_10_51
6,2019-12-29,2020-02-26,LGBMC,"{'max_depth': 8, 'n_estimators': 904, 'learning_rate': 0.022463582058201783}",True,btc_LogReturn_binary,"['mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'NEO_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,1.0,0.6842105263157895,0.5176908752327747,0.4307692307692308,0.5092936802973979,0.5507246376811593,1.0,0.6,0.5158878504672897,0.38333333333333336,0.5065420560747663,0.48333333333333334,11.974033239119782,0.8528981631468415,0.8586834831908892,0.08301207628247198,1.2809281046538992,0.34156263959265054,0.3033340652222343,0.8143302116964648,81.63684230800027,2021_04_07_10_51
7,2020-02-27,2020-04-26,LGBMC,"{'max_depth': 6, 'n_estimators': 867, 'learning_rate': 0.0086229560981083}",True,btc_LogReturn_binary,"['market-cap_LogReturn', 'n-transactions-total_LogReturn', 'mvrv_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'n-transactions-total_LogReturn_lag1', 'ETH_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.9944954128440368,0.7096774193548386,0.4742647058823529,0.4912280701754386,0.49723756906077354,0.53125,0.994392523364486,0.7,0.4654205607476635,0.5166666666666667,0.4897196261682243,0.5,11.95343840699148,0.7879280044427919,-0.33165596553943466,-0.49306081074645114,1.4844937161777878,-0.1733597774747757,0.9226905273007127,-0.9912296520945638,76.95675266599937,2021_04_07_10_51
8,2020-04-27,2020-06-25,LGBMC,"{'max_depth': 5, 'n_estimators': 321, 'learning_rate': 0.0008957858304126637}",True,btc_LogReturn_binary,"['n-transactions-total_LogReturn', 'mvrv_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.7625649913344887,0.7076923076923076,0.48405253283302063,0.5084745762711865,0.5127272727272727,0.6301369863013699,0.7439252336448599,0.6833333333333333,0.48598130841121495,0.5166666666666667,0.49906542056074765,0.55,8.69382037658988,1.077375545853796,-1.1109335213629272,0.3817337632139921,1.5002406542328544,0.3364494128650062,0.2421202511039553,0.8825780990200283,68.11438196800009,2021_04_07_10_51
9,2020-06-26,2020-08-24,LGBMC,"{'max_depth': 5, 'n_estimators': 887, 'learning_rate': 0.0007686833867315099}",True,btc_LogReturn_binary,"['n-transactions-total_LogReturn', 'mvrv_LogReturn', 'USDT_Volume_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.8285714285714286,0.7142857142857144,0.5100182149362478,0.47619047619047616,0.5379310344827586,0.4857142857142857,0.7981308411214953,0.6666666666666666,0.497196261682243,0.45,0.49906542056074765,0.4,10.21542916340193,0.7093795387466351,1.5349749889206592,0.04127977035108721,2.031724188822446,0.3565928938824783,2.634551182808364,0.7238701081629753,69.0248440739997,2021_04_07_10_51
10,2020-08-25,2020-10-23,LGBMC,"{'max_depth': 5, 'n_estimators': 321, 'learning_rate': 0.0008957858304126637}",True,btc_LogReturn_binary,"['n-transactions-total_LogReturn', 'mvrv_LogReturn', 'USDT_Volume_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.7938288920056101,0.7710843373493975,0.5326278659611993,0.37931034482758624,0.5564924114671164,0.5217391304347826,0.7252336448598131,0.6833333333333333,0.5046728971962616,0.4,0.508411214953271,0.45,9.244463150880899,0.7544020744505833,3.111344332039769,-0.22234151932347856,2.6831096334095577,0.03500827582016619,3.419236611093922,-0.08023138240220717,73.01539115700143,2021_04_07_10_51
