CV,test_start,test_end,model,best_params,dataset,feature_selection,dependent_variable,independent_variables,DV_shifts,IV_lags,metric,n_train_days,n_valid_days,n_test_days,train_valid_model_f1,test_model_f1,train_valid_random_f1,test_random_f1,train_valid_naive_f1,test_naive_f1,train_valid_model_accuracy,test_model_accuracy,train_valid_random_accuracy,test_random_accuracy,train_valid_naive_accuracy,test_naive_accuracy,train_valid_AlgoReturns,test_AlgoReturns,train_valid_RandomReturns,test_RandomReturns,train_valid_NaiveReturns,test_NaiveReturns,train_valid_BuyAndHolds,test_BuyAndHolds,execution_time,finished_time
1,2019-03-02,2019-04-30,Logistic,"{'solver': 'liblinear', 'C': 0.3321669193561385}",BlockchainAltcoin,True,btc_LogReturn_binary,"['btc_LogReturn', 'market-cap_LogReturn', 'blocks-size_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'blocks-size_LogReturn_lag1', 'blocks-size_LogReturn_lag2', 'n-transactions-total_LogReturn_lag2', 'utxo-count_LogReturn_lag1', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'BNB_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'NEO_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",1,2,f1,480,60,60,0.7992831541218638,0.606060606060606,0.54249547920434,0.5671641791044776,0.49097472924187724,0.5070422535211268,0.7914338919925512,0.5666666666666667,0.5288640595903166,0.5166666666666667,0.4748603351955307,0.4166666666666667,6.643849231632627,0.32063900122511946,0.5143029250706004,0.10115078687073975,0.18275309177298737,0.1702734646115438,-0.11772536632333974,0.3241701703208637,53.04186329699951,2021_04_12_11_46
2,2019-05-01,2019-06-29,Logistic,"{'solver': 'lbfgs', 'C': 0.004124227683115753}",BlockchainAltcoin,True,btc_LogReturn_binary,"['btc_LogReturn', 'total-bitcoins_LogReturn', 'market-cap_LogReturn', 'blocks-size_LogReturn', 'n-transactions-total_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'blocks-size_LogReturn_lag1', 'blocks-size_LogReturn_lag2', 'n-transactions-total_LogReturn_lag1', 'n-transactions-total_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",1,2,f1,480,60,60,0.7448979591836735,0.8292682926829268,0.47970479704797053,0.6133333333333334,0.4794275491949911,0.7407407407407408,0.7206703910614525,0.7666666666666667,0.4748603351955307,0.5166666666666667,0.4581005586592179,0.65,4.9800971501634255,1.078878789795441,-1.2083637113131136,0.2997972203849155,-0.009310763375438569,0.6023880234740808,-0.2961219395558601,0.7418512147113461,55.09309475200098,2021_04_12_11_46
3,2019-06-30,2019-08-28,Logistic,"{'solver': 'lbfgs', 'C': 0.0010365605953257927}",BlockchainAltcoin,True,btc_LogReturn_binary,"['btc_LogReturn', 'total-bitcoins_LogReturn', 'market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'n-transactions-total_LogReturn_lag1', 'n-transactions-total_LogReturn_lag2', 'XRP_Volume_LogReturn_lag2', 'USDT_Volume_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",1,2,f1,480,60,60,0.7726550079491257,0.8125,0.4981412639405205,0.576271186440678,0.49378330373001783,0.47457627118644075,0.7337057728119181,0.8,0.4972067039106145,0.5833333333333334,0.4692737430167598,0.48333333333333334,4.9960637015462,0.7561725004391899,-0.11671812517783309,0.0373208458546781,-0.30008977497114664,0.09208030178244364,-0.43241332191125004,-0.07191423610043834,52.056456829001036,2021_04_12_11_46
4,2019-08-29,2019-10-27,Logistic,"{'solver': 'lbfgs', 'C': 0.001966123239802328}",BlockchainAltcoin,True,btc_LogReturn_binary,"['btc_LogReturn', 'market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'USDT_Volume_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'NEO_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",1,2,f1,480,60,60,0.7722772277227723,0.6470588235294118,0.5098039215686274,0.5614035087719298,0.4929078014184397,0.425531914893617,0.7430167597765364,0.6,0.48789571694599626,0.5833333333333334,0.46741154562383613,0.55,4.849650592947022,0.3771837227090362,0.18481768790857167,0.18046403883778162,0.10798868731613709,0.0954398873401825,0.04337569343635295,-0.17846192498431535,47.59475236599974,2021_04_12_11_46
5,2019-10-28,2019-12-26,Logistic,"{'solver': 'liblinear', 'C': 0.0017196282743117538}",BlockchainAltcoin,True,btc_LogReturn_binary,"['btc_LogReturn', 'market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'XRP_Volume_LogReturn_lag2', 'USDT_Volume_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'NEO_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ZEC_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",1,2,f1,480,60,60,0.7390542907180385,0.5714285714285715,0.4999999999999999,0.4680851063829787,0.49180327868852464,0.2857142857142857,0.7225325884543762,0.6,0.4860335195530726,0.5833333333333334,0.48044692737430167,0.4166666666666667,4.519177208403679,0.07552017716813886,-0.24891788628709932,-0.041333165967365915,0.3576042122400036,-0.2800545383242312,-0.1055227122476019,-0.1783793111881682,48.55395435899845,2021_04_12_11_46
6,2019-12-27,2020-02-24,Logistic,"{'solver': 'lbfgs', 'C': 0.02576567786705584}",BlockchainAltcoin,True,btc_LogReturn_binary,"['btc_LogReturn', 'market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag2', 'XEM_AdjClose_LogReturn_lag1', 'NEO_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ZEC_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",1,2,f1,480,60,60,0.7757352941176471,0.8051948051948051,0.49715370018975336,0.5483870967741936,0.4860853432282004,0.46376811594202894,0.7728119180633147,0.75,0.5065176908752328,0.5333333333333333,0.48417132216014896,0.38333333333333336,5.1323199832499515,0.6719044628431288,0.4420536665069097,0.197657442954835,0.2873557611891968,-0.05668643607398138,0.10077609595829529,0.28785891214086057,46.77553902700129,2021_04_12_11_46
7,2020-02-25,2020-04-24,Logistic,"{'solver': 'liblinear', 'C': 0.0017196282743117538}",BlockchainAltcoin,True,btc_LogReturn_binary,"['btc_LogReturn', 'market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'n-transactions-total_LogReturn_lag1', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",1,2,f1,480,60,60,0.7385740402193786,0.7333333333333333,0.4740740740740741,0.45901639344262296,0.47794117647058826,0.41935483870967744,0.7337057728119181,0.7333333333333333,0.47113594040968343,0.45,0.47113594040968343,0.4,4.615380696694565,0.7931456556286598,-0.2599621169044699,-0.06383511664933472,0.05074921030182722,-0.503849895300089,0.28587651336851216,-0.3045031594226604,50.615805575000195,2021_04_12_11_46
8,2020-04-25,2020-06-23,Logistic,"{'solver': 'liblinear', 'C': 0.08622956098108295}",BlockchainAltcoin,True,btc_LogReturn_binary,"['btc_LogReturn', 'market-cap_LogReturn', 'utxo-count_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'n-transactions-total_LogReturn_lag1', 'n-transactions-total_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1']",1,2,f1,480,60,60,0.797891036906854,0.6250000000000001,0.49626865671641796,0.5797101449275361,0.4682395644283122,0.5277777777777778,0.7858472998137802,0.6,0.4972067039106145,0.5166666666666667,0.4543761638733706,0.43333333333333335,6.098215903670026,0.5157199205393841,0.5416836311184614,0.2233743065159306,-0.47839002726426827,-0.019154414706505918,0.10963383194470566,0.2638938998696876,47.32619793900085,2021_04_12_11_46
9,2020-06-24,2020-08-22,Logistic,"{'solver': 'lbfgs', 'C': 0.0010365605953257927}",BlockchainAltcoin,True,btc_LogReturn_binary,"['btc_LogReturn', 'market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'n-transactions-total_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",1,2,f1,480,60,60,0.7572519083969466,0.759493670886076,0.5125448028673836,0.5483870967741935,0.48763250883392223,0.41791044776119407,0.7039106145251397,0.6833333333333333,0.4934823091247672,0.5333333333333333,0.45996275605214154,0.35,4.9875603298466995,0.40039043166949995,-0.047111236647225496,0.05475794413391455,-0.032549715528997325,-0.013688489718933994,0.8786256312596823,0.2452620727163506,48.33310417699977,2021_04_12_11_46
10,2020-08-23,2020-10-21,Logistic,"{'solver': 'liblinear', 'C': 0.9764021224737406}",BlockchainAltcoin,True,btc_LogReturn_binary,"['btc_LogReturn', 'market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'n-transactions-total_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'NEO_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ZEC_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",1,2,f1,480,60,60,0.8047945205479452,0.7042253521126761,0.5054545454545455,0.6666666666666666,0.4895833333333333,0.47887323943661975,0.7877094972067039,0.65,0.4934823091247672,0.6166666666666667,0.45251396648044695,0.38333333333333336,6.078204418507928,0.2847286999581353,0.19293909982303248,0.0497023972710533,0.09077044093463194,-0.0716876637072641,1.1302445943907262,-0.009113759106798014,47.58918447900032,2021_04_12_11_46
