CV,test_start,test_end,model,best_params,feature_selection,dependent_variable,independent_variables,DV_shifts,IV_lags,metric,n_train_days,n_valid_days,n_test_days,train_valid_model_f1,test_model_f1,train_valid_random_f1,test_random_f1,train_valid_naive_f1,test_naive_f1,train_valid_model_accuracy,test_model_accuracy,train_valid_random_accuracy,test_random_accuracy,train_valid_naive_accuracy,test_naive_accuracy,train_valid_AlgoReturns,test_AlgoReturns,train_valid_RandomReturns,test_RandomReturns,train_valid_NaiveReturns,test_NaiveReturns,train_valid_BuyAndHolds,test_BuyAndHolds,execution_time,finished_time
1,2019-03-03,2019-05-01,Logistic,"{'solver': 'liblinear', 'C': 0.2866182785227598}",True,btc_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'blocks-size_LogReturn_lag1', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'NEO_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",2,2,f1,480,60,60,0.7565543071161048,0.6567164179104478,0.5135135135135135,0.5151515151515151,0.5243445692883896,0.5789473684210528,0.7574626865671642,0.6166666666666667,0.5298507462686567,0.4666666666666667,0.5261194029850746,0.4666666666666667,7.735522011834314,0.6526623946888339,0.6433442786895274,0.43364613305605104,1.788112449598687,0.2686822968458813,-0.24022040041387527,0.6448173360686162,51.39253044399993,2021_04_07_12_39
2,2019-05-02,2019-06-30,Logistic,"{'solver': 'liblinear', 'C': 0.0017196282743117538}",True,btc_LogReturn_binary,"['market-cap_LogReturn', 'cost-per-transaction_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",2,2,f1,480,60,60,0.7477313974591651,0.8674698795180722,0.5271028037383177,0.684931506849315,0.5149253731343284,0.674698795180723,0.7406716417910447,0.8166666666666667,0.5279850746268657,0.6166666666666667,0.5149253731343284,0.55,7.312407278290461,2.165370562810887,-0.4389356524314181,1.3799379026830607,1.1162291705828888,1.2192411528211,-0.642790518245592,1.637524473997395,48.76386157500019,2021_04_07_12_39
3,2019-07-01,2019-08-29,Logistic,"{'solver': 'lbfgs', 'C': 0.001966123239802328}",True,btc_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",2,2,f1,480,60,60,0.7559322033898306,0.7812499999999999,0.46387832699619774,0.5172413793103449,0.52994555353902,0.48484848484848486,0.7313432835820896,0.7666666666666667,0.47388059701492535,0.5333333333333333,0.5167910447761194,0.43333333333333335,7.41640415186688,0.8414879777856914,-1.6117582135562003,-0.1510704908126108,1.130053761285783,-0.2774868292866355,-0.6572238571476845,-0.3156395840023656,48.71142418999989,2021_04_07_12_39
4,2019-08-30,2019-10-28,Logistic,"{'solver': 'lbfgs', 'C': 0.0010365605953257927}",True,btc_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'NEO_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",2,2,f1,480,60,60,0.8013029315960912,0.7384615384615384,0.5110294117647058,0.3666666666666667,0.5187835420393561,0.32653061224489793,0.7723880597014925,0.7166666666666667,0.503731343283582,0.36666666666666664,0.498134328358209,0.45,7.789318811743138,0.8269678746549278,-0.39219127615872296,-0.18582124271504874,1.0345850784930004,-0.08159956080884712,0.12672247253717472,-0.4886478860893799,48.047636909001085,2021_04_07_12_39
5,2019-10-29,2019-12-27,Logistic,"{'solver': 'lbfgs', 'C': 0.012196787141390142}",True,btc_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'NEO_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",2,2,f1,480,60,60,0.7768014059753955,0.5306122448979592,0.4908424908424909,0.3529411764705882,0.5127272727272727,0.23809523809523808,0.7630597014925373,0.6166666666666667,0.48134328358208955,0.45,0.5,0.4666666666666667,7.505214785123851,0.14144214731507176,0.07498287264551529,-0.39963192236817946,1.0998725160435612,-0.23129851151020553,-0.33713948273476646,-0.19326170807552856,47.69899772899953,2021_04_07_12_39
6,2019-12-28,2020-02-25,Logistic,"{'solver': 'lbfgs', 'C': 0.002877369989185347}",True,btc_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'NEO_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",2,2,f1,480,60,60,0.7214953271028037,0.7499999999999999,0.5018181818181818,0.6176470588235293,0.49438202247191004,0.5352112676056338,0.7220149253731343,0.6666666666666666,0.48880597014925375,0.5666666666666667,0.4962686567164179,0.45,6.85990523730945,0.8125771790130987,-0.19512072464608465,0.3161324379591868,1.056345093624559,0.2564614982515572,0.20026413829712908,0.56870427748391,47.33492483199916,2021_04_07_12_39
7,2020-02-26,2020-04-25,Logistic,"{'solver': 'lbfgs', 'C': 0.001966123239802328}",True,btc_LogReturn_binary,"['market-cap_LogReturn', 'n-transactions-total_LogReturn', 'mvrv_LogReturn', 'cny_usd_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'n-transactions-total_LogReturn_lag1', 'ETH_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",2,2,f1,480,60,60,0.740608228980322,0.7666666666666666,0.44859813084112143,0.5671641791044776,0.4879852125693161,0.5079365079365079,0.7294776119402985,0.7666666666666667,0.4496268656716418,0.5166666666666667,0.4832089552238806,0.48333333333333334,6.652334857018175,1.071668893543702,-0.630240405256492,-0.22289990071435462,1.0169365642704289,-0.25977000918516424,0.5616671355903549,-0.6516171403674615,50.56954433200008,2021_04_07_12_39
8,2020-04-26,2020-06-24,Logistic,"{'solver': 'lbfgs', 'C': 0.0013921363914737785}",True,btc_LogReturn_binary,"['market-cap_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'n-transactions-total_LogReturn_lag1', 'mempool-size_LogReturn_lag1', 'USDT_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",2,2,f1,480,60,60,0.7346938775510204,0.7945205479452055,0.5094339622641509,0.6285714285714286,0.4909090909090909,0.6052631578947368,0.7089552238805971,0.75,0.5149253731343284,0.5666666666666667,0.47761194029850745,0.5,7.027591207015615,0.8318543820544697,0.5251034479076075,0.2661756995921465,0.6780288246413608,0.32779870129755473,0.18400627364881572,0.5754090523453481,47.831052931998784,2021_04_07_12_39
9,2020-06-25,2020-08-23,Logistic,"{'solver': 'lbfgs', 'C': 0.0010365605953257927}",True,btc_LogReturn_binary,"['market-cap_LogReturn', 'cny_usd_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'mempool-size_LogReturn_lag1', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",2,2,f1,480,60,60,0.7623066104078762,0.7954545454545454,0.5120593692022263,0.5079365079365079,0.5154639175257733,0.5555555555555556,0.6847014925373134,0.7,0.5093283582089553,0.48333333333333334,0.47388059701492535,0.4666666666666667,6.737609853470891,0.5910317932715419,1.115235903400917,0.297757664155176,1.3054562778186671,0.2588015486359918,1.7456761331753228,0.47156036064166607,47.99589021599968,2021_04_07_12_39
10,2020-08-24,2020-10-22,Logistic,"{'solver': 'liblinear', 'C': 0.0014217449619428114}",True,btc_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'mempool-count_LogReturn_lag1', 'mempool-size_LogReturn_lag1', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'NEO_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ZEC_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1', 'WAVES_AdjClose_LogReturn_lag1']",2,2,f1,480,60,60,0.7705192629815746,0.8656716417910447,0.5555555555555556,0.45454545454545453,0.5277310924369749,0.5151515151515151,0.7444029850746269,0.85,0.5223880597014925,0.4,0.47574626865671643,0.4666666666666667,8.203566348418594,0.5637877715279611,1.8149867087199443,-0.1702870223595152,1.4909206453954909,-0.03138470667574289,2.253727739058119,-0.02854287287001611,52.55495172400151,2021_04_07_12_39
