CV,test_start,test_end,model,best_params,dataset,feature_selection,dependent_variable,independent_variables,DV_shifts,IV_lags,metric,n_train_days,n_valid_days,n_test_days,train_valid_model_f1,test_model_f1,train_valid_random_f1,test_random_f1,train_valid_naive_f1,test_naive_f1,train_valid_model_accuracy,test_model_accuracy,train_valid_random_accuracy,test_random_accuracy,train_valid_naive_accuracy,test_naive_accuracy,train_valid_AlgoReturns,test_AlgoReturns,train_valid_RandomReturns,test_RandomReturns,train_valid_NaiveReturns,test_NaiveReturns,train_valid_BuyAndHolds,test_BuyAndHolds,execution_time,finished_time
1,2019-03-04,2019-05-02,RFC,"{'max_depth': 4, 'n_estimators': 554}",BlockchainAltcoin,True,btc_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'BCH_Volume_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BNB_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.8516579406631763,0.8095238095238095,0.5037878787878788,0.6,0.5054945054945055,0.7058823529411765,0.8411214953271028,0.7333333333333333,0.5102803738317757,0.5333333333333333,0.4953271028037383,0.5833333333333334,12.238389993070765,1.0472048378933607,0.024535490135297877,0.7674366078657151,0.3020005537129009,0.7097790335616825,-0.335451932979014,0.9634602203518323,159.93375886000103,2021_04_12_14_23
2,2019-05-03,2019-07-01,RFC,"{'max_depth': 7, 'n_estimators': 14}",BlockchainAltcoin,True,btc_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'BCH_Volume_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.9484902309058614,0.7380952380952381,0.4917431192660551,0.6060606060606061,0.5261261261261261,0.7209302325581395,0.9457943925233645,0.6333333333333333,0.4822429906542056,0.5666666666666667,0.508411214953271,0.6,13.325252123277075,2.303843063916343,-1.7850054810103249,1.533442129698317,0.17223974233049155,1.8000289784497028,-0.935416120556793,2.436315478808112,157.10244471199985,2021_04_12_14_23
3,2019-07-02,2019-08-30,RFC,"{'max_depth': 6, 'n_estimators': 137}",BlockchainAltcoin,True,btc_LogReturn_binary,"['ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'BCH_Volume_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.9310344827586207,0.806451612903226,0.4744525547445255,0.5357142857142857,0.5295169946332737,0.4642857142857143,0.9252336448598131,0.8,0.4616822429906542,0.5666666666666667,0.508411214953271,0.5,12.10696315058348,1.0628364855191101,-1.585456696461872,0.16783533661446093,0.24136073968774596,-0.10166717329916608,-0.8975134510434799,-0.4640113213391359,143.33080285399956,2021_04_12_14_23
4,2019-08-31,2019-10-29,RFC,"{'max_depth': 4, 'n_estimators': 400}",BlockchainAltcoin,True,btc_LogReturn_binary,"['ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'BCH_Volume_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.8448275862068966,0.676923076923077,0.5009208103130756,0.3728813559322034,0.5287769784172662,0.32,0.8317757009345794,0.65,0.4934579439252336,0.38333333333333336,0.5102803738317757,0.43333333333333335,10.198583441569744,0.7338141655708927,-0.5553827735120969,-0.5550158496180817,1.004078650900281,-0.19290372659692956,0.21756939982459222,-0.7946391821602585,163.10726833599983,2021_04_12_14_23
5,2019-10-30,2019-12-28,RFC,"{'max_depth': 9, 'n_estimators': 417}",BlockchainAltcoin,True,btc_LogReturn_binary,"['ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'BCH_Volume_LogReturn_lag2', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'NEO_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ZEC_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.9981785063752276,0.5084745762711864,0.5724637681159421,0.39215686274509803,0.5174311926605504,0.3111111111111111,0.9981308411214953,0.5166666666666667,0.5588785046728972,0.48333333333333334,0.508411214953271,0.48333333333333334,12.127210235802668,-0.33627996297884977,1.5612478513574555,-0.3498988836979837,1.092112369453547,-0.43002575805540033,-0.5440340644643218,-0.1872760916749101,160.2988514990011,2021_04_12_14_23
6,2019-12-29,2020-02-26,RFC,"{'max_depth': 4, 'n_estimators': 554}",BlockchainAltcoin,True,btc_LogReturn_binary,"['mvrv_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.8260105448154657,0.7088607594936709,0.4932562620423892,0.5538461538461538,0.5092936802973979,0.5507246376811593,0.8149532710280374,0.6166666666666667,0.508411214953271,0.5166666666666667,0.5065420560747663,0.48333333333333334,9.432631219289709,1.0016169457252158,0.7402481774506953,0.702064466294468,1.2809281046538992,0.34156263959265054,0.3033340652222343,0.8143302116964648,155.16396101400096,2021_04_12_14_23
7,2020-02-27,2020-04-26,RFC,"{'max_depth': 4, 'n_estimators': 400}",BlockchainAltcoin,True,btc_LogReturn_binary,"['n-transactions-total_LogReturn', 'mvrv_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'n-transactions-total_LogReturn_lag1', 'ETH_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.8146853146853145,0.6557377049180327,0.4945054945054945,0.6363636363636364,0.49723756906077354,0.53125,0.8018691588785046,0.65,0.48411214953271026,0.6,0.4897196261682243,0.5,9.475626354434949,0.5868242295791877,0.7990407550810854,0.40909971798319766,1.4844937161777878,-0.1733597774747757,0.9226905273007127,-0.9912296520945638,147.32808660000046,2021_04_12_14_23
8,2020-04-27,2020-06-25,RFC,"{'max_depth': 10, 'n_estimators': 162}",BlockchainAltcoin,True,btc_LogReturn_binary,"['n-transactions-total_LogReturn', 'mvrv_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.996376811594203,0.7222222222222222,0.5197132616487455,0.5070422535211268,0.5127272727272727,0.6301369863013699,0.9962616822429906,0.6666666666666666,0.49906542056074765,0.4166666666666667,0.49906542056074765,0.55,13.24732660063705,1.140221992934853,0.4040808058384471,0.21274636173376393,1.5002406542328544,0.3364494128650062,0.2421202511039553,0.8825780990200283,146.54014592100066,2021_04_12_14_23
9,2020-06-26,2020-08-24,RFC,"{'max_depth': 5, 'n_estimators': 645}",BlockchainAltcoin,True,btc_LogReturn_binary,"['n-transactions-total_LogReturn', 'mvrv_LogReturn', 'USDT_Volume_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.8676236044657096,0.767123287671233,0.5280289330922242,0.4406779661016949,0.5379310344827586,0.4857142857142857,0.8448598130841122,0.7166666666666667,0.5121495327102804,0.45,0.49906542056074765,0.4,11.309182280307263,0.8200409019215869,2.0884785976978435,0.12112753546756494,2.031724188822446,0.3565928938824783,2.634551182808364,0.7238701081629753,149.26345657300044,2021_04_12_14_23
10,2020-08-25,2020-10-23,RFC,"{'max_depth': 3, 'n_estimators': 618}",BlockchainAltcoin,True,btc_LogReturn_binary,"['blocks-size_LogReturn', 'n-transactions-total_LogReturn', 'mvrv_LogReturn', 'USDT_Volume_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.8098918083462132,0.7199999999999999,0.5285714285714286,0.606060606060606,0.5564924114671164,0.5217391304347826,0.7700934579439253,0.65,0.5065420560747663,0.5666666666666667,0.508411214953271,0.45,10.995986921023396,0.6220793215758462,2.3517091829368333,0.07189334204064224,2.6831096334095577,0.03500827582016619,3.419236611093922,-0.08023138240220717,150.60324430000037,2021_04_12_14_23
11,2020-10-24,2020-12-22,RFC,"{'max_depth': 3, 'n_estimators': 618}",BlockchainAltcoin,True,btc_LogReturn_binary,"['mvrv_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.7830342577487766,0.725,0.5278276481149013,0.5555555555555556,0.5226480836236934,0.735632183908046,0.7514018691588785,0.6333333333333333,0.508411214953271,0.4666666666666667,0.48785046728971965,0.6166666666666667,9.564010856395708,1.4829046184726007,1.3166361666997002,0.6686500096669405,1.8277747404592528,1.4394821770633772,2.2477687274993876,1.9948956612933877,147.39293156199892,2021_04_12_14_23
12,2020-12-23,2021-02-20,RFC,"{'max_depth': 3, 'n_estimators': 618}",BlockchainAltcoin,True,btc_LogReturn_binary,"['ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'BNB_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.7769110764430577,0.691358024691358,0.5062836624775583,0.6315789473684211,0.5319516407599308,0.746987951807229,0.7327102803738318,0.5833333333333334,0.48598130841121495,0.5333333333333333,0.4934579439252336,0.65,8.275588447720112,1.7014163337732846,0.8112477016963151,1.6883879273717532,1.7679065936289007,2.094206854052665,2.2204998297836678,2.3180044651157825,148.27114109600006,2021_04_12_14_23
13,2021-02-21,2021-04-21,RFC,"{'max_depth': 5, 'n_estimators': 510}",BlockchainAltcoin,True,btc_LogReturn_binary,"['n-transactions-total_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn_lag1']",3,2,f1,480,60,60,0.8516320474777448,0.6666666666666666,0.5530434782608696,0.5714285714285715,0.5676567656765676,0.5714285714285715,0.8130841121495327,0.75,0.5196261682242991,0.625,0.5102803738317757,0.625,11.747575254605449,-0.009607983075269999,4.120134590612791,-0.19403206331285006,3.867173069527867,-0.11596556265194202,4.880135897706969,0.1537061487326703,133.80381913599922,2021_04_12_14_23
