CV,test_start,test_end,model,best_params,dataset,feature_selection,dependent_variable,independent_variables,DV_shifts,IV_lags,metric,n_train_days,n_valid_days,n_test_days,train_valid_model_f1,test_model_f1,train_valid_random_f1,test_random_f1,train_valid_naive_f1,test_naive_f1,train_valid_model_accuracy,test_model_accuracy,train_valid_random_accuracy,test_random_accuracy,train_valid_naive_accuracy,test_naive_accuracy,train_valid_AlgoReturns,test_AlgoReturns,train_valid_RandomReturns,test_RandomReturns,train_valid_NaiveReturns,test_NaiveReturns,train_valid_BuyAndHolds,test_BuyAndHolds,execution_time,finished_time
1,2019-03-04,2019-05-02,FNN,"{'num_layer_hidden': 3, 'num_unit_hidden1': 81, 'num_unit_hidden': 24, 'activation': 'tanh', 'dropout_rate': 0.32274530757556247, 'optimizer': 'adam', 'batch_size': 32, 'epochs': 11}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_Price_LogReturn', 'XRP_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'XEM_Price_LogReturn', 'NEO_Price_LogReturn', 'ZEC_Price_LogReturn', 'ETC_Price_LogReturn', 'WAVES_Price_LogReturn', 'ETH_Price_LogReturn_lag1', 'XRP_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'BCH_Price_LogReturn_lag1', 'XLM_Price_LogReturn_lag1', 'EOS_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'XEM_Price_LogReturn_lag1', 'IOTA_Price_LogReturn_lag1', 'ETC_Price_LogReturn_lag1', 'WAVES_Price_LogReturn_lag1']",2,2,f1,480,60,60,0.768060836501901,0.6268656716417911,0.5047438330170778,0.5915492957746479,0.5233644859813084,0.5789473684210527,0.7723880597014925,0.5833333333333334,0.5130597014925373,0.5166666666666667,0.5242537313432836,0.4666666666666667,8.231283345666814,0.6388502482315328,0.49056927076645707,0.3454671990350864,1.7832604972206916,0.2735342492238768,-0.2168076983682159,0.6362612076515699,372.0291470200002,2021_06_08_14_51
2,2019-05-03,2019-07-01,FNN,"{'num_layer_hidden': 2, 'num_unit_hidden1': 68, 'num_unit_hidden': 29, 'activation': 'tanh', 'dropout_rate': 0.32638854813672347, 'optimizer': 'adam', 'batch_size': 32, 'epochs': 13}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'cost-per-transaction_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_Price_LogReturn', 'XRP_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'XEM_Price_LogReturn', 'NEO_Price_LogReturn', 'IOTA_Price_LogReturn', 'ZEC_Price_LogReturn', 'ETC_Price_LogReturn', 'WAVES_Price_LogReturn', 'ETH_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'XLM_Price_LogReturn_lag1', 'EOS_Price_LogReturn_lag1', 'XEM_Price_LogReturn_lag1', 'IOTA_Price_LogReturn_lag1', 'WAVES_Price_LogReturn_lag1']",2,2,f1,480,60,60,0.7709090909090908,0.8500000000000001,0.49534450651769085,0.6285714285714286,0.5139664804469274,0.6829268292682927,0.7649253731343284,0.8,0.4944029850746269,0.5666666666666667,0.5130597014925373,0.5666666666666667,7.643505510890828,2.0262222304452937,0.048835364471589315,0.8766998809209188,1.1162291705828888,1.2192411528211,-0.6414041550928733,1.5971131398217473,365.4456966730004,2021_06_08_14_51
3,2019-07-02,2019-08-30,FNN,"{'num_layer_hidden': 4, 'num_unit_hidden1': 71, 'num_unit_hidden': 16, 'activation': 'tanh', 'dropout_rate': 0.31994677503192304, 'optimizer': 'adam', 'batch_size': 8, 'epochs': 22}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_Price_LogReturn', 'XRP_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'XEM_Price_LogReturn', 'NEO_Price_LogReturn', 'IOTA_Price_LogReturn', 'ZEC_Price_LogReturn', 'ETC_Price_LogReturn', 'WAVES_Price_LogReturn', 'ETH_Price_LogReturn_lag1', 'XRP_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'BCH_Price_LogReturn_lag1', 'XLM_Price_LogReturn_lag1', 'EOS_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'XEM_Price_LogReturn_lag1', 'IOTA_Price_LogReturn_lag1', 'ETC_Price_LogReturn_lag1', 'WAVES_Price_LogReturn_lag1']",2,2,f1,480,60,60,0.8193202146690519,0.8059701492537314,0.4669260700389105,0.5625,0.52994555353902,0.4776119402985075,0.8115671641791045,0.7833333333333333,0.48880597014925375,0.5333333333333333,0.5167910447761194,0.4166666666666667,8.061921073701336,0.7680155306370864,-0.24163762525338406,0.11653855152696124,1.130053761285783,-0.34744947811518223,-0.5645612274991887,-0.26788859015499256,369.47994267800004,2021_06_08_14_51
4,2019-08-31,2019-10-29,FNN,"{'num_layer_hidden': 3, 'num_unit_hidden1': 61, 'num_unit_hidden': 18, 'activation': 'tanh', 'dropout_rate': 0.22329185504931875, 'optimizer': 'adam', 'batch_size': 8, 'epochs': 10}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_Price_LogReturn', 'XRP_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'XEM_Price_LogReturn', 'NEO_Price_LogReturn', 'IOTA_Price_LogReturn', 'ZEC_Price_LogReturn', 'ETC_Price_LogReturn', 'WAVES_Price_LogReturn', 'ETH_Price_LogReturn_lag1', 'XRP_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'BCH_Price_LogReturn_lag1', 'XLM_Price_LogReturn_lag1', 'EOS_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'XEM_Price_LogReturn_lag1', 'NEO_Price_LogReturn_lag1', 'IOTA_Price_LogReturn_lag1', 'ETC_Price_LogReturn_lag1', 'WAVES_Price_LogReturn_lag1']",2,2,f1,480,60,60,0.831615120274914,0.7096774193548386,0.5454545454545454,0.4074074074074074,0.5187835420393561,0.32653061224489793,0.8171641791044776,0.7,0.5242537313432836,0.4666666666666667,0.498134328358209,0.45,7.973614939112689,0.7792418836997879,0.38529019086513827,-0.07043322548014785,0.9646224296644537,-0.016078343134330098,0.19894110310498547,-0.2724037237978738,363.54372205300024,2021_06_08_14_51
5,2019-10-30,2019-12-28,FNN,"{'num_layer_hidden': 4, 'num_unit_hidden1': 47, 'num_unit_hidden': 26, 'activation': 'tanh', 'dropout_rate': 0.2658342682040541, 'optimizer': 'adam', 'batch_size': 32, 'epochs': 13}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_Price_LogReturn', 'XRP_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'XEM_Price_LogReturn', 'NEO_Price_LogReturn', 'IOTA_Price_LogReturn', 'ZEC_Price_LogReturn', 'ETC_Price_LogReturn', 'WAVES_Price_LogReturn', 'ETH_Price_LogReturn_lag1', 'XRP_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'BCH_Price_LogReturn_lag1', 'XLM_Price_LogReturn_lag1', 'EOS_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'XEM_Price_LogReturn_lag1', 'NEO_Price_LogReturn_lag1', 'IOTA_Price_LogReturn_lag1', 'ZEC_Price_LogReturn_lag1', 'ETC_Price_LogReturn_lag1', 'WAVES_Price_LogReturn_lag1']",2,2,f1,480,60,60,0.8,0.4888888888888889,0.5045703839122486,0.40816326530612246,0.5117967332123412,0.23809523809523808,0.7910447761194029,0.6166666666666667,0.4944029850746269,0.5166666666666667,0.498134328358209,0.4666666666666667,7.574614491923427,0.11295700755267646,-0.07968664544432436,-0.44583285184519106,1.0954310848895314,-0.2268570803561758,-0.06999042212190432,-0.43096132601048787,341.0808976640001,2021_06_08_14_51
6,2019-12-29,2020-02-26,FNN,"{'num_layer_hidden': 3, 'num_unit_hidden1': 47, 'num_unit_hidden': 9, 'activation': 'tanh', 'dropout_rate': 0.3414892797220078, 'optimizer': 'adam', 'batch_size': 64, 'epochs': 11}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_Price_LogReturn', 'XRP_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'XEM_Price_LogReturn', 'NEO_Price_LogReturn', 'IOTA_Price_LogReturn', 'ZEC_Price_LogReturn', 'ETC_Price_LogReturn', 'ETH_Price_LogReturn_lag1', 'XRP_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'BCH_Price_LogReturn_lag1', 'XLM_Price_LogReturn_lag1', 'EOS_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'XEM_Price_LogReturn_lag1', 'NEO_Price_LogReturn_lag1', 'IOTA_Price_LogReturn_lag1', 'ETC_Price_LogReturn_lag1', 'WAVES_Price_LogReturn_lag1']",2,2,f1,480,60,60,0.738404452690167,0.7179487179487181,0.5,0.5573770491803278,0.4943820224719101,0.5352112676056338,0.7369402985074627,0.6333333333333333,0.48507462686567165,0.55,0.4962686567164179,0.45,6.9638162486504545,0.6833967463503505,0.056267044132608746,0.3880457610743324,1.0705620119043076,0.18594307018108402,0.1490143538350086,0.6162741198857038,359.0895517580002,2021_06_08_14_51
7,2020-02-27,2020-04-26,FNN,"{'num_layer_hidden': 4, 'num_unit_hidden1': 47, 'num_unit_hidden': 26, 'activation': 'tanh', 'dropout_rate': 0.2658342682040541, 'optimizer': 'adam', 'batch_size': 32, 'epochs': 13}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'ETH_Price_LogReturn', 'XRP_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'NEO_Price_LogReturn', 'IOTA_Price_LogReturn', 'ETC_Price_LogReturn', 'ETH_Price_LogReturn_lag1', 'BCH_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'IOTA_Price_LogReturn_lag1', 'ETC_Price_LogReturn_lag1', 'WAVES_Price_LogReturn_lag1']",2,2,f1,480,60,60,0.7315315315315315,0.7692307692307692,0.4880733944954128,0.6153846153846154,0.4870848708487085,0.53125,0.7220149253731343,0.75,0.47947761194029853,0.5833333333333334,0.48134328358208955,0.5,6.5864658411530765,0.980065156891758,0.2685487485771265,0.03470573720780479,0.9464181361999557,-0.17968075474657397,0.6730732188333697,-0.5940811816668727,361.327005656,2021_06_08_14_51
8,2020-04-27,2020-06-25,FNN,"{'num_layer_hidden': 4, 'num_unit_hidden1': 98, 'num_unit_hidden': 17, 'activation': 'tanh', 'dropout_rate': 0.2612400598200893, 'optimizer': 'adam', 'batch_size': 8, 'epochs': 21}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'ETH_Price_LogReturn', 'XRP_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'NEO_Price_LogReturn', 'IOTA_Price_LogReturn', 'ETC_Price_LogReturn', 'mempool-size_LogReturn_lag1', 'USDT_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'BCH_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'ETC_Price_LogReturn_lag1', 'WAVES_Price_LogReturn_lag1']",2,2,f1,480,60,60,0.7855917667238421,0.7894736842105263,0.4865900383141762,0.42424242424242425,0.4909090909090909,0.5866666666666667,0.7667910447761194,0.7333333333333333,0.5,0.36666666666666664,0.47761194029850745,0.48333333333333334,8.086507684904703,0.875508939297239,0.08635917070006727,-0.2742326129809385,0.6839131933142024,0.2744349531236967,0.2613909350654495,0.523241949910247,365.73990653200053,2021_06_08_14_51
9,2020-06-26,2020-08-24,FNN,"{'num_layer_hidden': 3, 'num_unit_hidden1': 61, 'num_unit_hidden': 18, 'activation': 'tanh', 'dropout_rate': 0.22329185504931875, 'optimizer': 'adam', 'batch_size': 8, 'epochs': 10}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'ETH_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'XEM_Price_LogReturn', 'NEO_Price_LogReturn', 'ZEC_Price_LogReturn', 'ETC_Price_LogReturn', 'mempool-size_LogReturn_lag1', 'ETH_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'BCH_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'ETC_Price_LogReturn_lag1']",2,2,f1,480,60,60,0.7643097643097643,0.8055555555555556,0.5045703839122485,0.5714285714285715,0.5154639175257731,0.5555555555555556,0.7388059701492538,0.7666666666666667,0.4944029850746269,0.5,0.47388059701492535,0.4666666666666667,8.189470762966305,0.6867643970348514,0.6146382903165364,0.3857530007505545,1.2616633560129262,0.3025944704417327,1.789387818214788,0.4182828759691475,365.81096203299967,2021_06_08_14_51
10,2020-08-25,2020-10-23,FNN,"{'num_layer_hidden': 3, 'num_unit_hidden1': 47, 'num_unit_hidden': 9, 'activation': 'tanh', 'dropout_rate': 0.3414892797220078, 'optimizer': 'adam', 'batch_size': 64, 'epochs': 11}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'ETH_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'NEO_Price_LogReturn', 'ZEC_Price_LogReturn', 'ETC_Price_LogReturn', 'mempool-count_LogReturn_lag1', 'mempool-size_LogReturn_lag1', 'ETH_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'BCH_Price_LogReturn_lag1', 'XLM_Price_LogReturn_lag1', 'EOS_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'XEM_Price_LogReturn_lag1', 'NEO_Price_LogReturn_lag1', 'IOTA_Price_LogReturn_lag1', 'ETC_Price_LogReturn_lag1', 'WAVES_Price_LogReturn_lag1']",2,2,f1,480,60,60,0.7804878048780488,0.8571428571428571,0.5413793103448276,0.5217391304347826,0.5277310924369749,0.5373134328358209,0.7481343283582089,0.8333333333333334,0.503731343283582,0.45,0.47574626865671643,0.48333333333333334,8.29237706424993,0.6455859288405339,1.6537740588737755,0.24713018137719267,1.4909206453954909,0.05413188609868769,2.2621291238918246,0.02523124005262467,364.1899652300008,2021_06_08_14_51
