CV,test_start,test_end,model,best_params,dataset,feature_selection,dependent_variable,independent_variables,DV_shifts,IV_lags,metric,n_train_days,n_valid_days,n_test_days,train_valid_model_f1,test_model_f1,train_valid_random_f1,test_random_f1,train_valid_naive_f1,test_naive_f1,train_valid_model_accuracy,test_model_accuracy,train_valid_random_accuracy,test_random_accuracy,train_valid_naive_accuracy,test_naive_accuracy,train_valid_AlgoReturns,test_AlgoReturns,train_valid_RandomReturns,test_RandomReturns,train_valid_NaiveReturns,test_NaiveReturns,train_valid_BuyAndHolds,test_BuyAndHolds,execution_time,finished_time
1,2019-03-03,2019-05-01,FNN,"{'num_layer_hidden': 4, 'num_unit_hidden1': 47, 'num_unit_hidden': 10, 'activation': 'tanh', 'dropout_rate': 0.3403214161649886, 'optimizer': 'adam', 'batch_size': 8, 'epochs': 25}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['BTC_Price_LogReturn', 'market-cap_LogReturn', 'estimated-transaction-volume_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'utxo-count_LogReturn_lag1']",1,2,f1,480,60,60,0.7313691507798961,0.7848101265822784,0.535262206148282,0.5151515151515152,0.49097472924187724,0.5070422535211268,0.7113594040968343,0.7166666666666667,0.521415270018622,0.4666666666666667,0.4748603351955307,0.4166666666666667,5.028815315682456,0.4474713030940052,0.7663211169964619,0.22135673091100116,0.2015992336311836,0.17429600246166643,-0.11764569101286959,0.3120910373307062,317.29208975099937,2021_06_08_15_57
2,2019-05-02,2019-06-30,FNN,"{'num_layer_hidden': 3, 'num_unit_hidden1': 97, 'num_unit_hidden': 28, 'activation': 'tanh', 'dropout_rate': 0.25581690863329454, 'optimizer': 'adam', 'batch_size': 32, 'epochs': 11}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['BTC_Price_LogReturn', 'market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",1,2,f1,480,60,60,0.7157894736842104,0.8108108108108107,0.48987108655616945,0.5797101449275363,0.4794275491949911,0.7407407407407408,0.6983240223463687,0.7666666666666667,0.48417132216014896,0.5166666666666667,0.4581005586592179,0.65,4.389036070011512,1.1802954415350637,-0.008911449135089455,0.05198245791452649,0.04234167265055078,0.5624952004780504,-0.3503753640291123,0.8552619251104012,323.55654206500003,2021_06_08_15_57
3,2019-07-01,2019-08-29,FNN,"{'num_layer_hidden': 4, 'num_unit_hidden1': 81, 'num_unit_hidden': 16, 'activation': 'tanh', 'dropout_rate': 0.2977264664009295, 'optimizer': 'adam', 'batch_size': 32, 'epochs': 18}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['BTC_Price_LogReturn', 'market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'trade-volume_LogReturn_lag1', 'oil_Volume_LogReturn_lag2']",1,2,f1,480,60,60,0.7399650959860383,0.7931034482758621,0.534965034965035,0.3859649122807017,0.4929078014184397,0.4827586206896552,0.7225325884543762,0.8,0.5046554934823091,0.4166666666666667,0.46741154562383613,0.5,4.47863152615254,0.7466188399675353,-0.7185822756310696,-0.31026895964446943,-0.3399825979671771,0.13197312477847412,-0.26892865475146266,-0.1959743540545542,323.9071979319997,2021_06_08_15_57
4,2019-08-30,2019-10-28,FNN,"{'num_layer_hidden': 2, 'num_unit_hidden1': 68, 'num_unit_hidden': 29, 'activation': 'tanh', 'dropout_rate': 0.32638854813672347, 'optimizer': 'adam', 'batch_size': 32, 'epochs': 13}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['BTC_Price_LogReturn', 'market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'BTC_Price_LogReturn_lag1']",1,2,f1,480,60,60,0.7282415630550623,0.6538461538461539,0.46823956442831216,0.42857142857142855,0.4929078014184397,0.4489795918367347,0.7150837988826816,0.7,0.4543761638733706,0.4666666666666667,0.46741154562383613,0.55,4.429112820096714,0.4315871670266862,-0.714473232369425,-0.04252647578083213,0.10798868731613709,0.1264565370408608,0.0869796534331666,-0.09394179881355846,321.8694380980005,2021_06_08_15_57
5,2019-10-29,2019-12-27,FNN,"{'num_layer_hidden': 4, 'num_unit_hidden1': 76, 'num_unit_hidden': 21, 'activation': 'tanh', 'dropout_rate': 0.3489863518034956, 'optimizer': 'adam', 'batch_size': 8, 'epochs': 26}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['BTC_Price_LogReturn', 'market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'trade-volume_LogReturn_lag1']",1,2,f1,480,60,60,0.7286245353159851,0.8,0.48161764705882354,0.4489795918367347,0.49364791288566245,0.25,0.7281191806331471,0.8333333333333334,0.4748603351955307,0.55,0.48044692737430167,0.4,4.146502445847201,0.39320128988332925,-0.3930197440508554,-0.1623172792434282,0.3886208619406819,-0.3110711880249095,-0.011739733863313617,-0.2525820148223197,326.37659168900063,2021_06_08_15_57
6,2019-12-28,2020-02-25,FNN,"{'num_layer_hidden': 4, 'num_unit_hidden1': 53, 'num_unit_hidden': 15, 'activation': 'tanh', 'dropout_rate': 0.322688421525016, 'optimizer': 'adam', 'batch_size': 16, 'epochs': 23}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['BTC_Price_LogReturn', 'market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",1,2,f1,480,60,60,0.7462121212121212,0.8125,0.48197343453510433,0.5423728813559322,0.483271375464684,0.46376811594202894,0.750465549348231,0.8,0.49162011173184356,0.55,0.4823091247672253,0.38333333333333336,4.53873429505755,0.611194472024474,-0.08954285700453646,0.2035150805480388,0.2650130710109373,-0.08982482121444058,0.08166546102772543,0.32841520774484323,314.789345313,2021_06_08_15_57
7,2020-02-26,2020-04-25,FNN,"{'num_layer_hidden': 4, 'num_unit_hidden1': 128, 'num_unit_hidden': 14, 'activation': 'tanh', 'dropout_rate': 0.31121761123992564, 'optimizer': 'adam', 'batch_size': 8, 'epochs': 23}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['BTC_Price_LogReturn', 'market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'trade-volume_LogReturn_lag1']",1,2,f1,480,60,60,0.7726432532347505,0.7241379310344829,0.4558823529411764,0.4827586206896552,0.47794117647058826,0.4444444444444444,0.770949720670391,0.7333333333333333,0.44878957169459965,0.5,0.47113594040968343,0.4166666666666667,4.82595140121639,0.7256997538925418,-0.3329648880460869,-0.5157322560214332,0.11213845101584674,-0.4667773448844077,0.3055378833125282,-0.28957802224421236,326.0318831120003,2021_06_08_15_57
8,2020-04-26,2020-06-24,FNN,"{'num_layer_hidden': 4, 'num_unit_hidden1': 62, 'num_unit_hidden': 14, 'activation': 'tanh', 'dropout_rate': 0.3226206353015458, 'optimizer': 'adam', 'batch_size': 64, 'epochs': 18}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['BTC_Price_LogReturn', 'market-cap_LogReturn', 'output-volume_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",1,2,f1,480,60,60,0.7747747747747747,0.732394366197183,0.5287769784172662,0.5806451612903226,0.47101449275362317,0.5070422535211268,0.7672253258845437,0.6833333333333333,0.5121042830540037,0.5666666666666667,0.45623836126629425,0.4166666666666667,5.195352265797977,0.5273988718345155,-0.007259984080910442,0.2025215973094614,-0.4744558619890462,-0.030379171771317104,0.16165566149538435,0.2593480500405594,314.7038183710001,2021_06_08_15_57
9,2020-06-25,2020-08-23,FNN,"{'num_layer_hidden': 3, 'num_unit_hidden1': 61, 'num_unit_hidden': 18, 'activation': 'tanh', 'dropout_rate': 0.22329185504931875, 'optimizer': 'adam', 'batch_size': 8, 'epochs': 10}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['BTC_Price_LogReturn', 'market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",1,2,f1,480,60,60,0.7571428571428571,0.7605633802816901,0.5154264972776769,0.49180327868852464,0.48763250883392223,0.41791044776119407,0.7467411545623837,0.7166666666666667,0.5027932960893855,0.48333333333333334,0.45996275605214154,0.35,5.3929638750805395,0.45241760359584937,0.5898102803125393,0.06239120752512228,-0.011876266651940526,-0.0063978979293448646,0.9021666192718136,0.1730208032527969,310.80320014300014,2021_06_08_15_57
10,2020-08-24,2020-10-22,FNN,"{'num_layer_hidden': 4, 'num_unit_hidden1': 104, 'num_unit_hidden': 18, 'activation': 'tanh', 'dropout_rate': 0.3577812031673025, 'optimizer': 'adam', 'batch_size': 8, 'epochs': 30}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['BTC_Price_LogReturn', 'market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",1,2,f1,480,60,60,0.7833622183708838,0.7671232876712328,0.5017921146953406,0.53125,0.48873483535528595,0.5,0.7672253258845437,0.7166666666666667,0.4823091247672253,0.5,0.4506517690875233,0.4,5.6544874638782225,0.24965876156083056,0.033834819897455404,0.10989609205183726,0.09077044093463194,0.00153856621635029,1.1053217773510475,0.034344999159422684,329.72138710000036,2021_06_08_15_57
