CV,test_start,test_end,model,best_params,dataset,feature_selection,dependent_variable,independent_variables,DV_shifts,IV_lags,metric,n_train_days,n_valid_days,n_test_days,train_valid_model_f1,test_model_f1,train_valid_random_f1,test_random_f1,train_valid_naive_f1,test_naive_f1,train_valid_model_accuracy,test_model_accuracy,train_valid_random_accuracy,test_random_accuracy,train_valid_naive_accuracy,test_naive_accuracy,train_valid_AlgoReturns,test_AlgoReturns,train_valid_RandomReturns,test_RandomReturns,train_valid_NaiveReturns,test_NaiveReturns,train_valid_BuyAndHolds,test_BuyAndHolds,execution_time,finished_time
1,2019-03-05,2019-05-03,FNN,"{'num_layer_hidden': 4, 'num_unit_hidden1': 47, 'num_unit_hidden': 10, 'activation': 'tanh', 'dropout_rate': 0.3403214161649886, 'optimizer': 'adam', 'batch_size': 8, 'epochs': 25}",Blockchain,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'cost-per-transaction_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",3,2,f1,480,60,60,0.605072463768116,0.6923076923076923,0.5127272727272727,0.6410256410256411,0.5045703839122486,0.7058823529411765,0.5925233644859813,0.6,0.49906542056074765,0.5333333333333333,0.4934579439252336,0.5833333333333334,4.781676469999978,0.682572567589462,0.10118337312948,0.4407409314736519,0.2927396099065156,0.7190399773680678,-0.30829031448055666,0.9569083733993224,230.81511892600065,2021_06_08_16_10
2,2019-05-04,2019-07-02,FNN,"{'num_layer_hidden': 4, 'num_unit_hidden1': 98, 'num_unit_hidden': 17, 'activation': 'tanh', 'dropout_rate': 0.2612400598200893, 'optimizer': 'adam', 'batch_size': 8, 'epochs': 21}",Blockchain,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'cost-per-transaction_LogReturn', 'estimated-transaction-volume_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",3,2,f1,480,60,60,0.6633333333333333,0.7380952380952381,0.5092936802973979,0.6197183098591549,0.5251798561151079,0.7209302325581395,0.6224299065420561,0.6333333333333333,0.5065420560747663,0.55,0.5065420560747663,0.6,5.02055808013078,2.2573119908445882,0.35405002161609644,1.1608103666174951,0.17223974233049155,1.6432613486182088,-0.8598000214570334,2.4927863991077963,235.03659424499983,2021_06_08_16_10
3,2019-07-03,2019-08-31,FNN,"{'num_layer_hidden': 4, 'num_unit_hidden1': 120, 'num_unit_hidden': 8, 'activation': 'tanh', 'dropout_rate': 0.3567031585332758, 'optimizer': 'adam', 'batch_size': 32, 'epochs': 22}",Blockchain,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'cost-per-transaction_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",3,2,f1,480,60,60,0.6589018302828619,0.5625000000000001,0.48540145985401456,0.38095238095238093,0.5285714285714286,0.4642857142857143,0.616822429906542,0.5333333333333333,0.47289719626168225,0.35,0.5065420560747663,0.5,4.343592419066264,0.004515012818687936,-0.33657961033400774,-1.0302677566454292,0.08459310985625201,-0.0050596218463017095,-0.6746292262965898,-0.5116139380569198,227.53781026499928,2021_06_08_16_10
4,2019-09-01,2019-10-30,FNN,"{'num_layer_hidden': 2, 'num_unit_hidden1': 79, 'num_unit_hidden': 10, 'activation': 'tanh', 'dropout_rate': 0.2697422421561119, 'optimizer': 'adam', 'batch_size': 8, 'epochs': 14}",Blockchain,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'cost-per-transaction_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",3,2,f1,480,60,60,0.6366666666666667,0.5333333333333333,0.5064695009242144,0.4210526315789474,0.5287769784172662,0.35294117647058826,0.5925233644859813,0.5333333333333333,0.5009345794392523,0.45,0.5102803738317757,0.45,3.457989571464182,0.2866121560806647,-0.277559236733687,-0.18531417147621632,0.9439185725216515,-0.11417680220778514,0.34274972439182605,-0.5825896849029384,231.76652059000025,2021_06_08_16_10
5,2019-10-31,2019-12-29,FNN,"{'num_layer_hidden': 4, 'num_unit_hidden1': 88, 'num_unit_hidden': 17, 'activation': 'tanh', 'dropout_rate': 0.3249582558280999, 'optimizer': 'adam', 'batch_size': 64, 'epochs': 11}",Blockchain,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mempool-size_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",3,2,f1,480,60,60,0.6053097345132743,0.52,0.4575645756457565,0.4210526315789474,0.5191956124314442,0.2727272727272727,0.5831775700934579,0.6,0.4504672897196262,0.45,0.508411214953271,0.4666666666666667,3.7936318927603505,-0.20394795657280795,-0.4946071893161861,-0.4570151142557055,1.110679215464062,-0.44859260406591517,-0.29531325479200987,-0.44584372289784824,231.39477617900047,2021_06_08_16_10
6,2019-12-30,2020-02-27,FNN,"{'num_layer_hidden': 3, 'num_unit_hidden1': 47, 'num_unit_hidden': 9, 'activation': 'tanh', 'dropout_rate': 0.3414892797220078, 'optimizer': 'adam', 'batch_size': 64, 'epochs': 11}",Blockchain,True,BTC_Price_LogReturn_binary,"['mvrv_LogReturn', 'nvts_LogReturn']",3,2,f1,480,60,60,0.6346483704974272,0.6756756756756757,0.5257142857142857,0.4745762711864407,0.5092936802973977,0.5507246376811593,0.6018691588785047,0.6,0.5345794392523364,0.48333333333333334,0.5065420560747663,0.48333333333333334,4.227716940862964,0.8967770121900571,0.8242038906445455,0.4378976390224647,1.3298150759071863,0.2131577375245275,0.234207484913167,0.8971194852287532,229.484169895999,2021_06_08_16_10
7,2020-02-28,2020-04-27,FNN,"{'num_layer_hidden': 2, 'num_unit_hidden1': 69, 'num_unit_hidden': 9, 'activation': 'tanh', 'dropout_rate': 0.3234716458748519, 'optimizer': 'adam', 'batch_size': 8, 'epochs': 12}",Blockchain,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn']",3,2,f1,480,60,60,0.6234234234234234,0.6031746031746031,0.5,0.5573770491803278,0.4963235294117647,0.5538461538461539,0.6093457943925233,0.5833333333333334,0.5102803738317757,0.55,0.48785046728971965,0.5166666666666667,4.3668414804772375,0.10757818766155758,0.7557315678018544,0.5671564684615529,1.3560888141096648,-0.015745090919994098,1.072810545447501,-0.9411951626116739,229.90048411099997,2021_06_08_16_10
8,2020-04-28,2020-06-26,FNN,"{'num_layer_hidden': 2, 'num_unit_hidden1': 63, 'num_unit_hidden': 15, 'activation': 'tanh', 'dropout_rate': 0.262601811254129, 'optimizer': 'adam', 'batch_size': 32, 'epochs': 14}",Blockchain,True,BTC_Price_LogReturn_binary,['mvrv_LogReturn'],3,2,f1,480,60,60,0.6444073455759598,0.611111111111111,0.5027932960893854,0.5633802816901409,0.5127272727272727,0.611111111111111,0.6018691588785047,0.5333333333333333,0.5009345794392523,0.48333333333333334,0.49906542056074765,0.5333333333333333,4.085168743309502,0.7377467644420381,-0.23243177010888338,0.3971351012632116,1.5283312843790569,0.25958805170767363,0.3238173489745222,0.8347571023859075,229.17424981099975,2021_06_08_16_10
9,2020-06-27,2020-08-25,FNN,"{'num_layer_hidden': 3, 'num_unit_hidden1': 52, 'num_unit_hidden': 32, 'activation': 'tanh', 'dropout_rate': 0.3077577863704906, 'optimizer': 'adam', 'batch_size': 16, 'epochs': 15}",Blockchain,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'mempool-size_LogReturn_lag1']",3,2,f1,480,60,60,0.6865671641791045,0.674698795180723,0.49910873440285203,0.5084745762711864,0.535405872193437,0.4857142857142857,0.6074766355140186,0.55,0.4747663551401869,0.5166666666666667,0.497196261682243,0.4,5.1535287391947495,0.732332083122305,1.267686157933257,0.1752252711927813,1.9395505225897036,0.40424447055315227,2.675614946590411,0.644581163894463,230.75486869900124,2021_06_08_16_10
10,2020-08-26,2020-10-24,FNN,"{'num_layer_hidden': 4, 'num_unit_hidden1': 121, 'num_unit_hidden': 13, 'activation': 'tanh', 'dropout_rate': 0.3281757061851912, 'optimizer': 'adam', 'batch_size': 32, 'epochs': 16}",Blockchain,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn']",3,2,f1,480,60,60,0.7030812324929973,0.7126436781609194,0.5460869565217391,0.591549295774648,0.5540540540540541,0.5428571428571428,0.6037383177570094,0.5833333333333334,0.5121495327102804,0.5166666666666667,0.5065420560747663,0.4666666666666667,5.392103865618433,0.4189798365424977,2.2903576369445755,-0.16481044480992857,2.682152239923864,0.11699859702060067,3.370611005300546,0.005802126289406573,229.2251812480008,2021_06_08_16_10
