CV,test_start,test_end,model,best_params,dataset,feature_selection,dependent_variable,independent_variables,DV_shifts,IV_lags,metric,n_train_days,n_valid_days,n_test_days,train_valid_model_f1,test_model_f1,train_valid_random_f1,test_random_f1,train_valid_naive_f1,test_naive_f1,train_valid_model_accuracy,test_model_accuracy,train_valid_random_accuracy,test_random_accuracy,train_valid_naive_accuracy,test_naive_accuracy,train_valid_AlgoReturns,test_AlgoReturns,train_valid_RandomReturns,test_RandomReturns,train_valid_NaiveReturns,test_NaiveReturns,train_valid_BuyAndHolds,test_BuyAndHolds,execution_time,finished_time
1,2019-03-04,2019-05-02,LGBMC,"{'max_depth': 6, 'n_estimators': 438, 'learning_rate': 0.04874081435810574}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_Price_LogReturn', 'XRP_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'XEM_Price_LogReturn', 'NEO_Price_LogReturn', 'ZEC_Price_LogReturn', 'ETC_Price_LogReturn', 'WAVES_Price_LogReturn', 'ETH_Price_LogReturn_lag1', 'XRP_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'BCH_Price_LogReturn_lag1', 'XLM_Price_LogReturn_lag1', 'EOS_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'XEM_Price_LogReturn_lag1', 'IOTA_Price_LogReturn_lag1', 'ETC_Price_LogReturn_lag1', 'WAVES_Price_LogReturn_lag1']",2,2,f1,480,60,60,1.0,0.6666666666666666,0.49340866290018837,0.5294117647058824,0.5233644859813084,0.5789473684210527,1.0,0.6166666666666667,0.498134328358209,0.4666666666666667,0.5242537313432836,0.4666666666666667,12.23481196033417,0.6671941637383902,-0.19028093965479265,0.09838933594908639,1.7832604972206916,0.2735342492238768,-0.2168076983682159,0.6362612076515699,121.62515841499953,2022_06_05_07_35
2,2019-05-03,2019-07-01,LGBMC,"{'max_depth': 10, 'n_estimators': 456, 'learning_rate': 0.0037722639527451272}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'cost-per-transaction_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_Price_LogReturn', 'XRP_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'XEM_Price_LogReturn', 'NEO_Price_LogReturn', 'IOTA_Price_LogReturn', 'ZEC_Price_LogReturn', 'ETC_Price_LogReturn', 'WAVES_Price_LogReturn', 'ETH_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'XLM_Price_LogReturn_lag1', 'EOS_Price_LogReturn_lag1', 'XEM_Price_LogReturn_lag1', 'IOTA_Price_LogReturn_lag1', 'WAVES_Price_LogReturn_lag1']",2,2,f1,480,60,60,0.9296296296296296,0.860759493670886,0.4790874524714829,0.5675675675675675,0.5139664804469274,0.6829268292682927,0.9291044776119403,0.8166666666666667,0.48880597014925375,0.4666666666666667,0.5130597014925373,0.5666666666666667,10.08071074626592,1.9009771886509874,0.051366468438207136,0.532465900864505,1.1162291705828888,1.2192411528211,-0.6414041550928733,1.5971131398217473,115.2058928840006,2022_06_05_07_35
3,2019-07-02,2019-08-30,LGBMC,"{'max_depth': 5, 'n_estimators': 693, 'learning_rate': 0.008806555042601484}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_Price_LogReturn', 'XRP_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'XEM_Price_LogReturn', 'NEO_Price_LogReturn', 'IOTA_Price_LogReturn', 'ZEC_Price_LogReturn', 'ETC_Price_LogReturn', 'WAVES_Price_LogReturn', 'ETH_Price_LogReturn_lag1', 'XRP_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'BCH_Price_LogReturn_lag1', 'XLM_Price_LogReturn_lag1', 'EOS_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'XEM_Price_LogReturn_lag1', 'IOTA_Price_LogReturn_lag1', 'ETC_Price_LogReturn_lag1', 'WAVES_Price_LogReturn_lag1']",2,2,f1,480,60,60,0.9801801801801803,0.7941176470588236,0.5028142589118199,0.43076923076923074,0.52994555353902,0.4776119402985075,0.9794776119402985,0.7666666666666667,0.5055970149253731,0.38333333333333336,0.5167910447761194,0.4166666666666667,10.014120662554912,0.7961480240758494,-0.15675844353044255,-0.3864993235186098,1.130053761285783,-0.34744947811518223,-0.5645612274991887,-0.26788859015499256,116.43227634899995,2022_06_05_07_35
4,2019-08-31,2019-10-29,LGBMC,"{'max_depth': 7, 'n_estimators': 658, 'learning_rate': 0.006218696060441333}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_Price_LogReturn', 'XRP_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'XEM_Price_LogReturn', 'NEO_Price_LogReturn', 'IOTA_Price_LogReturn', 'ZEC_Price_LogReturn', 'ETC_Price_LogReturn', 'WAVES_Price_LogReturn', 'ETH_Price_LogReturn_lag1', 'XRP_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'BCH_Price_LogReturn_lag1', 'XLM_Price_LogReturn_lag1', 'EOS_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'XEM_Price_LogReturn_lag1', 'NEO_Price_LogReturn_lag1', 'IOTA_Price_LogReturn_lag1', 'ETC_Price_LogReturn_lag1', 'WAVES_Price_LogReturn_lag1']",2,2,f1,480,60,60,0.9856115107913669,0.71875,0.5379061371841156,0.5263157894736842,0.5187835420393561,0.32653061224489793,0.9850746268656716,0.7,0.5223880597014925,0.55,0.498134328358209,0.45,9.635686035698813,0.8077487274546176,1.2470067811806835,0.028232511855497577,0.9646224296644537,-0.016078343134330098,0.19894110310498547,-0.2724037237978738,118.805932966,2022_06_05_07_35
5,2019-10-30,2019-12-28,LGBMC,"{'max_depth': 9, 'n_estimators': 515, 'learning_rate': 0.0027954038135257746}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_Price_LogReturn', 'XRP_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'XEM_Price_LogReturn', 'NEO_Price_LogReturn', 'IOTA_Price_LogReturn', 'ZEC_Price_LogReturn', 'ETC_Price_LogReturn', 'WAVES_Price_LogReturn', 'ETH_Price_LogReturn_lag1', 'XRP_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'BCH_Price_LogReturn_lag1', 'XLM_Price_LogReturn_lag1', 'EOS_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'XEM_Price_LogReturn_lag1', 'NEO_Price_LogReturn_lag1', 'IOTA_Price_LogReturn_lag1', 'ZEC_Price_LogReturn_lag1', 'ETC_Price_LogReturn_lag1', 'WAVES_Price_LogReturn_lag1']",2,2,f1,480,60,60,0.935251798561151,0.49056603773584906,0.48440366972477067,0.3859649122807018,0.5117967332123412,0.23809523809523808,0.9328358208955224,0.55,0.47574626865671643,0.4166666666666667,0.498134328358209,0.4666666666666667,8.80257936327005,-0.0472173174249928,0.06433186458721529,-0.41075792041798387,1.0954310848895314,-0.2268570803561758,-0.06999042212190432,-0.43096132601048787,93.5036704590002,2022_06_05_07_35
6,2019-12-29,2020-02-26,LGBMC,"{'max_depth': 5, 'n_estimators': 386, 'learning_rate': 0.0001719628274311755}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_Price_LogReturn', 'XRP_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'XEM_Price_LogReturn', 'NEO_Price_LogReturn', 'IOTA_Price_LogReturn', 'ZEC_Price_LogReturn', 'ETC_Price_LogReturn', 'ETH_Price_LogReturn_lag1', 'XRP_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'BCH_Price_LogReturn_lag1', 'XLM_Price_LogReturn_lag1', 'EOS_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'XEM_Price_LogReturn_lag1', 'NEO_Price_LogReturn_lag1', 'IOTA_Price_LogReturn_lag1', 'ETC_Price_LogReturn_lag1', 'WAVES_Price_LogReturn_lag1']",2,2,f1,480,60,60,0.7941712204007286,0.6301369863013698,0.5101663585951941,0.619718309859155,0.4943820224719101,0.5352112676056338,0.789179104477612,0.55,0.5055970149253731,0.55,0.4962686567164179,0.45,7.298302438642592,0.522945437459466,0.45118635723320644,0.4074119098453899,1.0705620119043076,0.18594307018108402,0.1490143538350086,0.6162741198857038,110.22325917200033,2022_06_05_07_35
7,2020-02-27,2020-04-26,LGBMC,"{'max_depth': 10, 'n_estimators': 383, 'learning_rate': 0.043705599908024875}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'ETH_Price_LogReturn', 'XRP_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'NEO_Price_LogReturn', 'IOTA_Price_LogReturn', 'ETC_Price_LogReturn', 'ETH_Price_LogReturn_lag1', 'BCH_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'IOTA_Price_LogReturn_lag1', 'ETC_Price_LogReturn_lag1', 'WAVES_Price_LogReturn_lag1']",2,2,f1,480,60,60,1.0,0.7868852459016394,0.4934086629001883,0.46874999999999994,0.4870848708487085,0.53125,1.0,0.7833333333333333,0.498134328358209,0.43333333333333335,0.48134328358208955,0.5,9.42987274334812,0.9934412276417248,0.0817888955750199,-0.247987719464982,0.9464181361999557,-0.17968075474657397,0.6730732188333697,-0.5940811816668727,102.96274776800055,2022_06_05_07_35
8,2020-04-27,2020-06-25,LGBMC,"{'max_depth': 5, 'n_estimators': 380, 'learning_rate': 0.03321669193561387}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'ETH_Price_LogReturn', 'XRP_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'NEO_Price_LogReturn', 'IOTA_Price_LogReturn', 'ETC_Price_LogReturn', 'mempool-size_LogReturn_lag1', 'USDT_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'BCH_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'ETC_Price_LogReturn_lag1', 'WAVES_Price_LogReturn_lag1']",2,2,f1,480,60,60,1.0,0.7848101265822786,0.5300751879699248,0.5,0.4909090909090909,0.5866666666666667,1.0,0.7166666666666667,0.5335820895522388,0.4666666666666667,0.47761194029850745,0.48333333333333334,10.425660466296392,0.7751581771293541,0.3681046155140404,0.057918043241548034,0.6839131933142024,0.2744349531236967,0.2613909350654495,0.523241949910247,101.325991101,2022_06_05_07_35
9,2020-06-26,2020-08-24,LGBMC,"{'max_depth': 6, 'n_estimators': 480, 'learning_rate': 0.0029247157648893797}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'ETH_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'XEM_Price_LogReturn', 'NEO_Price_LogReturn', 'ZEC_Price_LogReturn', 'ETC_Price_LogReturn', 'mempool-size_LogReturn_lag1', 'ETH_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'BCH_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'ETC_Price_LogReturn_lag1']",2,2,f1,480,60,60,0.8874172185430464,0.8219178082191781,0.5359019264448336,0.5714285714285715,0.5154639175257731,0.5555555555555556,0.8731343283582089,0.7833333333333333,0.5055970149253731,0.5,0.47388059701492535,0.4666666666666667,9.370002805544624,0.6626618747358268,0.7621775940329929,0.2875549173009393,1.2616633560129262,0.3025944704417327,1.789387818214788,0.4182828759691475,99.732252539,2022_06_05_07_35
10,2020-08-25,2020-10-23,LGBMC,"{'max_depth': 7, 'n_estimators': 896, 'learning_rate': 0.002814833725688893}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'ETH_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'NEO_Price_LogReturn', 'ZEC_Price_LogReturn', 'ETC_Price_LogReturn', 'mempool-count_LogReturn_lag1', 'mempool-size_LogReturn_lag1', 'ETH_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'BCH_Price_LogReturn_lag1', 'XLM_Price_LogReturn_lag1', 'EOS_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'XEM_Price_LogReturn_lag1', 'NEO_Price_LogReturn_lag1', 'IOTA_Price_LogReturn_lag1', 'ETC_Price_LogReturn_lag1', 'WAVES_Price_LogReturn_lag1']",2,2,f1,480,60,60,0.9734219269102989,0.8405797101449276,0.5432525951557093,0.47619047619047616,0.5277310924369749,0.5373134328358209,0.9701492537313433,0.8166666666666667,0.5074626865671642,0.45,0.47574626865671643,0.48333333333333334,10.630105805616427,0.6655212369965202,1.1742495673870508,-0.01776940466767485,1.4909206453954909,0.05413188609868769,2.2621291238918246,0.02523124005262467,112.10478770000009,2022_06_05_07_35
