CV,test_start,test_end,model,best_params,dataset,feature_selection,dependent_variable,independent_variables,DV_shifts,IV_lags,metric,n_train_days,n_valid_days,n_test_days,train_valid_model_f1,test_model_f1,train_valid_random_f1,test_random_f1,train_valid_naive_f1,test_naive_f1,train_valid_model_accuracy,test_model_accuracy,train_valid_random_accuracy,test_random_accuracy,train_valid_naive_accuracy,test_naive_accuracy,train_valid_AlgoReturns,test_AlgoReturns,train_valid_RandomReturns,test_RandomReturns,train_valid_NaiveReturns,test_NaiveReturns,train_valid_BuyAndHolds,test_BuyAndHolds,execution_time,finished_time
1,2019-03-05,2019-05-03,LGBMC,"{'max_depth': 8, 'n_estimators': 342, 'learning_rate': 0.00013921363914737783}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'cost-per-transaction_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",3,2,f1,480,60,60,0.7285318559556787,0.7252747252747254,0.5283687943262412,0.6666666666666666,0.5045703839122486,0.7058823529411765,0.6336448598130842,0.5833333333333334,0.502803738317757,0.5666666666666667,0.4934579439252336,0.5833333333333334,3.653785312498851,0.653492177150083,-0.6559869455976859,0.5570376382478628,0.2927396099065156,0.7190399773680678,-0.30829031448055666,0.9569083733993224,42.050683542000115,2022_06_05_06_47
2,2019-05-04,2019-07-02,LGBMC,"{'max_depth': 5, 'n_estimators': 443, 'learning_rate': 0.08922231303643623}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'cost-per-transaction_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",3,2,f1,480,60,60,0.9855072463768116,0.64,0.5344827586206897,0.5833333333333334,0.5251798561151079,0.7209302325581395,0.9850467289719627,0.55,0.4953271028037383,0.5,0.5065420560747663,0.6,13.971332872899898,1.8306865978250162,-0.7878740092829712,0.8683082739028425,0.17223974233049155,1.6432613486182088,-0.8598000214570334,2.4927863991077963,42.10182277199965,2022_06_05_06_47
3,2019-07-03,2019-08-31,LGBMC,"{'max_depth': 8, 'n_estimators': 14, 'learning_rate': 0.00019661232398023276}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'cost-per-transaction_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",3,2,f1,480,60,60,0.6871165644171778,0.6363636363636364,0.4839319470699433,0.4838709677419355,0.5285714285714286,0.4642857142857143,0.5233644859813084,0.4666666666666667,0.4897196261682243,0.4666666666666667,0.5065420560747663,0.5,-0.7025225781475744,-0.42520360311708494,0.18368103806716007,-0.32674222782120665,0.08459310985625201,-0.0050596218463017095,-0.6746292262965898,-0.5116139380569198,48.27506947300026,2022_06_05_06_47
4,2019-09-01,2019-10-30,LGBMC,"{'max_depth': 8, 'n_estimators': 39, 'learning_rate': 0.0019900589311418527}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'cost-per-transaction_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",3,2,f1,480,60,60,0.7069408740359896,0.5853658536585366,0.5127272727272727,0.4230769230769231,0.5287769784172662,0.35294117647058826,0.5738317757009346,0.43333333333333335,0.49906542056074765,0.5,0.5102803738317757,0.45,1.8172125217848603,-0.48324396835532113,0.5015470335881833,0.05968776971356249,0.9439185725216515,-0.11417680220778514,0.34274972439182605,-0.5825896849029384,48.672597454000424,2022_06_05_06_47
5,2019-10-31,2019-12-29,LGBMC,"{'max_depth': 10, 'n_estimators': 83, 'learning_rate': 0.00041242276831157556}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['mvrv_LogReturn', 'nvts_LogReturn']",3,2,f1,480,60,60,0.6790123456790123,0.5185185185185185,0.4847328244274809,0.5306122448979592,0.5191956124314442,0.2727272727272727,0.514018691588785,0.35,0.4953271028037383,0.6166666666666667,0.508411214953271,0.4666666666666667,0.25955835332461064,-0.7806116621530403,-0.5929821079589406,-0.03532492895128492,1.110679215464062,-0.44859260406591517,-0.29531325479200987,-0.44584372289784824,41.07824367400008,2022_06_05_06_47
6,2019-12-30,2020-02-27,LGBMC,"{'max_depth': 8, 'n_estimators': 395, 'learning_rate': 0.001219678714139015}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['mvrv_LogReturn', 'nvts_LogReturn']",3,2,f1,480,60,60,0.6705653021442495,0.5757575757575757,0.4866920152091255,0.6153846153846154,0.5092936802973977,0.5507246376811593,0.6841121495327103,0.5333333333333333,0.4953271028037383,0.5833333333333334,0.5065420560747663,0.48333333333333334,5.029598900011905,0.6030566499103251,0.14711831528910047,0.4551122407802968,1.3298150759071863,0.2131577375245275,0.234207484913167,0.8971194852287532,40.27297464399999,2022_06_05_06_47
7,2020-02-28,2020-04-27,LGBMC,"{'max_depth': 8, 'n_estimators': 14, 'learning_rate': 0.00019661232398023276}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn']",3,2,f1,480,60,60,0.6741016109045849,0.7234042553191489,0.4884135472370767,0.5625,0.4963235294117647,0.5538461538461539,0.508411214953271,0.5666666666666667,0.4635514018691589,0.5333333333333333,0.48785046728971965,0.5166666666666667,1.1629442370577578,-0.593957575323584,-0.19036599591066938,-0.33620932126289027,1.3560888141096648,-0.015745090919994098,1.072810545447501,-0.9411951626116739,43.569373196000015,2022_06_05_06_47
8,2020-04-28,2020-06-26,LGBMC,"{'max_depth': 8, 'n_estimators': 14, 'learning_rate': 0.00019661232398023276}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",3,2,f1,480,60,60,0.6790123456790123,0.7368421052631579,0.4944649446494465,0.6153846153846153,0.5127272727272727,0.611111111111111,0.514018691588785,0.5833333333333334,0.48785046728971965,0.5833333333333334,0.49906542056074765,0.5333333333333333,0.4692496847540344,0.6365942837256764,-0.2789952014574979,0.7219765440470987,1.5283312843790569,0.25958805170767363,0.3238173489745222,0.8347571023859075,43.25531539399981,2022_06_05_06_47
9,2020-06-27,2020-08-25,LGBMC,"{'max_depth': 10, 'n_estimators': 916, 'learning_rate': 0.00010593691309326647}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'gbp_usd_Price_LogReturn', 'gbp_usd_Price_LogReturn_lag1']",3,2,f1,480,60,60,0.7014563106796117,0.7368421052631579,0.48824593128390603,0.523076923076923,0.535405872193437,0.4857142857142857,0.5401869158878505,0.5833333333333334,0.47102803738317756,0.48333333333333334,0.497196261682243,0.4,2.5729178929916348,0.6635864133958389,0.7015587455929051,0.14358535716241683,1.9395505225897036,0.40424447055315227,2.675614946590411,0.644581163894463,48.84131350000007,2022_06_05_06_47
10,2020-08-26,2020-10-24,LGBMC,"{'max_depth': 10, 'n_estimators': 83, 'learning_rate': 0.00041242276831157556}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'gbp_usd_Price_LogReturn']",3,2,f1,480,60,60,0.7108433734939759,0.7499999999999999,0.5008944543828264,0.39344262295081966,0.5540540540540541,0.5428571428571428,0.5514018691588785,0.6,0.4785046728971963,0.38333333333333336,0.5065420560747663,0.4666666666666667,3.3108514923806585,0.2979792280053033,1.0333844648485222,-0.1236967386746386,2.682152239923864,0.11699859702060067,3.370611005300546,0.005802126289406573,45.72758234400044,2022_06_05_06_47
11,2020-10-25,2020-12-23,LGBMC,"{'max_depth': 5, 'n_estimators': 354, 'learning_rate': 0.0006650180721347032}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['mvrv_LogReturn', 'nvts_LogReturn']",3,2,f1,480,60,60,0.7173333333333334,0.8,0.5234657039711191,0.5217391304347826,0.5252173913043477,0.7209302325581395,0.6037383177570094,0.6833333333333333,0.5065420560747663,0.45,0.4897196261682243,0.6,4.791253144752439,1.557441995810434,1.9690450331817502,0.6674048145384504,1.9124296944208314,1.3556078758193948,2.215650395781452,2.0570781120423742,41.49546358099997,2022_06_05_06_47
12,2020-12-24,2021-02-21,LGBMC,"{'max_depth': 5, 'n_estimators': 887, 'learning_rate': 0.0007686833867315099}",BlockchainMacro,True,BTC_Price_LogReturn_binary,['market-cap_LogReturn'],3,2,f1,480,60,60,0.6850649350649352,0.725,0.5383244206773619,0.619718309859155,0.5319516407599308,0.761904761904762,0.6373831775700934,0.6333333333333333,0.5158878504672897,0.55,0.4934579439252336,0.6666666666666666,5.26549254985318,2.1832231710886205,1.2342411167944842,1.9129201606266282,1.83088245647067,2.167947831225856,2.2208200093404784,2.2752380753114814,40.65182155900038,2022_06_05_06_47
13,2021-02-22,2021-04-22,LGBMC,"{'max_depth': 8, 'n_estimators': 806, 'learning_rate': 0.0003207554896063943}",BlockchainMacro,True,BTC_Price_LogReturn_binary,['market-cap_LogReturn'],3,2,f1,480,60,60,0.7231503579952266,0.25,0.5197132616487455,0.0,0.5676567656765676,0.4,0.5663551401869159,0.14285714285714285,0.49906542056074765,0.42857142857142855,0.5102803738317757,0.5714285714285714,4.929943066743931,-0.47897420369143084,2.482776408911729,-0.21308514324893757,3.8589743690156553,-0.18782255978158524,4.917924398819622,0.0862899130594652,41.89176459099963,2022_06_05_06_47
