CV,test_start,test_end,model,best_params,dataset,feature_selection,dependent_variable,independent_variables,DV_shifts,IV_lags,metric,n_train_days,n_valid_days,n_test_days,train_valid_model_f1,test_model_f1,train_valid_random_f1,test_random_f1,train_valid_naive_f1,test_naive_f1,train_valid_model_accuracy,test_model_accuracy,train_valid_random_accuracy,test_random_accuracy,train_valid_naive_accuracy,test_naive_accuracy,train_valid_AlgoReturns,test_AlgoReturns,train_valid_RandomReturns,test_RandomReturns,train_valid_NaiveReturns,test_NaiveReturns,train_valid_BuyAndHolds,test_BuyAndHolds,execution_time,finished_time
1,2019-03-05,2019-05-03,LGBMC,"{'max_depth': 8, 'n_estimators': 342, 'learning_rate': 0.00013921363914737783}",Blockchain,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'cost-per-transaction_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",3,2,f1,480,60,60,0.7285318559556787,0.7252747252747254,0.5328467153284672,0.6410256410256411,0.5045703839122486,0.7058823529411765,0.6336448598130842,0.5833333333333334,0.5214953271028038,0.5333333333333333,0.4934579439252336,0.5833333333333334,3.653785312498851,0.653492177150083,1.615026342963704,0.6695549802860636,0.2927396099065156,0.7190399773680678,-0.30829031448055666,0.9569083733993224,36.978340441,2022_06_05_06_17
2,2019-05-04,2019-07-02,LGBMC,"{'max_depth': 5, 'n_estimators': 443, 'learning_rate': 0.08922231303643623}",Blockchain,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'cost-per-transaction_LogReturn', 'estimated-transaction-volume_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",3,2,f1,480,60,60,0.9982046678635548,0.6027397260273972,0.4752851711026616,0.5507246376811594,0.5251798561151079,0.7209302325581395,0.9981308411214953,0.5166666666666667,0.48411214953271026,0.48333333333333334,0.5065420560747663,0.6,14.25883222482969,1.3174363459928813,-0.37159539385818086,1.138526090166362,0.17223974233049155,1.6432613486182088,-0.8598000214570334,2.4927863991077963,46.44517674400004,2022_06_05_06_17
3,2019-07-03,2019-08-31,LGBMC,"{'max_depth': 8, 'n_estimators': 14, 'learning_rate': 0.00019661232398023276}",Blockchain,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'cost-per-transaction_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",3,2,f1,480,60,60,0.6871165644171778,0.6363636363636364,0.4943396226415095,0.47619047619047616,0.5285714285714286,0.4642857142857143,0.5233644859813084,0.4666666666666667,0.49906542056074765,0.45,0.5065420560747663,0.5,-0.7025225781475744,-0.42520360311708494,-0.3487357358669225,-0.24672790931909105,0.08459310985625201,-0.0050596218463017095,-0.6746292262965898,-0.5116139380569198,35.35868772200001,2022_06_05_06_17
4,2019-09-01,2019-10-30,LGBMC,"{'max_depth': 8, 'n_estimators': 39, 'learning_rate': 0.0019900589311418527}",Blockchain,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'cost-per-transaction_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",3,2,f1,480,60,60,0.7069408740359896,0.5853658536585366,0.4784172661870503,0.4912280701754386,0.5287769784172662,0.35294117647058826,0.5738317757009346,0.43333333333333335,0.45794392523364486,0.5166666666666667,0.5102803738317757,0.45,1.8172125217848603,-0.48324396835532113,-1.2699836776444489,0.4058949917768242,0.9439185725216515,-0.11417680220778514,0.34274972439182605,-0.5825896849029384,41.05305993899992,2022_06_05_06_17
5,2019-10-31,2019-12-29,LGBMC,"{'max_depth': 10, 'n_estimators': 83, 'learning_rate': 0.00041242276831157556}",Blockchain,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mempool-size_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",3,2,f1,480,60,60,0.694550063371356,0.56,0.5018050541516245,0.3673469387755102,0.5191956124314442,0.2727272727272727,0.5495327102803739,0.45,0.48411214953271026,0.48333333333333334,0.508411214953271,0.4666666666666667,1.5077168531797813,-0.6310450785598132,-0.06196060087902033,-0.36809757453986514,1.110679215464062,-0.44859260406591517,-0.29531325479200987,-0.44584372289784824,38.552150367000195,2022_06_05_06_17
6,2019-12-30,2020-02-27,LGBMC,"{'max_depth': 8, 'n_estimators': 395, 'learning_rate': 0.001219678714139015}",Blockchain,True,BTC_Price_LogReturn_binary,"['mvrv_LogReturn', 'nvts_LogReturn']",3,2,f1,480,60,60,0.6705653021442495,0.5757575757575757,0.5127272727272727,0.29090909090909084,0.5092936802973977,0.5507246376811593,0.6841121495327103,0.5333333333333333,0.49906542056074765,0.35,0.5065420560747663,0.48333333333333334,5.029598900011905,0.6030566499103251,-0.16745717380677938,-0.06521808739298152,1.3298150759071863,0.2131577375245275,0.234207484913167,0.8971194852287532,32.936029340999994,2022_06_05_06_17
7,2020-02-28,2020-04-27,LGBMC,"{'max_depth': 8, 'n_estimators': 14, 'learning_rate': 0.00019661232398023276}",Blockchain,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn']",3,2,f1,480,60,60,0.6741016109045849,0.7234042553191489,0.4830188679245283,0.5970149253731343,0.4963235294117647,0.5538461538461539,0.508411214953271,0.5666666666666667,0.48785046728971965,0.55,0.48785046728971965,0.5166666666666667,1.1629442370577578,-0.593957575323584,0.09078686753366938,0.11225032295639537,1.3560888141096648,-0.015745090919994098,1.072810545447501,-0.9411951626116739,36.16647857499993,2022_06_05_06_17
8,2020-04-28,2020-06-26,LGBMC,"{'max_depth': 10, 'n_estimators': 164, 'learning_rate': 0.0001890299886454058}",Blockchain,True,BTC_Price_LogReturn_binary,['mvrv_LogReturn'],3,2,f1,480,60,60,0.6790123456790123,0.7368421052631579,0.46899224806201556,0.5625,0.5127272727272727,0.611111111111111,0.514018691588785,0.5833333333333334,0.48785046728971965,0.5333333333333333,0.49906542056074765,0.5333333333333333,0.4692496847540344,0.6365942837256764,0.3885267017599201,0.41239739445349066,1.5283312843790569,0.25958805170767363,0.3238173489745222,0.8347571023859075,34.0837699130002,2022_06_05_06_17
9,2020-06-27,2020-08-25,LGBMC,"{'max_depth': 10, 'n_estimators': 83, 'learning_rate': 0.00041242276831157556}",Blockchain,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'mempool-size_LogReturn_lag1']",3,2,f1,480,60,60,0.7014563106796117,0.7368421052631579,0.5454545454545454,0.43478260869565216,0.535405872193437,0.4857142857142857,0.5401869158878505,0.5833333333333334,0.514018691588785,0.35,0.497196261682243,0.4,2.5729178929916348,0.6635864133958389,2.4920023110141187,0.326421681376166,1.9395505225897036,0.40424447055315227,2.675614946590411,0.644581163894463,39.561199534000025,2022_06_05_06_17
10,2020-08-26,2020-10-24,LGBMC,"{'max_depth': 9, 'n_estimators': 998, 'learning_rate': 0.0006483014890030054}",Blockchain,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn']",3,2,f1,480,60,60,0.7439759036144578,0.6666666666666665,0.5380530973451327,0.53125,0.5540540540540541,0.5428571428571428,0.6822429906542056,0.55,0.5121495327102804,0.5,0.5065420560747663,0.4666666666666667,7.146181368147966,0.26656161005144696,2.53535316157026,0.013581885836380536,2.682152239923864,0.11699859702060067,3.370611005300546,0.005802126289406573,34.87200679800026,2022_06_05_06_17
