CV,test_start,test_end,model,best_params,dataset,feature_selection,dependent_variable,independent_variables,DV_shifts,IV_lags,metric,n_train_days,n_valid_days,n_test_days,train_valid_model_f1,test_model_f1,train_valid_random_f1,test_random_f1,train_valid_naive_f1,test_naive_f1,train_valid_model_accuracy,test_model_accuracy,train_valid_random_accuracy,test_random_accuracy,train_valid_naive_accuracy,test_naive_accuracy,train_valid_AlgoReturns,test_AlgoReturns,train_valid_RandomReturns,test_RandomReturns,train_valid_NaiveReturns,test_NaiveReturns,train_valid_BuyAndHolds,test_BuyAndHolds,execution_time,finished_time
1,2019-03-05,2019-05-03,Logistic,"{'solver': 'liblinear', 'C': 0.2866182785227598}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_Price_LogReturn', 'XRP_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'XEM_Price_LogReturn', 'NEO_Price_LogReturn', 'IOTA_Price_LogReturn', 'ETC_Price_LogReturn', 'WAVES_Price_LogReturn', 'BCH_Volume_LogReturn_lag2', 'ETH_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'BNB_Price_LogReturn_lag1', 'XLM_Price_LogReturn_lag1', 'EOS_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'XEM_Price_LogReturn_lag1', 'IOTA_Price_LogReturn_lag1', 'ETC_Price_LogReturn_lag1']",3,2,f1,480,60,60,0.7292418772563177,0.7179487179487181,0.5,0.5263157894736842,0.5045703839122486,0.7058823529411765,0.719626168224299,0.6333333333333333,0.491588785046729,0.4,0.4934579439252336,0.5833333333333334,8.70664289775639,0.9827400224107752,0.2301529035546963,0.4634841543668884,0.2927396099065156,0.7190399773680678,-0.30829031448055666,0.9569083733993224,50.06340386000011,2021_06_08_13_13
2,2019-05-04,2019-07-02,Logistic,"{'solver': 'liblinear', 'C': 0.012383650015842082}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_Price_LogReturn', 'XRP_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'XEM_Price_LogReturn', 'NEO_Price_LogReturn', 'IOTA_Price_LogReturn', 'ZEC_Price_LogReturn', 'ETC_Price_LogReturn', 'WAVES_Price_LogReturn', 'BCH_Volume_LogReturn_lag2', 'ETH_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'XLM_Price_LogReturn_lag1', 'EOS_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'XEM_Price_LogReturn_lag1', 'NEO_Price_LogReturn_lag1', 'IOTA_Price_LogReturn_lag1', 'ETC_Price_LogReturn_lag1']",3,2,f1,480,60,60,0.7642857142857143,0.7764705882352941,0.51520572450805,0.5277777777777778,0.5251798561151079,0.7209302325581395,0.7532710280373832,0.6833333333333333,0.4934579439252336,0.43333333333333335,0.5065420560747663,0.6,8.986708156154505,2.381114685416552,-0.24379725216255643,0.6424871971568553,0.17223974233049155,1.6432613486182088,-0.8598000214570334,2.4927863991077963,50.46452078099992,2021_06_08_13_13
3,2019-07-03,2019-08-31,Logistic,"{'solver': 'liblinear', 'C': 0.017735255272959945}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['ETH_Price_LogReturn', 'XRP_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'XEM_Price_LogReturn', 'NEO_Price_LogReturn', 'IOTA_Price_LogReturn', 'ZEC_Price_LogReturn', 'ETC_Price_LogReturn', 'WAVES_Price_LogReturn', 'BCH_Volume_LogReturn_lag2', 'ETH_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'BCH_Price_LogReturn_lag1', 'XLM_Price_LogReturn_lag1', 'EOS_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'XEM_Price_LogReturn_lag1', 'IOTA_Price_LogReturn_lag1', 'ETC_Price_LogReturn_lag1']",3,2,f1,480,60,60,0.7705779334500876,0.7457627118644068,0.5274336283185841,0.53125,0.5285714285714286,0.4642857142857143,0.7551401869158878,0.75,0.5009345794392523,0.5,0.5065420560747663,0.5,9.001919376506196,0.847316160800272,-0.8940092193274971,0.04108276980353054,0.08459310985625201,-0.0050596218463017095,-0.6746292262965898,-0.5116139380569198,47.33150419999947,2021_06_08_13_13
4,2019-09-01,2019-10-30,Logistic,"{'solver': 'lbfgs', 'C': 0.006548376648010798}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['ETH_Price_LogReturn', 'XRP_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'XEM_Price_LogReturn', 'NEO_Price_LogReturn', 'IOTA_Price_LogReturn', 'ZEC_Price_LogReturn', 'ETC_Price_LogReturn', 'WAVES_Price_LogReturn', 'BCH_Volume_LogReturn_lag2', 'ETH_Price_LogReturn_lag1', 'XRP_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'BCH_Price_LogReturn_lag1', 'XLM_Price_LogReturn_lag1', 'EOS_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'XEM_Price_LogReturn_lag1', 'NEO_Price_LogReturn_lag1', 'IOTA_Price_LogReturn_lag1', 'ETC_Price_LogReturn_lag1']",3,2,f1,480,60,60,0.7543859649122808,0.6470588235294118,0.5253283302063789,0.5161290322580645,0.5287769784172662,0.35294117647058826,0.7383177570093458,0.6,0.5271028037383177,0.5,0.5102803738317757,0.45,8.62107986906514,0.6991221256784605,1.3387903077542695,0.38173854422779385,0.9439185725216515,-0.11417680220778514,0.34274972439182605,-0.5825896849029384,48.84579036499963,2021_06_08_13_13
5,2019-10-31,2019-12-29,Logistic,"{'solver': 'lbfgs', 'C': 0.0013921363914737785}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['mvrv_LogReturn', 'ETH_Price_LogReturn', 'XRP_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'XEM_Price_LogReturn', 'NEO_Price_LogReturn', 'IOTA_Price_LogReturn', 'ZEC_Price_LogReturn', 'ETC_Price_LogReturn', 'BCH_Volume_LogReturn_lag2', 'ETH_Price_LogReturn_lag1', 'XRP_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'BCH_Price_LogReturn_lag1', 'XLM_Price_LogReturn_lag1', 'EOS_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'XEM_Price_LogReturn_lag1', 'NEO_Price_LogReturn_lag1', 'IOTA_Price_LogReturn_lag1', 'ZEC_Price_LogReturn_lag1', 'ETC_Price_LogReturn_lag1']",3,2,f1,480,60,60,0.7453625632377741,0.5,0.5,0.4489795918367347,0.5191956124314442,0.2727272727272727,0.7177570093457943,0.5333333333333333,0.491588785046729,0.55,0.508411214953271,0.4666666666666667,8.063148106511113,-0.18185669770116064,-0.44902714135380783,-0.2110984464518335,1.110679215464062,-0.44859260406591517,-0.29531325479200987,-0.44584372289784824,48.52001021899923,2021_06_08_13_13
6,2019-12-30,2020-02-27,Logistic,"{'solver': 'lbfgs', 'C': 0.15936738160019157}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['mvrv_LogReturn', 'nvts_LogReturn', 'ETH_Price_LogReturn', 'XRP_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'XEM_Price_LogReturn', 'NEO_Price_LogReturn', 'IOTA_Price_LogReturn', 'ZEC_Price_LogReturn', 'ETH_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'BCH_Price_LogReturn_lag1', 'EOS_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'XEM_Price_LogReturn_lag1', 'IOTA_Price_LogReturn_lag1']",3,2,f1,480,60,60,0.6994535519125684,0.72,0.5131086142322098,0.6285714285714287,0.5092936802973977,0.5507246376811593,0.6915887850467289,0.65,0.514018691588785,0.5666666666666667,0.5065420560747663,0.48333333333333334,7.420947050228174,0.9511603790578551,0.25086697840959893,0.5292792109940532,1.3298150759071863,0.2131577375245275,0.234207484913167,0.8971194852287532,47.006247832000554,2021_06_08_13_13
7,2020-02-28,2020-04-27,Logistic,"{'solver': 'liblinear', 'C': 0.2866182785227598}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['mvrv_LogReturn', 'ETH_Price_LogReturn', 'XRP_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'XEM_Price_LogReturn', 'NEO_Price_LogReturn', 'ETC_Price_LogReturn', 'ETH_Price_LogReturn_lag1', 'BCH_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1']",3,2,f1,480,60,60,0.6728280961182994,0.696969696969697,0.5467889908256881,0.44827586206896547,0.4963235294117647,0.5538461538461539,0.6691588785046729,0.6666666666666666,0.5383177570093458,0.4666666666666667,0.48785046728971965,0.5166666666666667,7.08691191550213,1.109148560692402,1.40433109166006,-0.8174118353730186,1.3560888141096648,-0.015745090919994098,1.072810545447501,-0.9411951626116739,44.07589853399986,2021_06_08_13_13
8,2020-04-28,2020-06-26,Logistic,"{'solver': 'liblinear', 'C': 0.0014217449619428114}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['mvrv_LogReturn', 'ETH_Price_LogReturn', 'XRP_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'XLM_Price_LogReturn', 'XMR_Price_LogReturn', 'XEM_Price_LogReturn', 'NEO_Price_LogReturn', 'XMR_Price_LogReturn_lag1']",3,2,f1,480,60,60,0.6631393298059965,0.6285714285714286,0.5131086142322099,0.588235294117647,0.5127272727272727,0.611111111111111,0.6429906542056075,0.5666666666666667,0.514018691588785,0.5333333333333333,0.49906542056074765,0.5333333333333333,6.809462571788231,0.7838226080740682,1.6568899766561191,0.40044905070370085,1.5283312843790569,0.25958805170767363,0.3238173489745222,0.8347571023859075,40.742825610999716,2021_06_08_13_13
9,2020-06-27,2020-08-25,Logistic,"{'solver': 'lbfgs', 'C': 0.0010365605953257927}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['mvrv_LogReturn', 'USDT_Volume_LogReturn', 'ETH_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'NEO_Price_LogReturn', 'ETC_Price_LogReturn', 'gbp_usd_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1']",3,2,f1,480,60,60,0.7308228730822873,0.7865168539325843,0.5170556552962299,0.5714285714285714,0.535405872193437,0.4857142857142857,0.6392523364485981,0.6833333333333333,0.497196261682243,0.55,0.497196261682243,0.4,7.201397487427304,0.7839360762135321,1.544617034765638,0.44020148183643215,1.9395505225897036,0.40424447055315227,2.675614946590411,0.644581163894463,41.752287928999976,2021_06_08_13_13
10,2020-08-26,2020-10-24,Logistic,"{'solver': 'lbfgs', 'C': 0.08552819696974459}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['mvrv_LogReturn', 'USDT_Volume_LogReturn', 'ETH_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'NEO_Price_LogReturn', 'LTC_Price_LogReturn_lag1', 'XLM_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1']",3,2,f1,480,60,60,0.7193548387096774,0.6923076923076924,0.543554006968641,0.3870967741935484,0.5540540540540541,0.5428571428571428,0.6747663551401869,0.6,0.5102803738317757,0.36666666666666664,0.5065420560747663,0.4666666666666667,9.057576460172486,0.599095053505911,2.6404317968265723,-0.15564629399168517,2.682152239923864,0.11699859702060067,3.370611005300546,0.005802126289406573,41.15972181500001,2021_06_08_13_13
