CV,test_start,test_end,model,best_params,dataset,feature_selection,dependent_variable,independent_variables,DV_shifts,IV_lags,metric,n_train_days,n_valid_days,n_test_days,train_valid_model_f1,test_model_f1,train_valid_random_f1,test_random_f1,train_valid_naive_f1,test_naive_f1,train_valid_model_accuracy,test_model_accuracy,train_valid_random_accuracy,test_random_accuracy,train_valid_naive_accuracy,test_naive_accuracy,train_valid_AlgoReturns,test_AlgoReturns,train_valid_RandomReturns,test_RandomReturns,train_valid_NaiveReturns,test_NaiveReturns,train_valid_BuyAndHolds,test_BuyAndHolds,execution_time,finished_time
1,2019-03-04,2019-05-02,Logistic,"{'solver': 'liblinear', 'C': 0.3321669193561385}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'cost-per-transaction_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",2,2,f1,480,60,60,0.6307977736549165,0.6285714285714286,0.4675834970530452,0.5161290322580646,0.5233644859813084,0.5789473684210527,0.628731343283582,0.5666666666666667,0.4944029850746269,0.5,0.5242537313432836,0.4666666666666667,4.4526012852771775,0.5463169220427737,0.1594539769751595,0.17346602056187344,1.7832604972206916,0.2735342492238768,-0.2168076983682159,0.6362612076515699,13.976260046999869,2021_06_08_12_39
2,2019-05-03,2019-07-01,Logistic,"{'solver': 'liblinear', 'C': 0.8544113575113483}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'cost-per-transaction_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",2,2,f1,480,60,60,0.6304347826086957,0.7499999999999999,0.49236641221374045,0.5633802816901409,0.5139664804469274,0.6829268292682927,0.6194029850746269,0.6666666666666666,0.503731343283582,0.48333333333333334,0.5130597014925373,0.5666666666666667,3.9794982604197617,1.5323024690362157,0.40978918476560366,0.6105324850448532,1.1162291705828888,1.2192411528211,-0.6414041550928733,1.5971131398217473,15.983738235999681,2021_06_08_12_39
3,2019-07-02,2019-08-30,Logistic,"{'solver': 'lbfgs', 'C': 0.037722639527451265}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'cost-per-transaction_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",2,2,f1,480,60,60,0.6402753872633391,0.6666666666666666,0.5622775800711743,0.59375,0.52994555353902,0.4776119402985075,0.6100746268656716,0.65,0.5410447761194029,0.5666666666666667,0.5167910447761194,0.4166666666666667,3.775365369027826,0.3712374026491627,1.2552041982363313,0.04442607978925217,1.130053761285783,-0.34744947811518223,-0.5645612274991887,-0.26788859015499256,21.389964286000122,2021_06_08_12_39
4,2019-08-31,2019-10-29,Logistic,"{'solver': 'liblinear', 'C': 0.8544113575113483}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'cost-per-transaction_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",2,2,f1,480,60,60,0.6429780033840946,0.5818181818181818,0.5199999999999999,0.29787234042553196,0.5187835420393561,0.32653061224489793,0.6063432835820896,0.6166666666666667,0.5074626865671642,0.45,0.498134328358209,0.45,3.3322752067680064,0.41719963178553954,0.10725886482583391,0.08282630787253886,0.9646224296644537,-0.016078343134330098,0.19894110310498547,-0.2724037237978738,21.28038764699977,2021_06_08_12_39
5,2019-10-30,2019-12-28,Logistic,"{'solver': 'lbfgs', 'C': 0.0018902998864540569}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'cost-per-transaction_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",2,2,f1,480,60,60,0.6646058732612056,0.5,0.525179856115108,0.39999999999999997,0.5117967332123412,0.23809523809523808,0.5951492537313433,0.5,0.5074626865671642,0.5,0.498134328358209,0.4666666666666667,3.198487435347353,-0.31517780106036497,0.5156505356243724,-0.45907096913994927,1.0954310848895314,-0.2268570803561758,-0.06999042212190432,-0.43096132601048787,21.211533557000166,2021_06_08_12_39
6,2019-12-29,2020-02-26,Logistic,"{'solver': 'lbfgs', 'C': 0.001966123239802328}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",2,2,f1,480,60,60,0.6031128404669261,0.5454545454545455,0.48275862068965514,0.6176470588235293,0.4943820224719101,0.5352112676056338,0.6194029850746269,0.5,0.46828358208955223,0.5666666666666667,0.4962686567164179,0.45,3.5012089534714494,0.4908452686070408,0.2882098159598723,0.29778355744426754,1.0705620119043076,0.18594307018108402,0.1490143538350086,0.6162741198857038,20.25506089999999,2021_06_08_12_39
7,2020-02-27,2020-04-26,Logistic,"{'solver': 'liblinear', 'C': 0.004486711047914423}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'mempool-size_LogReturn_lag1', 'utxo-count_LogReturn_lag1']",2,2,f1,480,60,60,0.6142595978062158,0.6557377049180327,0.4685714285714285,0.4776119402985075,0.4870848708487085,0.53125,0.6063432835820896,0.65,0.47947761194029853,0.4166666666666667,0.48134328358208955,0.5,3.6133613003527234,0.5807943162586842,0.28964113974879346,-0.4798846802516845,0.9464181361999557,-0.17968075474657397,0.6730732188333697,-0.5940811816668727,22.244630553000206,2021_06_08_12_39
8,2020-04-27,2020-06-25,Logistic,"{'solver': 'liblinear', 'C': 0.06218696060441329}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'mempool-size_LogReturn_lag1']",2,2,f1,480,60,60,0.6135181975736568,0.5866666666666667,0.5517241379310345,0.5915492957746479,0.4909090909090909,0.5866666666666667,0.5839552238805971,0.48333333333333334,0.539179104477612,0.5166666666666667,0.47761194029850745,0.48333333333333334,2.797101687925853,0.4421474352738546,1.5387284259761298,0.2897795713088396,0.6839131933142024,0.2744349531236967,0.2613909350654495,0.523241949910247,21.86902976500005,2021_06_08_12_39
9,2020-06-26,2020-08-24,Logistic,"{'solver': 'lbfgs', 'C': 0.0010365605953257927}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'avg-confirmation-time_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'cny_usd_Price_LogReturn', 'mempool-size_LogReturn_lag1']",2,2,f1,480,60,60,0.7117794486215538,0.7499999999999999,0.5403508771929824,0.5538461538461539,0.5154639175257731,0.5555555555555556,0.5708955223880597,0.6,0.5111940298507462,0.5166666666666667,0.47388059701492535,0.4666666666666667,3.0960821471956326,0.42220542314863785,1.0585814817760042,0.24462001571912673,1.2616633560129262,0.3025944704417327,1.789387818214788,0.4182828759691475,22.66735911800015,2021_06_08_12_39
10,2020-08-25,2020-10-23,Logistic,"{'solver': 'lbfgs', 'C': 0.006548376648010798}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'mempool-size_LogReturn_lag1']",2,2,f1,480,60,60,0.7150259067357513,0.7333333333333333,0.5062836624775583,0.47619047619047616,0.5277310924369749,0.5373134328358209,0.5895522388059702,0.6,0.4869402985074627,0.45,0.47574626865671643,0.48333333333333334,3.942828749883679,0.41496973476163923,1.0763353443907313,-0.09509378285665804,1.4909206453954909,0.05413188609868769,2.2621291238918246,0.02523124005262467,23.837804809999852,2021_06_08_12_39
