CV,test_start,test_end,model,best_params,dataset,feature_selection,dependent_variable,independent_variables,DV_shifts,IV_lags,metric,n_train_days,n_valid_days,n_test_days,train_valid_model_f1,test_model_f1,train_valid_random_f1,test_random_f1,train_valid_naive_f1,test_naive_f1,train_valid_model_accuracy,test_model_accuracy,train_valid_random_accuracy,test_random_accuracy,train_valid_naive_accuracy,test_naive_accuracy,train_valid_AlgoReturns,test_AlgoReturns,train_valid_RandomReturns,test_RandomReturns,train_valid_NaiveReturns,test_NaiveReturns,train_valid_BuyAndHolds,test_BuyAndHolds,execution_time,finished_time
1,2019-03-04,2019-05-02,RFC,"{'max_depth': 4, 'n_estimators': 8}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_Price_LogReturn', 'XRP_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'XEM_Price_LogReturn', 'NEO_Price_LogReturn', 'ZEC_Price_LogReturn', 'ETC_Price_LogReturn', 'WAVES_Price_LogReturn', 'ETH_Price_LogReturn_lag1', 'XRP_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'BCH_Price_LogReturn_lag1', 'XLM_Price_LogReturn_lag1', 'EOS_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'XEM_Price_LogReturn_lag1', 'IOTA_Price_LogReturn_lag1', 'ETC_Price_LogReturn_lag1', 'WAVES_Price_LogReturn_lag1']",2,2,f1,480,60,60,0.7977941176470589,0.6753246753246753,0.5272727272727272,0.64,0.5233644859813084,0.5789473684210527,0.7947761194029851,0.5833333333333334,0.5149253731343284,0.55,0.5242537313432836,0.4666666666666667,8.837995241597183,0.64654090171463,1.1674560194857566,0.38109564819749053,1.7832604972206916,0.2735342492238768,-0.2168076983682159,0.6362612076515699,149.71745425100016,2021_06_08_15_33
2,2019-05-03,2019-07-01,RFC,"{'max_depth': 3, 'n_estimators': 39}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'cost-per-transaction_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_Price_LogReturn', 'XRP_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'XEM_Price_LogReturn', 'NEO_Price_LogReturn', 'IOTA_Price_LogReturn', 'ZEC_Price_LogReturn', 'ETC_Price_LogReturn', 'WAVES_Price_LogReturn', 'ETH_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'XLM_Price_LogReturn_lag1', 'EOS_Price_LogReturn_lag1', 'XEM_Price_LogReturn_lag1', 'IOTA_Price_LogReturn_lag1', 'WAVES_Price_LogReturn_lag1']",2,2,f1,480,60,60,0.8028169014084506,0.8641975308641976,0.518796992481203,0.5797101449275363,0.5139664804469274,0.6829268292682927,0.7910447761194029,0.8166666666666667,0.5223880597014925,0.5166666666666667,0.5130597014925373,0.5666666666666667,8.226042342735314,1.9483458056290122,2.0932667437599406,0.7862621716039317,1.1162291705828888,1.2192411528211,-0.6414041550928733,1.5971131398217473,147.42867814700003,2021_06_08_15_33
3,2019-07-02,2019-08-30,RFC,"{'max_depth': 10, 'n_estimators': 9}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_Price_LogReturn', 'XRP_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'XEM_Price_LogReturn', 'NEO_Price_LogReturn', 'IOTA_Price_LogReturn', 'ZEC_Price_LogReturn', 'ETC_Price_LogReturn', 'WAVES_Price_LogReturn', 'ETH_Price_LogReturn_lag1', 'XRP_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'BCH_Price_LogReturn_lag1', 'XLM_Price_LogReturn_lag1', 'EOS_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'XEM_Price_LogReturn_lag1', 'IOTA_Price_LogReturn_lag1', 'ETC_Price_LogReturn_lag1', 'WAVES_Price_LogReturn_lag1']",2,2,f1,480,60,60,0.9818181818181817,0.7575757575757576,0.5115452930728241,0.507936507936508,0.52994555353902,0.4776119402985075,0.9813432835820896,0.7333333333333333,0.4869402985074627,0.48333333333333334,0.5167910447761194,0.4166666666666667,10.023852787792293,0.8267658091820849,0.15628995801050927,-0.2629475081468815,1.130053761285783,-0.34744947811518223,-0.5645612274991887,-0.26788859015499256,148.10019132100024,2021_06_08_15_33
4,2019-08-31,2019-10-29,RFC,"{'max_depth': 6, 'n_estimators': 658}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_Price_LogReturn', 'XRP_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'XEM_Price_LogReturn', 'NEO_Price_LogReturn', 'IOTA_Price_LogReturn', 'ZEC_Price_LogReturn', 'ETC_Price_LogReturn', 'WAVES_Price_LogReturn', 'ETH_Price_LogReturn_lag1', 'XRP_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'BCH_Price_LogReturn_lag1', 'XLM_Price_LogReturn_lag1', 'EOS_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'XEM_Price_LogReturn_lag1', 'NEO_Price_LogReturn_lag1', 'IOTA_Price_LogReturn_lag1', 'ETC_Price_LogReturn_lag1', 'WAVES_Price_LogReturn_lag1']",2,2,f1,480,60,60,0.9391304347826086,0.7272727272727272,0.5178571428571429,0.48387096774193555,0.5187835420393561,0.32653061224489793,0.9347014925373134,0.7,0.4962686567164179,0.4666666666666667,0.498134328358209,0.45,9.291559120419075,0.8100444591805704,0.1531288094255796,-0.033078997772008734,0.9646224296644537,-0.016078343134330098,0.19894110310498547,-0.2724037237978738,149.24511783800153,2021_06_08_15_33
5,2019-10-30,2019-12-28,RFC,"{'max_depth': 6, 'n_estimators': 658}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_Price_LogReturn', 'XRP_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'XEM_Price_LogReturn', 'NEO_Price_LogReturn', 'IOTA_Price_LogReturn', 'ZEC_Price_LogReturn', 'ETC_Price_LogReturn', 'WAVES_Price_LogReturn', 'ETH_Price_LogReturn_lag1', 'XRP_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'BCH_Price_LogReturn_lag1', 'XLM_Price_LogReturn_lag1', 'EOS_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'XEM_Price_LogReturn_lag1', 'NEO_Price_LogReturn_lag1', 'IOTA_Price_LogReturn_lag1', 'ZEC_Price_LogReturn_lag1', 'ETC_Price_LogReturn_lag1', 'WAVES_Price_LogReturn_lag1']",2,2,f1,480,60,60,0.9259896729776248,0.5185185185185185,0.5259259259259259,0.3673469387755102,0.5117967332123412,0.23809523809523808,0.9197761194029851,0.5666666666666667,0.5223880597014925,0.48333333333333334,0.498134328358209,0.4666666666666667,8.797139258646487,0.010271644477056086,1.0458000193774666,-0.30968315122021295,1.0954310848895314,-0.2268570803561758,-0.06999042212190432,-0.43096132601048787,129.04378022200035,2021_06_08_15_33
6,2019-12-29,2020-02-26,RFC,"{'max_depth': 10, 'n_estimators': 551}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'ETH_Price_LogReturn', 'XRP_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'XEM_Price_LogReturn', 'NEO_Price_LogReturn', 'IOTA_Price_LogReturn', 'ZEC_Price_LogReturn', 'ETC_Price_LogReturn', 'ETH_Price_LogReturn_lag1', 'XRP_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'BCH_Price_LogReturn_lag1', 'XLM_Price_LogReturn_lag1', 'EOS_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'XEM_Price_LogReturn_lag1', 'NEO_Price_LogReturn_lag1', 'IOTA_Price_LogReturn_lag1', 'ETC_Price_LogReturn_lag1', 'WAVES_Price_LogReturn_lag1']",2,2,f1,480,60,60,1.0,0.7088607594936709,0.4703632887189293,0.5538461538461538,0.4943820224719101,0.5352112676056338,1.0,0.6166666666666667,0.4832089552238806,0.5166666666666667,0.4962686567164179,0.45,9.365882662302262,0.6440663035092005,-0.14914058132275088,0.35525875290246134,1.0705620119043076,0.18594307018108402,0.1490143538350086,0.6162741198857038,143.83929864799939,2021_06_08_15_33
7,2020-02-27,2020-04-26,RFC,"{'max_depth': 8, 'n_estimators': 515}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'ETH_Price_LogReturn', 'XRP_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'NEO_Price_LogReturn', 'IOTA_Price_LogReturn', 'ETC_Price_LogReturn', 'ETH_Price_LogReturn_lag1', 'BCH_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'IOTA_Price_LogReturn_lag1', 'ETC_Price_LogReturn_lag1', 'WAVES_Price_LogReturn_lag1']",2,2,f1,480,60,60,0.9926470588235294,0.7936507936507938,0.5432098765432098,0.5714285714285713,0.4870848708487085,0.53125,0.9925373134328358,0.7833333333333333,0.5167910447761194,0.55,0.48134328358208955,0.5,9.398068593106814,1.0865307179803771,0.8938079751294321,-0.20529640262918036,0.9464181361999557,-0.17968075474657397,0.6730732188333697,-0.5940811816668727,140.8481001179989,2021_06_08_15_33
8,2020-04-27,2020-06-25,RFC,"{'max_depth': 3, 'n_estimators': 618}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'ETH_Price_LogReturn', 'XRP_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'XLM_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'NEO_Price_LogReturn', 'IOTA_Price_LogReturn', 'ETC_Price_LogReturn', 'mempool-size_LogReturn_lag1', 'USDT_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'BCH_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'ETC_Price_LogReturn_lag1', 'WAVES_Price_LogReturn_lag1']",2,2,f1,480,60,60,0.8061749571183533,0.810126582278481,0.5408348457350272,0.5,0.4909090909090909,0.5866666666666667,0.789179104477612,0.75,0.5279850746268657,0.4666666666666667,0.47761194029850745,0.48333333333333334,8.261981294254475,0.846016141378426,-0.4332475527501565,0.2397890833137737,0.6839131933142024,0.2744349531236967,0.2613909350654495,0.523241949910247,141.02936324599978,2021_06_08_15_33
9,2020-06-26,2020-08-24,RFC,"{'max_depth': 6, 'n_estimators': 51}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'ETH_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'XEM_Price_LogReturn', 'NEO_Price_LogReturn', 'ZEC_Price_LogReturn', 'ETC_Price_LogReturn', 'mempool-size_LogReturn_lag1', 'ETH_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'BCH_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'ETC_Price_LogReturn_lag1']",2,2,f1,480,60,60,0.9256198347107438,0.9066666666666667,0.5071428571428572,0.6571428571428571,0.5154639175257731,0.5555555555555556,0.9160447761194029,0.8833333333333333,0.48507462686567165,0.6,0.47388059701492535,0.4666666666666667,10.070419891856567,0.7604694298577055,0.2635364031726084,0.5009322569065642,1.2616633560129262,0.3025944704417327,1.789387818214788,0.4182828759691475,140.04968009500044,2021_06_08_15_33
10,2020-08-25,2020-10-23,RFC,"{'max_depth': 5, 'n_estimators': 61}",BlockchainAltcoinMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'ETH_Price_LogReturn', 'LTC_Price_LogReturn', 'BCH_Price_LogReturn', 'BNB_Price_LogReturn', 'EOS_Price_LogReturn', 'XMR_Price_LogReturn', 'NEO_Price_LogReturn', 'ZEC_Price_LogReturn', 'ETC_Price_LogReturn', 'mempool-count_LogReturn_lag1', 'mempool-size_LogReturn_lag1', 'ETH_Price_LogReturn_lag1', 'LTC_Price_LogReturn_lag1', 'BCH_Price_LogReturn_lag1', 'XLM_Price_LogReturn_lag1', 'EOS_Price_LogReturn_lag1', 'XMR_Price_LogReturn_lag1', 'XEM_Price_LogReturn_lag1', 'NEO_Price_LogReturn_lag1', 'IOTA_Price_LogReturn_lag1', 'ETC_Price_LogReturn_lag1', 'WAVES_Price_LogReturn_lag1']",2,2,f1,480,60,60,0.8977635782747604,0.8732394366197184,0.5418894830659536,0.5396825396825397,0.5277310924369749,0.5373134328358209,0.8805970149253731,0.85,0.5205223880597015,0.5166666666666667,0.47574626865671643,0.48333333333333334,10.059242177072164,0.7040124474956606,1.26792611536073,0.08034128753008218,1.4909206453954909,0.05413188609868769,2.2621291238918246,0.02523124005262467,142.1453076529997,2021_06_08_15_33
