CV,test_start,test_end,model,best_params,dataset,feature_selection,dependent_variable,independent_variables,DV_shifts,IV_lags,metric,n_train_days,n_valid_days,n_test_days,train_valid_model_f1,test_model_f1,train_valid_random_f1,test_random_f1,train_valid_naive_f1,test_naive_f1,train_valid_model_accuracy,test_model_accuracy,train_valid_random_accuracy,test_random_accuracy,train_valid_naive_accuracy,test_naive_accuracy,train_valid_AlgoReturns,test_AlgoReturns,train_valid_RandomReturns,test_RandomReturns,train_valid_NaiveReturns,test_NaiveReturns,train_valid_BuyAndHolds,test_BuyAndHolds,execution_time,finished_time
1,2019-03-04,2019-05-02,RFC,"{'max_depth': 6, 'n_estimators': 51}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'cost-per-transaction_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",2,2,f1,480,60,60,0.8439306358381503,0.4666666666666667,0.5204460966542751,0.6301369863013698,0.5233644859813084,0.5789473684210527,0.8488805970149254,0.4666666666666667,0.5186567164179104,0.55,0.5242537313432836,0.4666666666666667,9.081333267245869,0.20900753532790617,0.9930941758458189,0.5642129642837688,1.7832604972206916,0.2735342492238768,-0.2168076983682159,0.6362612076515699,95.75514019500042,2021_06_08_14_09
2,2019-05-03,2019-07-01,RFC,"{'max_depth': 10, 'n_estimators': 9}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'cost-per-transaction_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",2,2,f1,480,60,60,0.923076923076923,0.7407407407407408,0.5133689839572192,0.5915492957746479,0.5139664804469274,0.6829268292682927,0.9235074626865671,0.65,0.4906716417910448,0.5166666666666667,0.5130597014925373,0.5666666666666667,10.015207846817587,1.5615830747700397,-1.1811346427931984,0.8513171123307721,1.1162291705828888,1.2192411528211,-0.6414041550928733,1.5971131398217473,98.06332642699999,2021_06_08_14_09
3,2019-07-02,2019-08-30,RFC,"{'max_depth': 3, 'n_estimators': 39}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'cost-per-transaction_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",2,2,f1,480,60,60,0.7031802120141343,0.6229508196721312,0.5818815331010453,0.5230769230769231,0.52994555353902,0.4776119402985075,0.6865671641791045,0.6166666666666667,0.5522388059701493,0.48333333333333334,0.5167910447761194,0.4166666666666667,4.727773558847005,0.2484522375480278,0.7868897000817476,-0.088863461444042,1.130053761285783,-0.34744947811518223,-0.5645612274991887,-0.26788859015499256,102.32939454000007,2021_06_08_14_09
4,2019-08-31,2019-10-29,RFC,"{'max_depth': 8, 'n_estimators': 155}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'cost-per-transaction_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",2,2,f1,480,60,60,0.965391621129326,0.5185185185185185,0.483271375464684,0.48,0.5187835420393561,0.32653061224489793,0.9645522388059702,0.5666666666666667,0.48134328358208955,0.5666666666666667,0.498134328358209,0.45,9.14320969814018,0.21896855136443172,-0.0545734895647616,0.01231364372877053,0.9646224296644537,-0.016078343134330098,0.19894110310498547,-0.2724037237978738,103.2316563280001,2021_06_08_14_09
5,2019-10-30,2019-12-28,RFC,"{'max_depth': 9, 'n_estimators': 218}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'cost-per-transaction_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",2,2,f1,480,60,60,0.98348623853211,0.52,0.5054945054945055,0.4642857142857143,0.5117967332123412,0.23809523809523808,0.9832089552238806,0.6,0.4962686567164179,0.5,0.498134328358209,0.4666666666666667,9.212513100985426,-0.02683864867051078,0.14791337076389866,-0.23813057590738573,1.0954310848895314,-0.2268570803561758,-0.06999042212190432,-0.43096132601048787,103.49907276700014,2021_06_08_14_09
6,2019-12-29,2020-02-26,RFC,"{'max_depth': 7, 'n_estimators': 14}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",2,2,f1,480,60,60,0.8165680473372781,0.5454545454545455,0.5266903914590747,0.6388888888888888,0.4943820224719101,0.5352112676056338,0.8264925373134329,0.5,0.503731343283582,0.5666666666666667,0.4962686567164179,0.45,6.761861681356795,0.5214409663736568,0.20930641504542535,0.2548306507862872,1.0705620119043076,0.18594307018108402,0.1490143538350086,0.6162741198857038,94.24789164099911,2021_06_08_14_09
7,2020-02-27,2020-04-26,RFC,"{'max_depth': 9, 'n_estimators': 169}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'mempool-size_LogReturn_lag1', 'utxo-count_LogReturn_lag1']",2,2,f1,480,60,60,0.98348623853211,0.5423728813559322,0.49615384615384617,0.6129032258064515,0.4870848708487085,0.53125,0.9832089552238806,0.55,0.5111940298507462,0.6,0.48134328358208955,0.5,9.027767757574564,-0.07915486749176637,0.2441827250192965,-0.42778960105209585,0.9464181361999557,-0.17968075474657397,0.6730732188333697,-0.5940811816668727,104.21391365300042,2021_06_08_14_09
8,2020-04-27,2020-06-25,RFC,"{'max_depth': 4, 'n_estimators': 8}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'mempool-size_LogReturn_lag1']",2,2,f1,480,60,60,0.6652977412731006,0.53125,0.5441441441441441,0.5757575757575758,0.4909090909090909,0.5866666666666667,0.6958955223880597,0.5,0.5279850746268657,0.5333333333333333,0.47761194029850745,0.48333333333333334,5.710818835462941,0.445567184299696,-0.23944327371185103,0.15774333702247212,0.6839131933142024,0.2744349531236967,0.2613909350654495,0.523241949910247,96.5657576550002,2021_06_08_14_09
9,2020-06-26,2020-08-24,RFC,"{'max_depth': 4, 'n_estimators': 8}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'avg-confirmation-time_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'cny_usd_Price_LogReturn', 'mempool-size_LogReturn_lag1']",2,2,f1,480,60,60,0.7205623901581723,0.6666666666666666,0.56,0.5454545454545454,0.5154639175257731,0.5555555555555556,0.7033582089552238,0.6333333333333333,0.5279850746268657,0.5,0.47388059701492535,0.4666666666666667,6.536415704361456,0.4447333199777326,0.5028577616819518,0.3159373597004791,1.2616633560129262,0.3025944704417327,1.789387818214788,0.4182828759691475,103.0689181760008,2021_06_08_14_09
10,2020-08-25,2020-10-23,RFC,"{'max_depth': 5, 'n_estimators': 230}",BlockchainMacro,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'mempool-size_LogReturn_lag1']",2,2,f1,480,60,60,0.7915194346289752,0.6451612903225806,0.5261261261261261,0.30508474576271183,0.5277310924369749,0.5373134328358209,0.7798507462686567,0.6333333333333333,0.5093283582089553,0.31666666666666665,0.47574626865671643,0.48333333333333334,7.25061832730931,0.4168308747364513,1.4528303331675918,-0.23768567128752238,1.4909206453954909,0.05413188609868769,2.2621291238918246,0.02523124005262467,98.42524958099966,2021_06_08_14_09
