CV,test_start,test_end,model,best_params,dataset,feature_selection,dependent_variable,independent_variables,DV_shifts,IV_lags,metric,n_train_days,n_valid_days,n_test_days,train_valid_model_f1,test_model_f1,train_valid_random_f1,test_random_f1,train_valid_naive_f1,test_naive_f1,train_valid_model_accuracy,test_model_accuracy,train_valid_random_accuracy,test_random_accuracy,train_valid_naive_accuracy,test_naive_accuracy,train_valid_AlgoReturns,test_AlgoReturns,train_valid_RandomReturns,test_RandomReturns,train_valid_NaiveReturns,test_NaiveReturns,train_valid_BuyAndHolds,test_BuyAndHolds,execution_time,finished_time
1,2019-03-04,2019-05-02,RFC,"{'max_depth': 6, 'n_estimators': 51}",Blockchain,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'cost-per-transaction_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",2,2,f1,480,60,60,0.8439306358381503,0.4666666666666667,0.49624060150375937,0.5970149253731344,0.5233644859813084,0.5789473684210527,0.8488805970149254,0.4666666666666667,0.5,0.55,0.5242537313432836,0.4666666666666667,9.081333267245869,0.20900753532790617,-0.60489536582587,0.3569020041911326,1.7832604972206916,0.2735342492238768,-0.2168076983682159,0.6362612076515699,88.79773860299974,2021_06_08_13_05
2,2019-05-03,2019-07-01,RFC,"{'max_depth': 10, 'n_estimators': 9}",Blockchain,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'cost-per-transaction_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",2,2,f1,480,60,60,0.923076923076923,0.7407407407407408,0.551094890510949,0.49275362318840576,0.5139664804469274,0.6829268292682927,0.9235074626865671,0.65,0.5410447761194029,0.4166666666666667,0.5130597014925373,0.5666666666666667,10.015207846817587,1.5615830747700397,0.8898140149469231,0.5970473867289616,1.1162291705828888,1.2192411528211,-0.6414041550928733,1.5971131398217473,89.14862756399998,2021_06_08_13_05
3,2019-07-02,2019-08-30,RFC,"{'max_depth': 3, 'n_estimators': 39}",Blockchain,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'cost-per-transaction_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'avg-confirmation-time_LogReturn_lag2']",2,2,f1,480,60,60,0.6641074856046065,0.6333333333333334,0.5350089766606821,0.4838709677419355,0.52994555353902,0.4776119402985075,0.6735074626865671,0.6333333333333333,0.5167910447761194,0.4666666666666667,0.5167910447761194,0.4166666666666667,4.669671341790748,0.2512071446148152,0.8951564707249364,-0.19602294272840126,1.130053761285783,-0.34744947811518223,-0.5645612274991887,-0.26788859015499256,97.06059536700013,2021_06_08_13_05
4,2019-08-31,2019-10-29,RFC,"{'max_depth': 8, 'n_estimators': 155}",Blockchain,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'cost-per-transaction_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",2,2,f1,480,60,60,0.965391621129326,0.5185185185185185,0.5055762081784386,0.44827586206896547,0.5187835420393561,0.32653061224489793,0.9645522388059702,0.5666666666666667,0.503731343283582,0.4666666666666667,0.498134328358209,0.45,9.14320969814018,0.21896855136443172,1.3019349330482033,-0.19004195039684468,0.9646224296644537,-0.016078343134330098,0.19894110310498547,-0.2724037237978738,93.45630936999987,2021_06_08_13_05
5,2019-10-30,2019-12-28,RFC,"{'max_depth': 5, 'n_estimators': 861}",Blockchain,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",2,2,f1,480,60,60,0.7258382642998027,0.5581395348837208,0.5045045045045046,0.22727272727272724,0.5117967332123412,0.23809523809523808,0.7406716417910447,0.6833333333333333,0.4869402985074627,0.43333333333333335,0.498134328358209,0.4666666666666667,5.33807132269261,0.13154153787500888,-0.256042333793868,-0.2720711577226531,1.0954310848895314,-0.2268570803561758,-0.06999042212190432,-0.43096132601048787,90.58399208599985,2021_06_08_13_05
6,2019-12-29,2020-02-26,RFC,"{'max_depth': 7, 'n_estimators': 14}",Blockchain,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn']",2,2,f1,480,60,60,0.8165680473372781,0.5454545454545455,0.47509578544061304,0.4444444444444445,0.4943820224719101,0.5352112676056338,0.8264925373134329,0.5,0.48880597014925375,0.4166666666666667,0.4962686567164179,0.45,6.761861681356795,0.5214409663736568,0.28306113547417766,0.07165565810641539,1.0705620119043076,0.18594307018108402,0.1490143538350086,0.6162741198857038,81.5335191690001,2021_06_08_13_05
7,2020-02-27,2020-04-26,RFC,"{'max_depth': 9, 'n_estimators': 71}",Blockchain,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'nvts_LogReturn', 'mempool-size_LogReturn_lag1', 'utxo-count_LogReturn_lag1']",2,2,f1,480,60,60,0.9779411764705882,0.5396825396825397,0.4865900383141762,0.4776119402985075,0.4870848708487085,0.53125,0.9776119402985075,0.5166666666666667,0.5,0.4166666666666667,0.48134328358208955,0.5,9.106272810460142,-0.18966158862812676,0.8172529722670241,-0.43173774928301967,0.9464181361999557,-0.17968075474657397,0.6730732188333697,-0.5940811816668727,91.42448310600003,2021_06_08_13_05
8,2020-04-27,2020-06-25,RFC,"{'max_depth': 4, 'n_estimators': 8}",Blockchain,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'mempool-size_LogReturn_lag1']",2,2,f1,480,60,60,0.6652977412731006,0.53125,0.49812734082397003,0.38596491228070173,0.4909090909090909,0.5866666666666667,0.6958955223880597,0.5,0.5,0.4166666666666667,0.47761194029850745,0.48333333333333334,5.710818835462941,0.445567184299696,0.6086088987872031,0.023410676500947858,0.6839131933142024,0.2744349531236967,0.2613909350654495,0.523241949910247,87.92211224099992,2021_06_08_13_05
9,2020-06-26,2020-08-24,RFC,"{'max_depth': 10, 'n_estimators': 820}",Blockchain,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'avg-confirmation-time_LogReturn', 'mvrv_LogReturn', 'mempool-size_LogReturn_lag1']",2,2,f1,480,60,60,0.9982847341337907,0.7105263157894738,0.47145488029465926,0.5833333333333334,0.5154639175257731,0.5555555555555556,0.9981343283582089,0.6333333333333333,0.46455223880597013,0.5,0.47388059701492535,0.4666666666666667,10.717263330824474,0.4282714915956696,-0.15068325024852314,0.31652868724491867,1.2616633560129262,0.3025944704417327,1.789387818214788,0.4182828759691475,99.26921017899986,2021_06_08_13_05
10,2020-08-25,2020-10-23,RFC,"{'max_depth': 5, 'n_estimators': 471}",Blockchain,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'avg-confirmation-time_LogReturn', 'mvrv_LogReturn', 'mempool-size_LogReturn_lag1']",2,2,f1,480,60,60,0.832764505119454,0.6571428571428571,0.5309734513274337,0.4923076923076923,0.5277310924369749,0.5373134328358209,0.8171641791044776,0.6,0.5055970149253731,0.45,0.47574626865671643,0.48333333333333334,7.949022752782366,0.2756504504254149,0.8514704007409648,-0.053988644068759584,1.4909206453954909,0.05413188609868769,2.2621291238918246,0.02523124005262467,99.16046778100008,2021_06_08_13_05
11,2020-10-24,2020-12-22,RFC,"{'max_depth': 7, 'n_estimators': 616}",Blockchain,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'mvrv_LogReturn', 'transaction-fees_LogReturn_lag1', 'mempool-count_LogReturn_lag1', 'mempool-size_LogReturn_lag1']",2,2,f1,480,60,60,0.9351535836177474,0.6987951807228916,0.5588235294117647,0.4923076923076923,0.5154639175257731,0.6172839506172839,0.9291044776119403,0.5833333333333334,0.5522388059701493,0.45,0.47388059701492535,0.48333333333333334,9.295481875072838,0.9868046674287925,1.8724469492085056,0.47259017821524374,1.12718743277855,0.6386477465137528,1.5255361810711197,1.3713411085744145,99.51742349099959,2021_06_08_13_05
12,2020-12-23,2021-02-20,RFC,"{'max_depth': 10, 'n_estimators': 551}",Blockchain,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'avg-confirmation-time_LogReturn', 'mvrv_LogReturn']",2,2,f1,480,60,60,0.9780033840947546,0.7088607594936709,0.5027322404371584,0.6666666666666666,0.5111492281303601,0.6823529411764705,0.9757462686567164,0.6166666666666667,0.4906716417910448,0.5833333333333334,0.46828358208955223,0.55,9.608407248610803,1.7358747066357214,-0.40700035058771533,1.206007571681834,0.7702303674653042,1.0148398150511202,1.5756555688076865,1.5339035578426135,89.50704568099991,2021_06_08_13_05
13,2021-02-21,2021-04-21,RFC,"{'max_depth': 4, 'n_estimators': 8}",Blockchain,True,BTC_Price_LogReturn_binary,"['market-cap_LogReturn', 'utxo-count_LogReturn', 'mvrv_LogReturn']",2,2,f1,480,60,60,0.740983606557377,0.8,0.5156537753222835,0.3333333333333333,0.5382059800664452,0.6666666666666666,0.7052238805970149,0.875,0.5093283582089553,0.5,0.48134328358208955,0.75,6.889522497524698,0.07529991816300452,2.1219688010442486,-0.03310459653543418,1.9693201209021236,-0.08689370198545454,3.3271034849035637,-0.07826097668572451,93.38802508599974,2021_06_08_13_05
