,Variables,Types of Variables,Definition of Variable
0,btc_price,BTC blockchain,The average USD market price across major bitcoin exchanges.(USD)
1,total-bitcoins,BTC blockchain,The total number of mined bitcoin that are currently circulating on the network.(BTC)
2,market-cap,BTC blockchain,The total USD value of bitcoin in circulation.(USD)
3,trade-volume,BTC blockchain,The total USD value of trading volume on major bitcoin exchanges.(USD)
4,blocks-size,BTC blockchain,The total size of the blockchain minus database indexes in megabytes.(MB)
5,avg-block-size,BTC blockchain,The average block size over the past 24 hours in megabytes.(MB)
6,n-transactions-per-block,BTC blockchain,The average number of transactions per block over the past 24 hours.(transaction)
7,n-transactions-total,BTC blockchain,The total number of transactions on the blockchain.(transaction)
8,median-confirmation-time,BTC blockchain,The median time for a transaction with miner fees to be included in a mined block and added to the public ledger.(min)
9,avg-confirmation-time,BTC blockchain,The average time for a transaction with miner fees to be included in a mined block and added to the public ledger.(min)
10,hash-rate,BTC blockchain,The estimated number of terahashes per second the bitcoin network is performing in the last 24 hours.(TH/s)
11,difficulty,BTC blockchain,A relative measure of how difficult it is to mine a new block for the blockchain.(relative)
12,miners-revenue,BTC blockchain,Total value of coinbase block rewards and transaction fees paid to miners.(USD)
13,transaction-fees,BTC blockchain,The total BTC value of all transaction fees paid to miners.(BTC)
14,cost-per-transaction,BTC blockchain,Miners revenue divided by the number of transactions.(USD)
15,n-unique-addresses,BTC blockchain,The total number of unique addresses used on the blockchain.(address)
16,n-transactions,BTC blockchain,The total number of confirmed transactions per day.(transaction)
17,transactions-per-second,BTC blockchain,The number of transactions added to the mempool per second.(transaction/s)
18,output-volume,BTC blockchain,The total value of all transaction outputs per day.(BTC)
19,mempool-count,BTC blockchain,The total number of unconfirmed transactions in the mempool.(transaction)
20,mempool-growth,BTC blockchain,The rate at which the mempool is growing in bytes per second.(byte/s)
21,mempool-size,BTC blockchain,The aggregate size in bytes of transactions waiting to be confirmed.(byte)
22,utxo-count,BTC blockchain,The total number of valid unspent transactions outputs.(transaction)
23,n-transactions-excluding-popular,BTC blockchain,The total number of transactions excluding those involving the network's 100 most popular addresses.(transaction)
24,estimated-transaction-volume,BTC blockchain,The total estimated value in BTC of transactions on the blockchain.(BTC)
25,mvrv,BTC blockchain,Market Value divided by Realised Value.(ratio)
26,nvts,BTC blockchain,The Moving Average over the last 90 days of the denominator of Network Value (= Market Value) by the total transactions volume in USD over the past 24hour.(ratio)
