variables,test statistic,p_value
BCH_Price_LogReturn,-34.87429386827947,0.0
BCH_Volume_LogReturn,-9.798793630557268,6.072916353127163e-17
BNB_Price_LogReturn,-7.0482755890300774,5.612474887818912e-10
BTC_Price_LogReturn,-24.518041240482447,0.0
EOS_Price_LogReturn,-13.712713941175242,1.2290812347981654e-25
ETC_Price_LogReturn,-13.740149551984024,1.0982711588305114e-25
ETH_Price_LogReturn,-24.093721468696497,0.0
IOTA_Price_LogReturn,-6.170572316326772,6.821195176589846e-08
IOTA_Volume_LogReturn,-14.195950607926946,1.8224166116558758e-26
LTC_Price_LogReturn,-36.156381950039766,0.0
NEO_Price_LogReturn,-7.350791360132548,1.007270841975363e-10
USDT_Price_LogReturn,-12.419464452573534,4.1683749866694695e-23
USDT_Volume_LogReturn,-8.723729000749506,3.331756632990861e-14
WAVES_Price_LogReturn,-12.37033336260823,5.299026761247619e-23
XEM_Price_LogReturn,-4.997573200935326,2.2439902835365164e-05
XLM_Price_LogReturn,-7.6931712120043585,1.4016294229781e-11
XMR_Price_LogReturn,-13.216884020002327,1.0202097483984756e-24
XRP_Price_LogReturn,-7.611141669425154,2.2534854178832134e-11
XRP_Volume_LogReturn,-11.09185780984547,4.063403739665909e-20
ZEC_Price_LogReturn,-12.974295105992036,3.0353804525281756e-24
cost-per-transaction_LogReturn,-7.127287357837886,3.5927437898726175e-10
gbp_usd_Price_LogReturn,-12.769516224641954,7.825474049040446e-24
gold_Price_LogReturn,-7.719173675903021,1.2054362881302668e-11
market-cap_LogReturn,-9.23502417013683,1.639272025513895e-15
mempool-count_LogReturn,-10.553950923898668,8.041958506693506e-19
mempool-size_LogReturn,-10.917789331801787,1.0566810815129874e-19
mvrv_LogReturn,-36.569114602383664,0.0
nvts_LogReturn,-34.028757419053385,0.0
utxo-count_LogReturn,-3.3314951411154956,0.0135280137729524
