variables,test statistic,p_value
BCH_Price,-2.215575644301999,0.20064104101693153
BCH_Volume,-2.787009558640486,0.06015345299611631
BNB_Price,2.0932553368905675,0.9987825245651595
BTC_Price,4.327401011070022,1.0
EOS_Price,-2.7822486526170636,0.060854501653281684
ETC_Price,-1.6863156720719028,0.4381764874524099
ETH_Price,0.75743147040116,0.9909170118087459
IOTA_Price,-2.9193740685951814,0.043140998116267024
IOTA_Volume,-3.594008724381638,0.0058766065275702795
LTC_Price,-1.8220915581401316,0.36955030918761445
NEO_Price,-1.7778255926605917,0.3915249062368557
USDT_Price,-5.949147199063168,2.1680113858337256e-07
USDT_Volume,1.879515236876645,0.9984943404710113
WAVES_Price,-1.5928682548441222,0.4871750342742727
XEM_Price,-2.7399174849971457,0.06738182473510904
XLM_Price,-2.2511936285317247,0.1881921827677539
XMR_Price,-1.713299594138475,0.42427348119199415
XRP_Price,-2.942124989645632,0.040664164172893535
XRP_Volume,-1.8845701751784503,0.33935423724493974
ZEC_Price,-1.8655869800198883,0.348419148265501
cost-per-transaction,0.09620027358157489,0.9658007095821685
gbp_usd_Price,-2.211940103310766,0.20194046454284031
gold_Price,-0.559017784445242,0.8799760810069619
market-cap,5.097990864660587,1.0
mempool-count,-2.41627052681249,0.13719673309813168
mempool-size,-3.034754024490288,0.03177382576464078
mvrv,-1.124626785363622,0.705151788963259
nvts,-3.182097264529613,0.02104462957781653
utxo-count,-0.6161300602016265,0.8672954815574767
