,Variables,Types of Variables,Definition of Variable
0,btc_price,info,The average USD market price across major bitcoin exchanges.(USD)
1,total-bitcoins,info,The total number of mined bitcoin that are currently circulating on the network.(BTC)
2,market-cap,info,The total USD value of bitcoin in circulation.(USD)
3,trade-volume,info,The total USD value of trading volume on major bitcoin exchanges.(USD)
4,blocks-size,info,The total size of the blockchain minus database indexes in megabytes.(MB)
5,avg-block-size,info,The average block size over the past 24 hours in megabytes.(MB)
6,n-transactions-per-block,info,The average number of transactions per block over the past 24 hours.(transaction)
7,n-transactions-total,info,The total number of transactions on the blockchain.(transaction)
8,median-confirmation-time,info,The median time for a transaction with miner fees to be included in a mined block and added to the public ledger.(min)
9,avg-confirmation-time,info,The average time for a transaction with miner fees to be included in a mined block and added to the public ledger.(min)
10,hash-rate,info,The estimated number of terahashes per second the bitcoin network is performing in the last 24 hours.(TH/s)
11,difficulty,info,A relative measure of how difficult it is to mine a new block for the blockchain.(relative)
12,miners-revenue,info,Total value of coinbase block rewards and transaction fees paid to miners.(USD)
13,transaction-fees,info,The total BTC value of all transaction fees paid to miners.(BTC)
14,cost-per-transaction,info,Miners revenue divided by the number of transactions.(USD)
15,n-unique-addresses,info,The total number of unique addresses used on the blockchain.(address)
16,n-transactions,info,The total number of confirmed transactions per day.(transaction)
17,transactions-per-second,info,The number of transactions added to the mempool per second.(transaction/s)
18,output-volume,info,The total value of all transaction outputs per day.(BTC)
19,mempool-count,info,The total number of unconfirmed transactions in the mempool.(transaction)
20,mempool-growth,info,The rate at which the mempool is growing in bytes per second.(byte/s)
21,mempool-size,info,The aggregate size in bytes of transactions waiting to be confirmed.(byte)
22,utxo-count,info,The total number of valid unspent transactions outputs.(transaction)
23,n-transactions-excluding-popular,info,The total number of transactions excluding those involving the network's 100 most popular addresses.(transaction)
24,estimated-transaction-volume,info,The total estimated value in BTC of transactions on the blockchain.(BTC)
25,mvrv,info,Market Value divided by Realised Value.(ratio)
26,nvts,info,The Moving Average over the last 90 days of the denominator of Network Value (= Market Value) by the total transactions volume in USD over the past 24hour.(ratio)
