,model,dataset,test f1,test accuracy,train-valid f1,train-valid accuracy
12,LGBMC,BlockchainAltcoinMacro,0.7638234028891006,0.7152777777777778,0.9014689410227793,0.8654562383612663
6,FNN,BlockchainMacro,0.7633633115677839,0.7444444444444445,0.749919453536676,0.73975791433892
0,FNN,Blockchain,0.7566942929330683,0.7388888888888889,0.7516246171244569,0.7403786468032277
24,Logistic,BlockchainMacro,0.7525689180093424,0.7069444444444444,0.7320585821023858,0.6855990068280571
18,Logistic,Blockchain,0.7409079809259905,0.7013888888888888,0.7313425051778171,0.6887026691495964
30,RFC,BlockchainAltcoinMacro,0.7296749609328006,0.6944444444444445,0.9593395833282002,0.9559279950341404
3,FNN,BlockchainAltcoinMacro,0.7285391005697774,0.7041666666666666,0.8194562746339172,0.8116076970825574
21,Logistic,BlockchainAltcoinMacro,0.7174015383337133,0.6763888888888889,0.7680998260661765,0.7423960273122284
27,RFC,Blockchain,0.715491522017775,0.6902777777777778,0.9185789089410408,0.9146492861576659
15,LGBMC,BlockchainMacro,0.7153724903938508,0.6472222222222223,0.8297313225260018,0.7780881440099318
9,LGBMC,Blockchain,0.7144534797664047,0.6416666666666667,0.8008042432502688,0.7417752948479205
33,RFC,BlockchainMacro,0.7034657348175113,0.6736111111111112,0.8948107271972058,0.8890440720049658
