,model,dataset,test f1,test accuracy,train-valid f1 ,train-valid accuracy
14,LGBMC,BlockchainAltcoinMacro,0.7066336748706735,0.6236111111111111,0.8495375978794245,0.8043613707165109
23,Logistic,BlockchainAltcoinMacro,0.7062952147746081,0.6430555555555556,0.7265205355408005,0.6923676012461059
32,RFC,BlockchainAltcoinMacro,0.7052101674962402,0.6402777777777778,0.8867634616624356,0.8746105919003115
20,Logistic,Blockchain,0.7010112844702304,0.6138888888888888,0.6705731440005277,0.5842679127725857
26,Logistic,BlockchainMacro,0.6929875009628151,0.6069444444444444,0.6656125071628506,0.5827102803738318
5,FNN,BlockchainAltcoinMacro,0.6904897594050352,0.6361111111111111,0.7364773252491643,0.7185358255451714
17,LGBMC,BlockchainMacro,0.6794473979515381,0.5472222222222222,0.718790508147031,0.6057632398753894
11,LGBMC,Blockchain,0.6748155051132256,0.5499999999999999,0.7224499105873118,0.6152647975077882
2,FNN,Blockchain,0.6413151422164958,0.5736111111111111,0.6502365532759066,0.6017133956386292
8,FNN,BlockchainMacro,0.6284286059462549,0.5652777777777778,0.6404708868578558,0.6018691588785047
29,RFC,Blockchain,0.6273499640855248,0.5708333333333333,0.743410651380874,0.7185358255451714
35,RFC,BlockchainMacro,0.6031334293997733,0.5458333333333333,0.7467174622855616,0.7249221183800624
